contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
AMZN270115P00085000,2026-02-09 20:10:53+00:00,85.0,0.61,22.0,0,25.0008,209.19,49.9846,0.036429998
AMZN270115P00090000,2026-02-09 14:57:49+00:00,90.0,0.84,1.0,0,12.5009,204.8698,48.9477,0.036429998
AMZN270115P00095000,2026-02-09 20:27:55+00:00,95.0,0.92,1.0,0,12.5009,208.81,47.7584,0.036429998
AMZN270115P00100000,2026-02-09 20:29:31+00:00,100.0,1.09,9.0,0,12.5009,209.1801,46.6243,0.036429998
AMZN270115P00105000,2026-02-09 20:00:02+00:00,105.0,1.31,1.0,0,12.5009,209.0199,45.6088,0.036429998
AMZN270115P00110000,2026-02-09 20:00:02+00:00,110.0,1.55,14.0,0,12.5009,209.0199,44.5804,0.036429998
AMZN270115P00115000,2026-02-09 14:30:02+00:00,115.0,1.93,1.0,0,12.5009,205.92,43.4167,0.036429998
AMZN270115P00120000,2026-02-09 20:15:16+00:00,120.0,2.18,34.0,0,12.5009,209.355,42.9229,0.036429998
AMZN270115P00125000,2026-02-09 20:59:30+00:00,125.0,2.54,2.0,0,12.5009,208.66,41.8296,0.036429998
AMZN270115P00130000,2026-02-09 20:33:31+00:00,130.0,3.06,31.0,0,12.5009,209.28,41.5165,0.036429998
AMZN270115P00135000,2026-02-09 20:17:11+00:00,135.0,3.55,131.0,0,12.5009,209.42,40.7546,0.036429998
AMZN270115P00140000,2026-02-09 20:59:01+00:00,140.0,4.2,124.0,0,6.2509,208.66,40.066,0.036429998
AMZN270115P00145000,2026-02-09 18:47:14+00:00,145.0,4.85,8.0,0,6.2509,210.1865,39.8099,0.036429998
AMZN270115P00150000,2026-02-09 20:58:47+00:00,150.0,5.8,196.0,0,6.2509,208.66,39.2417,0.036429998
AMZN270115P00155000,2026-02-09 20:33:50+00:00,155.0,6.78,32.0,0,6.2509,209.28,39.1187,0.036429998
AMZN270115P00160000,2026-02-09 20:50:38+00:00,160.0,7.77,96.0,0,6.2509,208.98,38.5175,0.036429998
AMZN270115P00165000,2026-02-09 20:47:06+00:00,165.0,8.85,119.0,0,6.2509,209.44,38.1587,0.036429998
AMZN270115P00170000,2026-02-09 20:58:58+00:00,170.0,10.2,1688.0,0,6.2509,208.66,37.6809,0.036429998
AMZN270115P00175000,2026-02-09 20:21:56+00:00,175.0,11.7,854.0,0,3.126,208.8901,37.5979,0.036429998
AMZN270115P00180000,2026-02-09 20:57:28+00:00,180.0,13.3,1065.0,0,3.126,208.765,37.3391,0.036429998
AMZN270115P00185000,2026-02-09 20:56:56+00:00,185.0,14.91,1667.0,0,3.126,208.765,36.9505,0.036429998
AMZN270115P00190000,2026-02-09 20:53:05+00:00,190.0,16.88,1074.0,0,1.5635,209.09,37.0488,0.036429998
AMZN270115P00195000,2026-02-09 20:33:50+00:00,195.0,18.82,177.0,0,1.5635,209.28,36.8659,0.036429998
AMZN270115P00200000,2026-02-09 20:53:33+00:00,200.0,20.95,1327.0,0,0.7822,208.887,36.5064,0.036429998
AMZN270115P00205000,2026-02-09 20:28:19+00:00,205.0,23.35,129.0,0,0.3916,208.81,36.4687,0.036429998
AMZN270115P00210000,2026-02-09 20:56:47+00:00,210.0,25.73,1959.0,1,0.001,208.765,36.2454,0.036429998
AMZN270115P00215000,2026-02-09 20:10:02+00:00,215.0,28.2,66.0,1,0.001,209.24,36.2551,0.036429998
AMZN270115P00220000,2026-02-09 18:48:47+00:00,220.0,30.4,16.0,1,0.001,210.05,35.984,0.036429998
AMZN270115P00225000,2026-02-09 20:55:40+00:00,225.0,33.98,58.0,1,0.001,208.86,36.1542,0.036429998
AMZN270115P00230000,2026-02-09 18:52:42+00:00,230.0,36.32,50.0,1,0.001,209.755,35.8548,0.036429998
AMZN270115P00235000,2026-02-09 17:13:16+00:00,235.0,38.57,37.0,1,0.001,211.1,35.6438,0.036429998
AMZN270115P00240000,2026-02-09 20:43:10+00:00,240.0,43.3,42.0,1,0.001,209.36,36.3731,0.036429998
AMZN270115P00245000,2026-02-09 14:33:10+00:00,245.0,50.0,8.0,1,0.001,204.29,36.8964,0.036429998
AMZN270115P00250000,2026-02-09 19:51:05+00:00,250.0,50.55,21.0,1,0.001,208.79,36.5448,0.036429998
AMZN270115P00255000,2026-02-06 16:34:12+00:00,255.0,56.43,78.0,1,0.001,205.445,36.8769,0.036429998
AMZN270115P00260000,2026-02-09 17:30:15+00:00,260.0,57.0,20.0,1,0.001,210.275,36.8355,0.036429998
AMZN270115P00265000,2026-02-06 20:01:59+00:00,265.0,64.2,15.0,1,0.001,205.323,37.1905,0.036429998
AMZN270115P00270000,2026-02-09 14:49:09+00:00,270.0,67.7,2.0,1,0.001,205.7079,37.0789,0.036429998
AMZN270115P00275000,2026-02-06 14:55:57+00:00,275.0,75.1,6.0,1,0.001,201.935,38.2932,0.036429998
AMZN270115P00280000,2026-02-09 19:46:14+00:00,280.0,74.18,1.0,1,0.001,209.0699,38.5164,0.036429998
AMZN270115P00285000,2026-02-06 17:15:40+00:00,285.0,80.7,4.0,1,0.001,206.69,39.7955,0.036429998
AMZN270115P00290000,2026-02-09 19:35:32+00:00,290.0,83.0,1.0,1,0.001,208.84,39.5423,0.036429998
AMZN270115P00295000,2026-02-09 17:04:38+00:00,295.0,84.41,2.0,1,0.001,212.115,39.1678,0.036429998
AMZN270115P00300000,2026-02-09 18:30:01+00:00,300.0,90.66,7.0,1,0.001,210.2501,40.3929,0.036429998
AMZN270115P00305000,2026-02-05 20:52:30+00:00,305.0,86.7,8.0,1,0.001,222.12,41.1392,0.036429998
AMZN270115P00310000,2026-02-06 18:44:32+00:00,310.0,103.35,2.0,1,0.001,206.8601,43.3298,0.036429998
AMZN270115P00315000,2026-02-09 17:39:55+00:00,315.0,105.2,1.0,1,0.001,209.93,43.3023,0.036429998
AMZN270115P00320000,2026-02-09 17:51:26+00:00,320.0,110.58,1.0,1,0.001,209.545,44.7178,0.036429998
AMZN270115P00325000,2026-02-06 18:30:09+00:00,325.0,117.7,4.0,1,0.001,207.36,46.7105,0.036429998
AMZN270115P00330000,2026-02-06 18:31:07+00:00,330.0,122.54,3.0,1,0.001,207.16,47.432,0.036429998
AMZN270115P00335000,2026-01-30 15:18:03+00:00,335.0,94.85,8.0,1,0.001,,,0.036429998
AMZN270115P00340000,2026-02-06 14:30:02+00:00,340.0,138.12,50.0,1,0.001,201.86,52.3463,0.036429998
AMZN270115P00345000,2026-01-15 16:25:07+00:00,345.0,106.69,5.0,1,0.001,,,0.036429998
AMZN270115P00350000,2026-02-09 19:08:09+00:00,350.0,140.35,10.0,1,0.001,209.44,51.413,0.036429998
AMZN270115P00355000,2026-01-13 17:37:28+00:00,355.0,111.34,1.0,1,0.001,,,0.036429998
AMZN270115P00360000,2026-02-06 16:51:05+00:00,360.0,154.47,53.0,1,0.001,205.44,55.386,0.036429998
AMZN270115P00370000,2026-02-05 18:23:44+00:00,370.0,147.0,2.0,1,0.001,223.5214,51.7706,0.036429998
