contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
NVDA260918C00005000,2026-02-09 16:33:57+00:00,5.0,186.6,3.0,1,235.1567,191.5,,0.0364
NVDA260918C00010000,2026-01-28 19:34:35+00:00,10.0,182.0,8.0,1,191.8946,,306.2758,0.0364
NVDA260918C00015000,2025-09-23 15:18:36+00:00,15.0,166.54,5.0,1,0.001,,,0.0364
NVDA260918C00020000,2025-12-30 19:22:38+00:00,20.0,169.0,5.0,1,213.5503,,102.2582,0.0364
NVDA260918C00025000,2026-01-15 15:39:21+00:00,25.0,163.58,10.0,1,140.137,,,0.0364
NVDA260918C00030000,2026-01-28 15:17:08+00:00,30.0,162.74,2.0,1,132.2269,,177.831,0.0364
NVDA260918C00035000,2026-01-22 14:53:17+00:00,35.0,152.3,5.0,1,124.1703,,,0.0364
NVDA260918C00040000,2026-02-02 18:48:41+00:00,40.0,151.05,1.0,1,117.0903,,124.5291,0.0364
NVDA260918C00045000,2026-02-06 14:45:06+00:00,45.0,136.85,1.0,1,110.352,180.4997,87.0057,0.0364
NVDA260918C00050000,2026-02-04 20:52:12+00:00,50.0,126.72,22.0,1,98.7549,,,0.0364
NVDA260918C00055000,2026-02-10 16:46:48+00:00,55.0,134.2,1.0,1,95.5079,189.47,,0.0364
NVDA260918C00060000,2026-02-03 20:10:54+00:00,60.0,120.04,12.0,1,94.1651,,,0.0364
NVDA260918C00065000,2026-02-09 15:31:47+00:00,65.0,128.4,1.0,1,88.5743,191.3185,74.7074,0.0364
NVDA260918C00070000,2026-02-04 17:28:43+00:00,70.0,106.29,10.0,1,87.6954,,,0.0364
NVDA260918C00075000,2026-02-03 17:20:42+00:00,75.0,107.57,2.0,1,83.7892,,,0.0364
NVDA260918C00080000,2026-02-04 16:47:42+00:00,80.0,97.01,2.0,1,80.7619,,,0.0364
NVDA260918C00085000,2026-02-10 20:08:53+00:00,85.0,106.8,1.0,1,77.2463,188.505,66.0832,0.0364
NVDA260918C00090000,2026-02-10 15:19:04+00:00,90.0,103.14,2.0,1,74.7195,189.205,66.6675,0.0364
NVDA260918C00095000,2026-01-20 18:27:07+00:00,95.0,89.27,6.0,1,72.0096,,,0.0364
NVDA260918C00100000,2026-02-10 20:29:17+00:00,100.0,93.55,2.0,1,69.5316,189.1,60.6834,0.0364
NVDA260918C00105000,2026-02-09 17:06:22+00:00,105.0,91.24,5.0,1,67.2244,191.595,58.2585,0.0364
NVDA260918C00110000,2026-02-09 17:46:53+00:00,110.0,87.12,6.0,1,66.4676,191.885,57.4127,0.0364
NVDA260918C00115000,2026-02-09 19:46:51+00:00,115.0,81.97,6.0,1,63.6478,190.98,56.633,0.0364
NVDA260918C00120000,2026-02-10 16:58:55+00:00,120.0,76.05,2.0,1,61.8778,189.28,55.2469,0.0364
NVDA260918C00125000,2026-02-09 18:40:45+00:00,125.0,73.52,3.0,1,60.3642,191.3,53.7082,0.0364
NVDA260918C00130000,2026-02-09 15:40:31+00:00,130.0,69.37,5.0,1,58.9115,191.37,52.5687,0.0364
NVDA260918C00135000,2026-02-09 20:49:24+00:00,135.0,64.93,5.0,1,57.8984,190.37,53.2307,0.0364
NVDA260918C00140000,2026-02-10 18:21:27+00:00,140.0,59.85,32.0,1,56.8547,189.52,51.0872,0.0364
NVDA260918C00145000,2026-02-10 14:30:04+00:00,145.0,58.45,2.0,1,55.7164,191.655,52.0114,0.0364
NVDA260918C00150000,2026-02-10 14:55:03+00:00,150.0,52.0,4.0,1,55.341,189.52,48.7018,0.0364
NVDA260918C00155000,2026-02-10 20:10:20+00:00,155.0,48.24,31.0,1,53.8304,188.6,49.265,0.0364
NVDA260918C00160000,2026-02-10 20:04:38+00:00,160.0,45.05,11.0,1,53.1377,188.68,48.9284,0.0364
NVDA260918C00165000,2026-02-10 19:36:37+00:00,165.0,42.25,17.0,1,52.3564,189.1234,48.5778,0.0364
NVDA260918C00170000,2026-02-10 20:20:03+00:00,170.0,39.42,25.0,1,51.6881,189.386,48.1939,0.0364
NVDA260918C00175000,2026-02-10 20:55:43+00:00,175.0,35.93,58.0,1,51.0259,188.405,47.9181,0.0364
NVDA260918C00180000,2026-02-10 20:52:03+00:00,180.0,33.45,33.0,1,50.3667,188.79,47.5216,0.0364
NVDA260918C00185000,2026-02-10 20:48:10+00:00,185.0,31.1,41.0,1,50.147,189.36,46.9479,0.0364
NVDA260918C00190000,2026-02-10 20:56:51+00:00,190.0,28.15,531.0,0,49.6129,188.4099,46.7221,0.0364
NVDA260918C00195000,2026-02-10 20:48:54+00:00,195.0,26.3,361.0,0,49.204,189.34,46.2466,0.0364
NVDA260918C00200000,2026-02-10 20:54:04+00:00,200.0,23.88,102.0,0,48.8408,188.58,46.2031,0.0364
NVDA260918C00210000,2026-02-10 20:47:26+00:00,210.0,20.04,1260.0,0,47.9986,189.33,45.0944,0.0364
NVDA260918C00220000,2026-02-10 20:56:37+00:00,220.0,16.7,92.0,0,47.4798,188.4099,45.359,0.0364
NVDA260918C00230000,2026-02-10 19:36:35+00:00,230.0,14.13,37.0,0,47.0953,189.1234,44.9786,0.0364
