contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
PLTR260227C00075000,2026-02-04 14:49:59+00:00,75.0,72.7,,1,0.001,146.165,215.558,0.036429998
PLTR260227C00080000,2026-02-06 15:12:39+00:00,80.0,54.45,1.0,1,0.001,133.615,151.1187,0.036429998
PLTR260227C00085000,2026-02-04 18:18:55+00:00,85.0,52.48,,1,0.001,137.065,119.1513,0.036429998
PLTR260227C00090000,2026-02-06 19:37:59+00:00,90.0,46.35,10.0,1,0.001,135.82,111.0366,0.036429998
PLTR260227C00095000,2026-02-09 15:53:32+00:00,95.0,47.6,129.0,1,0.001,142.63,,0.036429998
PLTR260227C00100000,2026-02-09 17:39:07+00:00,100.0,45.5,138.0,1,0.001,145.3373,56.8551,0.036429998
PLTR260227C00105000,2026-02-09 19:48:07+00:00,105.0,38.75,11.0,1,0.001,144.119,,0.036429998
PLTR260227C00110000,2026-02-09 19:25:54+00:00,110.0,35.39,6.0,1,0.001,144.91,74.8587,0.036429998
PLTR260227C00115000,2026-02-09 16:14:49+00:00,115.0,28.87,9.0,1,0.001,142.9499,74.8383,0.036429998
PLTR260227C00120000,2026-02-09 15:36:58+00:00,120.0,22.3,13.0,1,0.001,141.8201,49.3085,0.036429998
PLTR260227C00125000,2026-02-09 20:10:02+00:00,125.0,20.6,35.0,1,0.001,144.03,64.997,0.036429998
PLTR260227C00130000,2026-02-09 20:52:53+00:00,130.0,15.45,203.0,1,0.001,142.695,63.7423,0.036429998
PLTR260227C00135000,2026-02-09 20:46:01+00:00,135.0,11.8,396.0,1,0.001,142.96,60.0767,0.036429998
PLTR260227C00140000,2026-02-09 20:59:53+00:00,140.0,8.45,1467.0,1,0.001,142.91,57.3657,0.036429998
PLTR260227C00145000,2026-02-09 20:59:40+00:00,145.0,5.8,1410.0,0,1.5635,142.91,55.7011,0.036429998
PLTR260227C00150000,2026-02-09 20:59:37+00:00,150.0,3.79,1951.0,0,6.2509,142.91,54.5481,0.036429998
PLTR260227C00155000,2026-02-09 20:58:37+00:00,155.0,2.36,1142.0,0,6.2509,142.91,53.7598,0.036429998
PLTR260227C00160000,2026-02-09 20:59:54+00:00,160.0,1.44,1695.0,0,12.5009,142.91,53.7036,0.036429998
PLTR260227C00165000,2026-02-09 20:59:54+00:00,165.0,0.89,14083.0,0,12.5009,142.91,54.4522,0.036429998
PLTR260227C00170000,2026-02-09 20:52:44+00:00,170.0,0.58,1297.0,0,12.5009,142.695,56.4729,0.036429998
PLTR260227C00175000,2026-02-09 20:58:31+00:00,175.0,0.38,768.0,0,25.0008,142.91,57.677,0.036429998
PLTR260227C00180000,2026-02-09 20:51:20+00:00,180.0,0.27,773.0,0,25.0008,142.97,59.9066,0.036429998
PLTR260227C00185000,2026-02-09 20:57:41+00:00,185.0,0.21,201.0,0,25.0008,143.2,62.56,0.036429998
PLTR260227C00190000,2026-02-09 20:54:09+00:00,190.0,0.16,286.0,0,25.0008,142.85,65.5589,0.036429998
PLTR260227C00195000,2026-02-09 19:59:15+00:00,195.0,0.13,147.0,0,25.0008,144.2497,66.5201,0.036429998
PLTR260227C00200000,2026-02-09 20:06:48+00:00,200.0,0.1,293.0,0,25.0008,144.0,69.0248,0.036429998
PLTR260227C00205000,2026-02-09 18:51:08+00:00,205.0,0.08,305.0,0,25.0008,144.2298,71.0628,0.036429998
PLTR260227C00210000,2026-02-09 20:43:43+00:00,210.0,0.06,29.0,0,25.0008,143.285,73.8166,0.036429998
PLTR260227C00215000,2026-02-09 16:38:06+00:00,215.0,0.06,2.0,0,50.0005,144.575,76.1646,0.036429998
PLTR260227C00220000,2026-02-09 20:09:11+00:00,220.0,0.04,31.0,0,50.0005,143.91,77.2297,0.036429998
PLTR260227C00225000,2026-02-09 17:58:30+00:00,225.0,0.04,2.0,0,50.0005,144.405,80.2213,0.036429998
PLTR260227C00230000,2026-02-09 18:40:27+00:00,230.0,0.02,32.0,0,50.0005,144.085,78.4606,0.036429998
