contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
SLV260211C00040000,2026-02-05 15:39:55+00:00,40.0,27.55,,1,0.001,67.1499,621.9751,0.036429998
SLV260211C00045000,2026-02-06 16:40:24+00:00,45.0,24.05,3.0,1,0.001,69.042,276.1403,0.036429998
SLV260211C00050000,2026-02-09 20:46:41+00:00,50.0,25.88,4.0,1,0.001,75.855,317.6695,0.036429998
SLV260211C00055000,2026-02-06 19:17:54+00:00,55.0,15.45,2.0,1,0.001,70.12309,315.8762,0.036429998
SLV260211C00058000,2026-02-09 15:12:30+00:00,58.0,15.8,15.0,1,0.001,73.83,,0.036429998
SLV260211C00059000,2026-02-09 17:37:08+00:00,59.0,16.74,2.0,1,0.001,75.59,267.7193,0.036429998
SLV260211C00060000,2026-02-09 20:47:57+00:00,60.0,15.88,31.0,1,0.001,75.95,,0.036429998
SLV260211C00061000,2026-02-09 19:59:49+00:00,61.0,14.71,51.0,1,0.001,75.55,239.8746,0.036429998
SLV260211C00062000,2026-02-09 18:30:43+00:00,62.0,12.96,16.0,1,0.001,74.88,189.4768,0.036429998
SLV260211C00063000,2026-02-09 20:17:12+00:00,63.0,12.9,37.0,1,0.001,75.805,191.8851,0.036429998
SLV260211C00064000,2026-02-09 20:49:12+00:00,64.0,12.1,13.0,1,0.001,75.9665,192.3348,0.036429998
SLV260211C00065000,2026-02-09 21:13:01+00:00,65.0,10.9,238.0,1,0.001,76.0001,,0.036429998
SLV260211C00066000,2026-02-09 20:38:43+00:00,66.0,10.01,229.0,1,0.001,75.9101,153.3912,0.036429998
SLV260211C00067000,2026-02-09 20:53:46+00:00,67.0,9.37,191.0,1,0.001,76.14,171.7551,0.036429998
SLV260211C00068000,2026-02-09 20:58:03+00:00,68.0,8.2,298.0,1,0.001,76.018,145.8012,0.036429998
SLV260211C00069000,2026-02-09 21:07:28+00:00,69.0,7.33,310.0,1,0.001,76.0001,153.4166,0.036429998
