contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
SLV260313P00020000,2026-02-02 16:26:38+00:00,20.0,0.04,,0,50.0005,,186.4586,0.036429998
SLV260313P00025000,2026-02-06 14:56:01+00:00,25.0,0.04,300.0,0,50.0005,68.8202,144.8421,0.036429998
SLV260313P00030000,2026-02-09 15:48:35+00:00,30.0,0.04,2.0,0,50.0005,74.61,129.9052,0.036429998
SLV260313P00035000,2026-02-09 20:17:51+00:00,35.0,0.08,63.0,0,50.0005,75.855,121.5815,0.036429998
SLV260313P00040000,2026-02-09 14:57:46+00:00,40.0,0.16,8.0,0,50.0005,74.065,110.1073,0.036429998
SLV260313P00045000,2026-02-09 20:20:09+00:00,45.0,0.27,28.0,0,50.0005,75.975,104.152,0.036429998
SLV260313P00050000,2026-02-09 21:11:32+00:00,50.0,0.52,249.0,0,25.0008,76.0001,98.7846,0.036429998
SLV260313P00055000,2026-02-09 21:10:30+00:00,55.0,0.93,254.0,0,25.0008,76.0001,93.484,0.036429998
SLV260313P00060000,2026-02-09 20:58:16+00:00,60.0,1.69,294.0,0,25.0008,76.018,90.8222,0.036429998
SLV260313P00065000,2026-02-09 21:00:18+00:00,65.0,2.93,303.0,0,12.5009,76.0001,89.6241,0.036429998
SLV260313P00070000,2026-02-09 21:14:48+00:00,70.0,4.91,1050.0,0,6.2509,76.0001,91.6587,0.036429998
SLV260313P00072000,2026-02-09 19:53:15+00:00,72.0,5.72,59.0,0,6.2509,75.485,88.4044,0.036429998
SLV260313P00073000,2026-02-09 20:52:05+00:00,73.0,6.17,26.0,0,3.126,76.075,90.7817,0.036429998
SLV260313P00073500,2026-02-09 18:47:57+00:00,73.5,6.74,8.0,0,3.126,74.845,88.7392,0.036429998
SLV260313P00074000,2026-02-09 20:13:08+00:00,74.0,6.6,93.0,0,3.126,75.88,89.1005,0.036429998
SLV260313P00075000,2026-02-09 21:13:16+00:00,75.0,7.4,100.0,0,1.5635,76.0001,93.0272,0.036429998
SLV260313P00076000,2026-02-09 21:14:53+00:00,76.0,7.9,22.0,0,0.0987,76.0001,92.5953,0.036429998
SLV260313P00077000,2026-02-09 18:33:40+00:00,77.0,8.83,5.0,1,0.001,75.03,91.6136,0.036429998
SLV260313P00077500,2026-02-09 15:39:30+00:00,77.5,9.37,4.0,1,0.001,74.43,90.9818,0.036429998
SLV260313P00078000,2026-02-09 19:30:08+00:00,78.0,9.05,207.0,1,0.001,75.6,90.5561,0.036429998
SLV260313P00079000,2026-02-09 18:57:15+00:00,79.0,9.86,1.0,1,0.001,75.33,91.3603,0.036429998
SLV260313P00080000,2026-02-09 20:31:11+00:00,80.0,10.3,68.0,1,0.001,75.945,92.9683,0.036429998
SLV260313P00081000,2026-02-09 17:58:18+00:00,81.0,11.38,7.0,1,0.001,74.755,90.5222,0.036429998
SLV260313P00082000,2026-02-06 16:09:27+00:00,82.0,16.62,3.0,1,0.001,68.84,101.3486,0.036429998
SLV260313P00083000,2026-02-09 16:39:47+00:00,83.0,12.45,2.0,1,0.001,75.48,92.201,0.036429998
SLV260313P00084000,2026-02-06 18:00:36+00:00,84.0,17.1,7.0,1,0.001,70.305,100.3852,0.036429998
SLV260313P00085000,2026-02-09 20:19:18+00:00,85.0,13.74,8.0,1,0.001,75.9618,94.475,0.036429998
SLV260313P00086000,2026-02-09 14:36:03+00:00,86.0,16.12,2.0,1,0.001,73.13,92.258,0.036429998
SLV260313P00087000,2026-02-06 20:15:12+00:00,87.0,19.65,2.0,1,0.001,70.16,101.5252,0.036429998
SLV260313P00088000,2026-02-06 17:57:54+00:00,88.0,20.58,22.0,1,0.001,70.2456,104.2299,0.036429998
SLV260313P00089000,2026-02-09 20:36:58+00:00,89.0,16.92,1.0,1,0.001,75.78,96.1501,0.036429998
SLV260313P00090000,2026-02-09 16:15:24+00:00,90.0,18.4,6.0,1,0.001,75.195,100.2421,0.036429998
SLV260313P00091000,2026-02-09 16:06:38+00:00,91.0,19.2,1.0,1,0.001,74.8579,97.3477,0.036429998
SLV260313P00092000,2026-02-09 17:52:57+00:00,92.0,19.85,2.0,1,0.001,75.125,97.9355,0.036429998
SLV260313P00093000,2026-02-09 16:07:34+00:00,93.0,20.9,10.0,1,0.001,74.95,99.5739,0.036429998
SLV260313P00094000,2026-02-09 21:03:02+00:00,94.0,21.1,7.0,1,0.001,76.0001,101.6491,0.036429998
SLV260313P00095000,2026-02-09 19:36:46+00:00,95.0,21.99,8.0,1,0.001,75.665,99.329,0.036429998
SLV260313P00095500,2026-02-06 17:56:37+00:00,95.5,27.2,2.0,1,0.001,70.1867,108.3282,0.036429998
SLV260313P00096000,2026-02-06 16:32:34+00:00,96.0,28.88,1.0,1,0.001,68.5151,106.1269,0.036429998
SLV260313P00096500,2026-02-09 14:49:41+00:00,96.5,24.68,1.0,1,0.001,73.84,99.9595,0.036429998
SLV260313P00097000,2026-02-02 19:40:39+00:00,97.0,26.57,5.0,1,0.001,,141.8448,0.036429998
