contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
SPY280616P00050000,2026-01-21 15:48:55+00:00,50.0,0.09,1.0,0,25.0008,,61.6559,0.036429998
SPY280616P00060000,2026-02-03 18:30:55+00:00,60.0,0.18,2.0,0,25.0008,,61.3721,0.036429998
SPY280616P00065000,2025-12-15 14:30:00+00:00,65.0,0.22,,0,56.8364,,60.6142,0.036429998
SPY280616P00070000,2026-02-03 15:15:33+00:00,70.0,0.21,1.0,0,25.0008,,58.4202,0.036429998
SPY280616P00075000,2025-12-22 15:20:53+00:00,75.0,0.22,10.0,0,54.7368,,56.9469,0.036429998
SPY280616P00095000,2026-02-05 15:15:13+00:00,95.0,0.36,2.0,0,25.0008,677.1975,53.3243,0.036429998
SPY280616P00100000,2025-12-15 16:30:51+00:00,100.0,0.46,1.0,0,50.6353,,53.9953,0.036429998
SPY280616P00110000,2026-02-04 16:54:18+00:00,110.0,0.46,3.0,0,25.0008,685.43,51.1574,0.036429998
SPY280616P00120000,2025-12-16 16:33:51+00:00,120.0,0.72,,0,48.4868,,51.891,0.036429998
SPY280616P00130000,2026-01-30 20:48:15+00:00,130.0,0.68,6.0,0,25.0008,,49.263,0.036429998
SPY280616P00135000,2026-02-09 14:31:09+00:00,135.0,0.82,44.0,0,25.0008,688.92,49.2412,0.036429998
SPY280616P00140000,2026-02-09 15:04:54+00:00,140.0,0.88,132.0,0,25.0008,691.46,48.7425,0.036429998
SPY280616P00145000,2025-12-29 20:02:57+00:00,145.0,0.98,1.0,0,45.8013,,48.5196,0.036429998
SPY280616P00150000,2026-02-06 15:16:07+00:00,150.0,1.03,1.0,0,25.0008,684.19,47.5411,0.036429998
SPY280616P00155000,2026-01-30 18:27:05+00:00,155.0,1.05,100.0,0,12.5009,,47.0294,0.036429998
SPY280616P00160000,2026-01-16 20:04:39+00:00,160.0,1.05,,0,12.5009,,46.1018,0.036429998
SPY280616P00165000,2026-01-16 20:05:04+00:00,165.0,1.12,941.0,0,12.5009,,45.6165,0.036429998
SPY280616P00180000,2026-01-12 20:40:33+00:00,180.0,1.46,8.0,0,12.5009,,44.7617,0.036429998
SPY280616P00190000,2025-12-23 17:12:42+00:00,190.0,1.71,,0,41.5045,,44.1761,0.036429998
SPY280616P00195000,2026-01-30 18:29:46+00:00,195.0,1.78,2.0,0,12.5009,,43.6456,0.036429998
SPY280616P00200000,2026-02-06 14:45:00+00:00,200.0,1.91,1.0,0,12.5009,685.58,43.0425,0.036429998
SPY280616P00205000,2026-02-03 16:40:22+00:00,205.0,1.93,1.0,0,12.5009,,42.6374,0.036429998
SPY280616P00210000,2026-02-03 17:23:25+00:00,210.0,2.06,1.0,0,12.5009,,42.3243,0.036429998
SPY280616P00215000,2026-01-27 19:04:47+00:00,215.0,2.11,3.0,0,12.5009,,41.7443,0.036429998
SPY280616P00220000,2026-01-27 18:02:11+00:00,220.0,2.23,15.0,0,12.5009,,41.3912,0.036429998
SPY280616P00225000,2026-02-02 14:43:12+00:00,225.0,2.41,13.0,0,12.5009,,41.205,0.036429998
SPY280616P00230000,2026-02-02 14:43:12+00:00,230.0,2.54,13.0,0,12.5009,,40.8594,0.036429998
SPY280616P00240000,2026-02-04 20:32:28+00:00,240.0,2.87,1.0,0,12.5009,687.46,40.0811,0.036429998
SPY280616P00245000,2025-12-30 20:12:28+00:00,245.0,2.96,,0,37.1832,,39.8617,0.036429998
SPY280616P00250000,2026-01-28 15:51:33+00:00,250.0,3.07,5.0,0,12.5009,,39.4488,0.036429998
SPY280616P00260000,2025-12-30 14:36:10+00:00,260.0,3.38,1.0,0,36.1029,,38.817,0.036429998
