contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
TLT260313P00070000,2026-02-02 21:09:48+00:00,70.0,0.02,38.0,0,30.4694,,34.2272,0.0365
TLT260313P00075000,2026-02-04 20:50:11+00:00,75.0,0.05,3.0,0,23.8289,,28.4632,0.0365
TLT260313P00080000,2026-02-11 15:08:43+00:00,80.0,0.05,5.0,0,16.8954,88.16,18.7546,0.0365
TLT260313P00081000,2026-02-11 20:51:41+00:00,81.0,0.04,41.0,0,15.6258,87.985,15.8575,0.0365
TLT260313P00081500,2026-02-11 15:47:33+00:00,81.5,0.06,50.0,0,15.1376,88.1601,16.3292,0.0365
TLT260313P00082000,2026-02-11 15:10:31+00:00,82.0,0.06,9.0,0,14.161,88.19,15.3711,0.0365
TLT260313P00082500,2026-02-10 14:30:07+00:00,82.5,0.07,5.0,0,13.5751,88.225,14.86,0.0365
TLT260313P00083000,2026-02-11 14:49:02+00:00,83.0,0.08,1.0,0,12.8915,88.0297,13.8168,0.0365
TLT260313P00083500,2026-02-11 18:30:16+00:00,83.5,0.09,2.0,0,12.2079,88.09,13.2005,0.0365
TLT260313P00084000,2026-02-11 20:51:41+00:00,84.0,0.11,59.0,0,11.6708,87.985,12.4603,0.0365
TLT260313P00084500,2026-02-11 20:15:57+00:00,84.5,0.14,8.0,0,11.036,87.945,11.9517,0.0365
TLT260313P00085000,2026-02-11 19:45:46+00:00,85.0,0.17,31.0,0,10.6454,88.06,11.6338,0.0365
TLT260313P00085500,2026-02-11 18:55:11+00:00,85.5,0.24,194.0,0,10.2304,88.0199,11.4926,0.0365
TLT260313P00086000,2026-02-11 19:34:09+00:00,86.0,0.31,290.0,0,9.8886,88.04,11.1979,0.0365
TLT260313P00086500,2026-02-11 18:09:30+00:00,86.5,0.41,154.0,0,9.7665,88.13,11.2702,0.0365
TLT260313P00087000,2026-02-11 20:15:10+00:00,87.0,0.58,45.0,0,9.6445,87.94,10.9172,0.0365
TLT260313P00087500,2026-02-11 20:15:57+00:00,87.5,0.79,19.0,0,9.6445,87.945,11.2107,0.0365
TLT260313P00088000,2026-02-11 20:41:42+00:00,88.0,1.01,93.0,0,9.6689,87.975,11.3484,0.0365
TLT260313P00088500,2026-02-11 19:45:46+00:00,88.5,1.27,5.0,1,9.7909,88.06,11.8626,0.0365
TLT260313P00089000,2026-02-11 18:02:00+00:00,89.0,1.41,22.0,1,10.0351,88.22,11.3546,0.0365
TLT260313P00089500,2026-02-10 20:38:56+00:00,89.5,1.73,30.0,1,10.2548,88.4442,12.9414,0.0365
TLT260313P00090000,2026-02-10 14:41:24+00:00,90.0,2.19,20.0,1,10.8651,88.3087,13.5496,0.0365
TLT260313P00090500,2026-02-11 14:58:08+00:00,90.5,2.84,1.0,1,11.4999,88.05,14.9537,0.0365
TLT260313P00091000,2026-02-09 18:57:53+00:00,91.0,3.85,21.0,1,12.2567,87.45,17.3036,0.0365
TLT260313P00091500,2026-02-10 17:43:05+00:00,91.5,3.45,,1,13.5263,88.425,16.6866,0.0365
TLT260313P00092000,2026-02-11 19:59:26+00:00,92.0,4.18,5065.0,1,13.9169,88.0501,17.3886,0.0365
TLT260313P00093000,2026-01-29 14:33:17+00:00,93.0,6.29,,1,15.1864,,34.1124,0.0365
TLT260313P00094000,2026-02-04 15:51:32+00:00,94.0,7.5,,1,17.286,,39.6666,0.0365
