contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
META260211C00560000,2026-01-29 19:02:21+00:00,560.0,178.01,,1,208.4966,,912.0291,0.0365
META260211C00562500,2026-02-11 16:58:38+00:00,562.5,102.81,1.0,1,204.9321,663.825,196.728,0.0365
META260211C00565000,2026-02-11 17:08:53+00:00,565.0,98.9,2.0,1,199.9512,664.3,,0.0365
META260211C00567500,2026-02-11 17:08:53+00:00,567.5,96.44,1.0,1,195.0196,664.3,,0.0365
META260211C00570000,2026-02-11 20:57:25+00:00,570.0,100.05,10.0,1,169.6291,669.5,157.6679,0.0365
META260211C00585000,2026-02-10 17:03:33+00:00,585.0,86.34,5.0,1,145.5081,672.27,,0.0365
META260211C00595000,2026-02-11 16:26:03+00:00,595.0,74.35,3.0,1,149.8049,669.63,,0.0365
META260211C00600000,2026-02-11 20:59:26+00:00,600.0,69.55,93.0,1,98.4375,668.7123,123.1814,0.0365
META260211C00602500,2026-02-06 14:40:55+00:00,602.5,59.5,1.0,1,118.6528,660.64,121.1525,0.0365
META260211C00605000,2026-02-09 16:54:04+00:00,605.0,74.16,,1,113.2817,679.78,,0.0365
META260211C00610000,2026-02-09 16:54:27+00:00,610.0,68.61,4.0,1,117.8715,679.78,,0.0365
META260211C00615000,2026-02-09 15:00:00+00:00,615.0,46.51,1.0,1,78.9065,659.65,107.1075,0.0365
META260211C00617500,2026-02-11 20:57:37+00:00,617.5,52.2,2.0,1,63.6722,669.04,91.5475,0.0365
META260211C00620000,2026-02-11 20:37:55+00:00,620.0,49.55,5.0,1,60.7426,669.455,57.5153,0.0365
META260211C00622500,2026-01-28 18:08:23+00:00,622.5,56.55,,1,57.8129,,203.771,0.0365
META260211C00625000,2026-02-11 20:48:02+00:00,625.0,46.65,76.0,1,65.8207,672.2399,,0.0365
META260211C00627500,2026-02-11 20:55:00+00:00,627.5,41.75,1.0,1,52.1489,668.865,67.6307,0.0365
META260211C00630000,2026-02-11 20:30:45+00:00,630.0,38.56,44.0,1,59.2778,668.845,,0.0365
META260211C00632500,2026-02-10 20:57:15+00:00,632.5,38.53,1.0,1,55.9575,670.02,78.0381,0.0365
META260211C00635000,2026-02-11 20:55:00+00:00,635.0,34.25,39.0,1,52.5884,668.865,57.1015,0.0365
META260211C00637500,2026-02-11 17:39:30+00:00,637.5,25.6,1.0,1,49.2193,664.23,,0.0365
META260211C00640000,2026-02-11 19:45:49+00:00,640.0,27.83,17.0,1,45.899,668.0901,,0.0365
META260211C00642500,2026-02-11 18:01:42+00:00,642.5,16.0,11.0,1,42.481,659.7475,,0.0365
META260211C00645000,2026-02-11 20:42:51+00:00,645.0,25.45,16.0,1,39.0631,670.82,,0.0365
META260211C00647500,2026-02-11 17:58:08+00:00,647.5,13.3,2.0,1,35.6452,659.83,34.6554,0.0365
META260211C00650000,2026-02-11 20:55:00+00:00,650.0,19.25,114.0,1,32.1296,668.865,35.4108,0.0365
META260211C00652500,2026-02-11 20:42:10+00:00,652.5,17.7,18.0,1,28.5652,670.105,22.3621,0.0365
META260211C00655000,2026-02-11 20:55:00+00:00,655.0,14.4,98.0,1,25.0008,668.865,30.6195,0.0365
META260211C00657500,2026-02-11 20:40:56+00:00,657.5,12.52,691.0,1,21.2898,669.81,21.2915,0.0365
META260211C00660000,2026-02-11 20:54:31+00:00,660.0,9.73,2572.0,1,17.5057,668.865,26.3266,0.0365
META260211C00662500,2026-02-11 20:59:11+00:00,662.5,6.76,4326.0,1,13.5507,668.7123,17.5215,0.0365
META260211C00665000,2026-02-11 20:59:28+00:00,665.0,4.15,11654.0,1,9.3271,668.7123,11.4755,0.0365
META260211C00667500,2026-02-11 20:59:56+00:00,667.5,1.6,12822.0,1,5.2744,668.7123,5.7615,0.0365
META260211C00670000,2026-02-11 20:59:58+00:00,670.0,0.05,28479.0,0,3.248,668.7123,2.7968,0.0365
META260211C00672500,2026-02-11 20:58:09+00:00,672.5,0.01,14985.0,0,5.0791,669.04,4.5723,0.0365
META260211C00675000,2026-02-11 20:57:54+00:00,675.0,0.01,20370.0,0,7.8134,669.04,7.3447,0.0365
META260211C00677500,2026-02-11 20:56:56+00:00,677.5,0.01,7009.0,0,10.3525,669.5,9.4991,0.0365
META260211C00680000,2026-02-11 20:54:45+00:00,680.0,0.01,18207.0,0,12.8915,668.865,12.7156,0.0365
META260211C00682500,2026-02-11 20:55:49+00:00,682.5,0.01,4172.0,0,15.4305,668.895,15.1696,0.0365
META260211C00685000,2026-02-11 20:59:09+00:00,685.0,0.01,7747.0,0,17.9696,668.7123,17.7842,0.0365
META260211C00687500,2026-02-11 20:51:12+00:00,687.5,0.01,2557.0,0,20.3133,669.273,19.6239,0.0365
META260211C00690000,2026-02-11 20:59:54+00:00,690.0,0.01,5169.0,0,22.657,668.7123,22.5241,0.0365
META260211C00692500,2026-02-11 20:26:13+00:00,692.5,0.01,626.0,0,25.0008,669.49,24.0974,0.0365
META260211C00695000,2026-02-11 20:51:18+00:00,695.0,0.01,3513.0,0,27.3445,669.273,26.5997,0.0365
META260211C00697500,2026-02-11 20:53:50+00:00,697.5,0.01,248.0,0,29.6882,669.76,28.4067,0.0365
META260211C00700000,2026-02-11 20:29:01+00:00,700.0,0.01,3885.0,0,31.6413,668.63,31.711,0.0365
META260211C00702500,2026-02-11 20:05:07+00:00,702.5,0.01,934.0,0,36.3288,669.9699,32.6775,0.0365
META260211C00705000,2026-02-11 20:50:58+00:00,705.0,0.01,132.0,0,35.9381,669.273,35.5238,0.0365
META260211C00707500,2026-02-11 20:34:11+00:00,707.5,0.02,52.0,0,38.2819,669.15,40.5516,0.0365
META260211C00710000,2026-02-11 20:47:19+00:00,710.0,0.01,114.0,0,40.6256,671.3525,37.9495,0.0365
META260211C00712500,2026-02-11 18:59:55+00:00,712.5,0.01,6.0,0,42.1881,668.39,42.8018,0.0365
META260211C00715000,2026-02-11 20:43:39+00:00,715.0,0.01,100.0,0,44.5318,670.9,42.638,0.0365
META260211C00717500,2026-02-11 17:12:58+00:00,717.5,0.01,52.0,0,46.8755,664.88,50.1986,0.0365
META260211C00720000,2026-02-11 20:47:20+00:00,720.0,0.01,48.0,0,48.438,671.3525,46.4344,0.0365
META260211C00722500,2026-02-11 20:10:44+00:00,722.5,0.01,2.0,0,50.7817,669.505,50.1743,0.0365
META260211C00725000,2026-02-11 17:45:45+00:00,725.0,0.01,19.0,0,50.0005,665.57,55.759,0.0365
META260211C00727500,2026-02-10 20:43:36+00:00,727.5,0.01,573.0,0,51.563,674.3,49.9985,0.0365
META260211C00730000,2026-02-11 16:39:17+00:00,730.0,0.01,9.0,0,57.0317,666.54,58.9481,0.0365
META260211C00732500,2026-02-11 20:45:25+00:00,732.5,0.01,2.0,0,56.2504,671.39,56.6522,0.0365
META260211C00735000,2026-02-11 20:45:09+00:00,735.0,0.01,17.0,0,57.8129,671.39,58.6606,0.0365
META260211C00737500,2026-02-10 15:22:54+00:00,737.5,0.04,7.0,0,59.3754,672.465,68.4263,0.0365
META260211C00740000,2026-02-10 18:43:34+00:00,740.0,0.01,2.0,0,60.9379,673.26,60.9946,0.0365
META260211C00742500,2026-02-10 20:45:04+00:00,742.5,0.01,44.0,0,62.5004,673.81,62.4872,0.0365
META260211C00745000,2026-02-09 20:40:42+00:00,745.0,0.04,80.0,0,65.6253,679.5,68.1587,0.0365
META260211C00747500,2026-02-09 17:22:32+00:00,747.5,0.11,15.0,0,67.1878,681.95,76.6919,0.0365
META260211C00750000,2026-02-10 17:15:59+00:00,750.0,0.01,89.0,0,68.7503,673.38,68.7169,0.0365
META260211C00755000,2026-02-10 16:26:37+00:00,755.0,0.01,22.0,0,71.8753,670.66,74.9207,0.0365
META260211C00760000,2026-02-11 15:29:47+00:00,760.0,0.01,5.0,0,75.0003,662.605,85.6994,0.0365
META260211C00765000,2026-02-10 14:30:01+00:00,765.0,0.01,1.0,0,79.6877,673.41,80.0971,0.0365
META260211C00770000,2026-02-11 18:00:41+00:00,770.0,0.01,1.0,0,84.3752,658.0,97.1049,0.0365
META260211C00775000,2026-02-10 14:30:01+00:00,775.0,0.01,10.0,0,87.5001,673.41,87.4979,0.0365
