contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
XLE260213P00030000,2026-02-06 19:19:12+00:00,30.0,0.08,3.0,0,275.0003,53.305,533.2608,0.0365
XLE260213P00035000,2026-02-06 19:19:12+00:00,35.0,0.13,3.0,0,196.875,53.305,438.8432,0.0365
XLE260213P00039500,2026-01-21 20:21:27+00:00,39.5,0.04,2.0,0,465.3324,,293.6582,0.0365
XLE260213P00040000,2026-02-06 19:23:30+00:00,40.0,0.03,2.0,0,137.5003,53.315,250.2708,0.0365
XLE260213P00040500,2026-02-06 19:23:30+00:00,40.5,0.06,2.0,0,131.2503,53.315,267.0315,0.0365
XLE260213P00041000,2026-02-10 19:37:49+00:00,41.0,0.02,3.0,0,128.1254,53.615,222.9086,0.0365
XLE260213P00041500,2026-02-10 18:20:33+00:00,41.5,0.01,1.0,0,121.8754,53.565,195.9275,0.0365
XLE260213P00042000,2026-02-09 14:54:55+00:00,42.0,0.01,30.0,0,118.7504,53.21,183.1742,0.0365
XLE260213P00042500,2026-02-11 15:38:19+00:00,42.5,0.01,53.0,0,112.5004,54.625,192.58,0.0365
XLE260213P00043000,2026-02-09 17:05:12+00:00,43.0,0.01,4.0,0,100.0005,53.555,171.158,0.0365
XLE260213P00043500,2026-02-09 17:19:10+00:00,43.5,0.01,12.0,0,96.875,53.52,162.6295,0.0365
XLE260213P00044000,2026-02-09 18:21:12+00:00,44.0,0.01,20.0,0,93.7501,53.53,154.7318,0.0365
XLE260213P00044500,2026-02-09 17:11:48+00:00,44.5,0.01,10.0,0,87.5001,53.52,146.6342,0.0365
XLE260213P00045000,2026-02-11 15:16:01+00:00,45.0,0.01,2.0,0,84.3752,54.455,150.6594,0.0365
XLE260213P00045500,2026-02-10 20:32:45+00:00,45.5,0.01,2.0,0,81.2502,53.525,130.912,0.0365
XLE260213P00046000,2026-02-11 18:57:01+00:00,46.0,0.01,5.0,0,75.0003,54.805,139.5532,0.0365
XLE260213P00046500,2026-02-10 16:12:18+00:00,46.5,0.02,1.0,0,78.1252,53.43,125.288,0.0365
XLE260213P00047000,2026-02-11 18:58:03+00:00,47.0,0.01,1.0,0,73.4378,54.81,124.31,0.0365
XLE260213P00047500,2026-02-11 17:22:08+00:00,47.5,0.01,2.0,0,68.7503,54.98,118.8968,0.0365
XLE260213P00048000,2026-02-11 19:51:18+00:00,48.0,0.01,1.0,0,64.0629,54.935,110.7718,0.0365
XLE260213P00048500,2026-02-11 21:12:14+00:00,48.5,0.01,23.0,0,56.2504,54.98,103.8369,0.0365
XLE260213P00049000,2026-02-11 15:23:29+00:00,49.0,0.03,2.0,0,58.5942,54.471,105.4803,0.0365
XLE260213P00049500,2026-02-11 18:55:30+00:00,49.5,0.1,3.0,0,101.1724,54.8,128.6636,0.0365
XLE260213P00050000,2026-02-11 20:08:12+00:00,50.0,0.02,232.0,0,50.0005,54.935,89.3531,0.0365
XLE260213P00050500,2026-02-11 18:27:02+00:00,50.5,0.02,46.0,0,51.9536,54.95,81.4898,0.0365
XLE260213P00051000,2026-02-11 20:06:04+00:00,51.0,0.05,31.0,0,50.3911,54.935,86.4355,0.0365
XLE260213P00052000,2026-02-11 21:13:13+00:00,52.0,0.03,163.0,0,37.8912,54.98,61.9227,0.0365
XLE260213P00052500,2026-02-11 20:36:27+00:00,52.5,0.04,431.0,0,32.4226,54.925,55.4964,0.0365
XLE260213P00053000,2026-02-11 21:00:46+00:00,53.0,0.03,417.0,0,28.5163,54.98,44.2822,0.0365
XLE260213P00053500,2026-02-11 20:58:03+00:00,53.5,0.06,327.0,0,36.0358,54.995,42.1384,0.0365
XLE260213P00054000,2026-02-11 20:58:54+00:00,54.0,0.1,1061.0,0,33.3991,54.98,37.0601,0.0365
XLE260213P00054500,2026-02-11 20:59:09+00:00,54.5,0.21,936.0,0,22.1687,54.98,35.6575,0.0365
XLE260213P00055000,2026-02-11 21:00:45+00:00,55.0,0.43,770.0,1,66.1136,54.98,36.8149,0.0365
XLE260213P00056000,2026-02-11 20:45:10+00:00,56.0,1.1,8.0,1,57.8129,54.945,30.3919,0.0365
XLE260213P00057000,2026-02-10 18:48:05+00:00,57.0,3.44,,1,89.6485,53.55,,0.0365
