contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
AAPL271217P00005000,2026-02-06 15:35:44+00:00,5.0,0.01,1.0,0,146.5823,,95.6081,0.0365
AAPL271217P00025000,2026-02-03 17:11:14+00:00,25.0,0.05,10.0,0,62.5004,,63.91,0.0365
AAPL271217P00030000,2026-02-12 16:03:25+00:00,30.0,0.08,85.0,0,57.0317,268.155,62.3565,0.0365
AAPL271217P00035000,2026-02-12 18:25:46+00:00,35.0,0.07,128.0,0,55.4692,262.21,56.7136,0.0365
AAPL271217P00040000,2026-01-28 19:07:05+00:00,40.0,0.15,,0,53.0278,,57.5873,0.0365
AAPL271217P00045000,2025-12-29 16:02:31+00:00,45.0,0.17,,0,53.1255,,54.8784,0.0365
AAPL271217P00050000,2026-02-11 19:46:59+00:00,50.0,0.24,27.0,0,52.1977,277.3,55.3529,0.0365
AAPL271217P00055000,2026-01-06 16:36:43+00:00,55.0,0.3,1.0,0,50.3911,,52.478,0.0365
AAPL271217P00060000,2026-02-03 14:39:27+00:00,60.0,0.35,25.0,0,52.4175,,50.7495,0.0365
AAPL271217P00065000,2026-01-30 20:43:40+00:00,65.0,0.43,2.0,0,48.731,,49.566,0.0365
AAPL271217P00070000,2026-02-09 15:27:39+00:00,70.0,0.5,3.0,0,48.2427,273.235,49.2958,0.0365
AAPL271217P00075000,2026-01-27 20:45:42+00:00,75.0,0.63,2.0,0,49.5733,,47.4664,0.0365
AAPL271217P00080000,2026-02-06 14:50:24+00:00,80.0,0.64,1.0,0,44.9713,,45.3489,0.0365
AAPL271217P00085000,2026-02-04 19:09:03+00:00,85.0,0.78,1.0,0,45.3008,,44.6408,0.0365
AAPL271217P00090000,2026-01-29 19:27:23+00:00,90.0,1.02,1.0,0,44.0435,,44.5827,0.0365
AAPL271217P00095000,2026-02-05 16:49:38+00:00,95.0,1.08,2.0,0,42.9571,,43.0228,0.0365
AAPL271217P00100000,2026-02-12 15:01:26+00:00,100.0,1.28,21.0,0,40.9064,271.61,43.5183,0.0365
AAPL271217P00105000,2026-02-06 20:26:52+00:00,105.0,1.33,1.0,0,40.003,,40.843,0.0365
AAPL271217P00110000,2026-02-12 15:03:37+00:00,110.0,1.64,12.0,0,39.173,271.12,41.7797,0.0365
AAPL271217P00115000,2026-02-05 15:59:35+00:00,115.0,1.85,1.0,0,38.3673,,39.8815,0.0365
AAPL271217P00120000,2026-02-12 17:42:25+00:00,120.0,2.37,6.0,0,37.641,263.525,40.461,0.0365
AAPL271217P00125000,2026-02-11 17:25:02+00:00,125.0,2.15,2.0,0,36.8537,279.8257,39.9008,0.0365
AAPL271217P00130000,2026-02-12 16:36:09+00:00,130.0,2.8,50.0,0,36.2128,266.25,38.8854,0.0365
AAPL271217P00135000,2026-02-12 17:43:11+00:00,135.0,3.35,7.0,0,35.6086,263.74,38.549,0.0365
AAPL271217P00140000,2026-02-12 19:48:54+00:00,140.0,3.8,16.0,0,34.9311,261.965,37.8659,0.0365
AAPL271217P00145000,2026-02-05 18:56:39+00:00,145.0,4.2,6.0,0,34.3085,,37.1852,0.0365
AAPL271217P00150000,2026-02-12 17:44:04+00:00,150.0,4.65,8.0,0,33.7226,263.54,36.8575,0.0365
AAPL271217P00155000,2026-02-10 19:34:46+00:00,155.0,4.4,6.0,0,33.1641,274.02,36.2125,0.0365
AAPL271217P00160000,2026-02-12 17:43:09+00:00,160.0,5.8,12.0,0,32.5416,263.74,36.0363,0.0365
AAPL271217P00165000,2026-02-03 16:48:50+00:00,165.0,5.55,2.0,0,32.0228,,33.7159,0.0365
AAPL271217P00170000,2026-02-12 20:37:39+00:00,170.0,7.33,122.0,0,31.5101,261.025,35.1013,0.0365
AAPL271217P00175000,2026-02-09 17:03:48+00:00,175.0,6.65,7.0,0,31.0004,272.64,34.2739,0.0365
AAPL271217P00180000,2026-02-11 19:36:56+00:00,180.0,6.82,2.0,0,30.5579,278.87,34.0128,0.0365
AAPL271217P00185000,2026-02-12 19:35:48+00:00,185.0,9.7,31.0,0,30.0422,261.845,33.9671,0.0365
AAPL271217P00190000,2026-02-12 20:51:33+00:00,190.0,10.69,2.0,0,29.5829,261.12,33.5483,0.0365
