contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
GOOG260213P00160000,2026-02-09 17:32:52+00:00,160.0,0.01,2.0,0,268.7503,325.81,426.8687,0.0365,33.63
GOOG260213P00165000,2026-02-05 15:11:35+00:00,165.0,0.01,1.0,0,268.7503,,381.3056,0.0365,
GOOG260213P00170000,2026-02-05 15:10:45+00:00,170.0,0.01,7.0,0,243.7504,,364.1682,0.0365,
GOOG260213P00175000,2026-02-05 15:17:27+00:00,175.0,0.01,32.0,0,231.2504,,347.5083,0.0365,
GOOG260213P00180000,2026-02-10 19:27:45+00:00,180.0,0.01,4.0,0,410.7427,319.12,348.2835,0.0365,32.53
GOOG260213P00185000,2026-02-05 14:47:14+00:00,185.0,0.01,1.0,0,240.6254,,315.5064,0.0365,
GOOG260213P00190000,2026-02-06 14:30:07+00:00,190.0,0.02,2.0,0,212.5005,,318.4619,0.0365,
GOOG260213P00195000,2026-02-09 14:38:15+00:00,195.0,0.02,1.0,0,209.3755,322.61,326.9351,0.0365,35.86
GOOG260213P00200000,2026-02-11 18:44:04+00:00,200.0,0.01,1.0,0,241.016,312.32,275.7097,0.0365,32.82
GOOG260213P00205000,2026-02-04 17:32:06+00:00,205.0,0.12,,0,324.5119,,328.6362,0.0365,
GOOG260213P00210000,2026-02-06 15:49:11+00:00,210.0,0.01,1.0,0,206.2505,,242.0619,0.0365,
GOOG260213P00215000,2026-02-06 17:26:37+00:00,215.0,0.01,45.0,0,162.5002,,228.3328,0.0365,
GOOG260213P00220000,2026-02-06 15:41:30+00:00,220.0,0.03,4.0,0,276.9534,,237.6731,0.0365,
GOOG260213P00225000,2026-02-10 18:26:17+00:00,225.0,0.02,1.0,0,143.7503,319.34,233.585,0.0365,32.43
GOOG260213P00230000,2026-02-09 20:33:49+00:00,230.0,0.02,118.0,0,164.8439,323.7506,228.2012,0.0365,33.48
GOOG260213P00235000,2026-02-09 20:32:36+00:00,235.0,0.01,84.0,0,147.2659,323.83,202.1958,0.0365,33.5
GOOG260213P00240000,2026-02-11 18:32:53+00:00,240.0,0.36,4.0,0,109.3755,312.155,257.9498,0.0365,32.96
GOOG260213P00245000,2026-02-12 14:33:54+00:00,245.0,0.73,1.0,0,100.0005,311.475,271.1927,0.0365,32.05
GOOG260213P00250000,2026-02-10 15:53:09+00:00,250.0,0.01,10.0,0,93.7501,317.585,154.4869,0.0365,33.32
GOOG260213P00255000,2026-02-11 20:50:27+00:00,255.0,0.01,10.0,0,84.3752,310.96,130.2667,0.0365,32.56
GOOG260213P00260000,2026-02-12 20:34:06+00:00,260.0,0.01,19.0,0,76.5627,308.8699,114.4995,0.0365,35.0
GOOG260213P00265000,2026-02-12 16:00:26+00:00,265.0,0.02,35.0,0,76.5627,310.9793,114.4895,0.0365,33.09
GOOG260213P00270000,2026-02-12 20:27:20+00:00,270.0,0.01,46.0,0,65.6253,308.535,90.6976,0.0365,35.17
GOOG260213P00275000,2026-02-12 20:49:17+00:00,275.0,0.01,162.0,0,57.0317,308.72,79.6562,0.0365,35.18
GOOG260213P00277500,2026-02-12 20:27:27+00:00,277.5,0.01,47.0,0,53.1255,308.535,73.6116,0.0365,35.17
GOOG260213P00280000,2026-02-12 20:44:36+00:00,280.0,0.02,82.0,0,51.563,308.66,73.3855,0.0365,34.92
GOOG260213P00282500,2026-02-12 15:35:05+00:00,282.5,0.02,190.0,0,51.1724,312.4675,75.5462,0.0365,32.12
GOOG260213P00285000,2026-02-12 20:53:47+00:00,285.0,0.03,130.0,0,48.438,309.25,65.7793,0.0365,35.2
GOOG260213P00287500,2026-02-12 20:09:37+00:00,287.5,0.04,34.0,0,45.313,309.58,62.5874,0.0365,34.82
GOOG260213P00290000,2026-02-12 20:57:31+00:00,290.0,0.06,558.0,0,42.5787,309.38,58.9767,0.0365,35.05
GOOG260213P00292500,2026-02-12 20:44:15+00:00,292.5,0.11,100.0,0,39.2584,308.81,56.0473,0.0365,34.89
GOOG260213P00295000,2026-02-12 20:49:24+00:00,295.0,0.14,688.0,0,37.11,308.72,50.6614,0.0365,35.18
GOOG260213P00297500,2026-02-12 20:53:52+00:00,297.5,0.22,764.0,0,34.8151,309.25,48.9658,0.0365,35.2
GOOG260213P00300000,2026-02-12 20:59:59+00:00,300.0,0.35,3115.0,0,33.2526,309.32,45.9222,0.0365,35.0
GOOG260213P00302500,2026-02-12 20:59:55+00:00,302.5,0.63,2830.0,0,31.3728,309.32,44.2908,0.0365,35.0
GOOG260213P00305000,2026-02-12 20:59:49+00:00,305.0,1.1,17935.0,0,31.5192,309.32,42.7844,0.0365,35.0
GOOG260213P00307500,2026-02-12 20:59:51+00:00,307.5,1.8,6826.0,0,29.2243,309.32,40.7183,0.0365,35.0
GOOG260213P00310000,2026-02-12 20:59:04+00:00,310.0,2.9,12156.0,1,28.3454,309.32,39.6309,0.0365,35.0
GOOG260213P00312500,2026-02-12 20:57:48+00:00,312.5,4.3,3511.0,1,27.5886,309.38,37.7733,0.0365,35.05
GOOG260213P00315000,2026-02-12 20:57:08+00:00,315.0,6.29,2764.0,1,28.5408,309.4,40.1166,0.0365,35.07
GOOG260213P00317500,2026-02-12 20:36:59+00:00,317.5,8.53,568.0,1,32.1296,309.29,40.5743,0.0365,34.83
GOOG260213P00320000,2026-02-12 20:59:19+00:00,320.0,10.87,1214.0,1,37.4518,309.32,43.7517,0.0365,35.0
GOOG260213P00322500,2026-02-12 20:59:19+00:00,322.5,13.25,136.0,1,42.1881,309.32,44.0277,0.0365,35.0
GOOG260213P00325000,2026-02-12 20:56:02+00:00,325.0,15.89,238.0,1,58.4477,309.125,45.2909,0.0365,35.16
GOOG260213P00327500,2026-02-12 20:13:15+00:00,327.5,18.76,70.0,1,50.9771,310.04,101.4935,0.0365,34.76
GOOG260213P00330000,2026-02-12 20:27:12+00:00,330.0,20.49,28799.0,1,73.8772,308.535,,0.0365,35.17
