contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
QQQ280121C00295000,2026-01-20 15:44:06+00:00,295.0,340.0,3.0,1,51.2853,,46.7051,0.0365
QQQ280121C00300000,2026-02-12 16:26:34+00:00,300.0,324.0,5.0,1,51.0457,603.09,23.5991,0.0365
QQQ280121C00305000,2025-11-03 20:31:32+00:00,305.0,353.48,,1,62.1815,,62.7605,0.0365
QQQ280121C00310000,2026-02-05 15:06:55+00:00,310.0,311.99,,1,49.8357,,20.4731,0.0365
QQQ280121C00315000,2026-02-05 15:02:59+00:00,315.0,308.09,1.0,1,49.236,,24.6312,0.0365
QQQ280121C00320000,2026-02-09 16:43:40+00:00,320.0,319.0,,1,48.9736,614.935,28.4551,0.0365
QQQ280121C00325000,2026-01-30 20:20:02+00:00,325.0,320.0,1.0,1,48.3739,,48.2617,0.0365
QQQ280121C00330000,2026-01-06 19:33:13+00:00,330.0,318.77,5.0,1,49.9852,,49.8861,0.0365
QQQ280121C00335000,2026-01-05 18:00:52+00:00,335.0,311.0,1.0,1,49.352,,46.7906,0.0365
QQQ280121C00340000,2026-02-05 14:30:07+00:00,340.0,284.0,5.0,1,46.9045,,17.6294,0.0365
QQQ280121C00350000,2026-02-12 20:32:03+00:00,350.0,280.0,1.0,1,46.0195,601.55,28.4561,0.0365
QQQ280121C00360000,2026-01-27 17:39:21+00:00,360.0,301.33,2.0,1,45.4077,,51.3322,0.0365
QQQ280121C00365000,2025-11-24 14:31:55+00:00,365.0,267.0,1.0,1,54.099,,28.9848,0.0365
QQQ280121C00370000,2025-09-24 19:39:17+00:00,370.0,264.14,,1,51.0724,,30.2419,0.0365
QQQ280121C00375000,2025-11-25 14:45:49+00:00,375.0,260.81,2.0,1,53.1308,,30.8659,0.0365
QQQ280121C00380000,2026-02-05 18:21:44+00:00,380.0,254.5,1.0,1,43.5743,,28.748,0.0365
QQQ280121C00385000,2026-02-02 18:16:27+00:00,385.0,276.72,1.0,1,43.2402,,46.2559,0.0365
QQQ280121C00390000,2026-01-15 14:52:55+00:00,390.0,269.5,15.0,1,42.8999,,43.9962,0.0365
QQQ280121C00395000,2025-12-26 15:11:55+00:00,395.0,264.46,1.0,1,50.9504,,42.9881,0.0365
QQQ280121C00400000,2026-02-12 20:29:29+00:00,400.0,239.0,1.0,1,41.9584,601.585,28.3906,0.0365
QQQ280121C00405000,2025-12-22 14:57:58+00:00,405.0,254.52,1.0,1,50.887,,41.0919,0.0365
QQQ280121C00410000,2026-02-03 19:06:19+00:00,410.0,241.62,2.0,1,41.2474,,35.7007,0.0365
QQQ280121C00415000,2026-02-03 20:32:07+00:00,415.0,239.5,1.0,1,40.8842,,36.4586,0.0365
QQQ280121C00420000,2026-02-06 20:50:00+00:00,420.0,229.1,3.0,1,40.5157,,32.4568,0.0365
QQQ280121C00425000,2026-02-05 16:41:06+00:00,425.0,218.74,1.0,1,40.1427,,28.2657,0.0365
QQQ280121C00430000,2026-02-09 14:45:33+00:00,430.0,222.0,1.0,1,39.765,610.41,27.0945,0.0365
QQQ280121C00435000,2026-02-02 17:43:32+00:00,435.0,234.0,2.0,1,39.3828,,40.3393,0.0365
QQQ280121C00440000,2026-02-09 16:50:33+00:00,440.0,217.75,1.0,1,39.2104,615.68,26.1807,0.0365
QQQ280121C00445000,2026-01-30 17:56:53+00:00,445.0,220.0,1.0,1,38.8159,,36.5843,0.0365
QQQ280121C00450000,2026-02-12 20:58:39+00:00,450.0,198.45,2.0,1,38.4177,600.56,27.1702,0.0365
QQQ280121C00455000,2026-02-12 20:58:39+00:00,455.0,194.56,2.0,1,38.0156,600.56,27.0076,0.0365
QQQ280121C00460000,2026-02-12 17:33:14+00:00,460.0,192.75,4.0,1,37.8111,603.96,26.358,0.0365
QQQ280121C00465000,2026-02-05 21:06:58+00:00,465.0,183.8,2.0,1,37.3984,,24.9903,0.0365
QQQ280121C00470000,2026-02-05 16:25:27+00:00,470.0,184.5,3.0,1,37.1771,,27.2333,0.0365
QQQ280121C00475000,2026-02-05 16:15:30+00:00,475.0,176.44,2.0,1,36.7537,,24.887,0.0365
QQQ280121C00480000,2026-02-06 14:32:59+00:00,480.0,176.22,32.0,1,36.518,,26.525,0.0365
QQQ280121C00485000,2026-02-06 15:28:44+00:00,485.0,175.0,3.0,1,36.0846,,27.5374,0.0365
