contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
TSLA260213C00080000,2026-02-11 15:36:30+00:00,80.0,354.02,3.0,1,1299.6096,420.7727,2717.3682,0.0365
TSLA260213C00120000,2026-01-30 17:07:29+00:00,120.0,315.52,2.0,1,1015.1371,,2288.5852,0.0365
TSLA260213C00130000,2026-02-11 15:33:44+00:00,130.0,291.75,1.0,1,925.391,421.0589,1039.9773,0.0365
TSLA260213C00140000,2026-02-12 16:50:23+00:00,140.0,279.29,6.0,1,900.1957,418.6,973.2897,0.0365
TSLA260213C00150000,2026-02-12 14:58:48+00:00,150.0,279.36,2.0,1,845.1177,428.64,937.8487,0.0365
TSLA260213C00160000,2026-02-12 14:56:32+00:00,160.0,269.9,1.0,1,796.4844,428.95,922.2335,0.0365
TSLA260213C00170000,2026-02-06 15:54:40+00:00,170.0,239.77,1.0,1,753.3204,,,0.0365
TSLA260213C00180000,2026-02-11 15:36:30+00:00,180.0,241.71,1.0,1,691.4064,420.7727,803.8072,0.0365
TSLA260213C00190000,2026-02-04 15:51:17+00:00,190.0,223.34,1.0,1,669.8244,,,0.0365
TSLA260213C00200000,2026-02-12 20:02:20+00:00,200.0,215.96,3.0,1,616.4065,415.8664,512.2847,0.0365
TSLA260213C00210000,2026-02-12 19:26:28+00:00,210.0,205.52,5.0,1,594.8245,415.07,589.2329,0.0365
TSLA260213C00220000,2026-02-12 18:54:51+00:00,220.0,197.17,5.0,1,559.9124,417.415,,0.0365
TSLA260213C00230000,2026-02-12 19:49:26+00:00,230.0,186.26,4.0,1,526.5628,416.18,410.1901,0.0365
TSLA260213C00240000,2026-02-11 16:23:16+00:00,240.0,186.45,2.0,1,494.5316,426.635,,0.0365
TSLA260213C00250000,2026-02-12 18:40:40+00:00,250.0,167.07,3.0,1,458.7895,416.86,406.7603,0.0365
TSLA260213C00255000,2026-02-12 18:34:05+00:00,255.0,161.41,11.0,1,450.2934,416.55,,0.0365
TSLA260213C00260000,2026-02-11 18:55:45+00:00,260.0,165.78,8.0,1,429.2973,425.755,,0.0365
TSLA260213C00265000,2026-02-11 19:27:14+00:00,265.0,162.74,1.0,1,420.9966,427.53,381.2628,0.0365
TSLA260213C00270000,2026-02-12 19:52:30+00:00,270.0,146.08,3.0,1,399.3164,416.32,,0.0365
TSLA260213C00275000,2026-02-11 15:36:15+00:00,275.0,142.25,1.0,1,391.211,421.06,,0.0365
TSLA260213C00280000,2026-02-12 19:42:54+00:00,280.0,136.23,2.0,1,378.8086,416.04,317.5624,0.0365
