contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
AMZN260717C00115000,2026-02-13 19:42:27+00:00,115.0,87.73,1.0,1,63.3915,199.77,54.716,0.0364
AMZN260717C00120000,2026-02-12 15:43:59+00:00,120.0,83.0,1.0,1,61.3773,199.6939,53.4701,0.0364
AMZN260717C00125000,2026-02-09 20:33:38+00:00,125.0,87.52,5.0,1,58.9604,209.28,52.2729,0.0364
AMZN260717C00130000,2026-02-13 15:44:25+00:00,130.0,71.52,4.0,1,57.0683,197.34,50.3865,0.0364
AMZN260717C00135000,2025-11-26 17:03:57+00:00,135.0,102.05,,1,181.0822,,157.4761,0.0364
AMZN260717C00140000,2026-02-13 19:01:34+00:00,140.0,64.42,17.0,1,53.04,199.63,46.7611,0.0364
AMZN260717C00145000,2026-02-11 20:55:27+00:00,145.0,63.98,2.0,1,50.739,204.17,44.9672,0.0364
AMZN260717C00150000,2026-02-13 15:38:51+00:00,150.0,54.0,2.0,1,52.1733,198.1382,43.1584,0.0364
AMZN260717C00155000,2026-02-13 19:22:26+00:00,155.0,51.07,8.0,1,49.8052,200.0601,40.8325,0.0364
AMZN260717C00160000,2026-02-13 19:01:34+00:00,160.0,47.06,20.0,1,47.4676,199.63,41.7394,0.0364
AMZN260717C00165000,2026-02-13 18:28:39+00:00,165.0,43.25,18.0,1,45.5267,200.09,40.3277,0.0364
AMZN260717C00170000,2026-02-13 20:14:53+00:00,170.0,38.25,7.0,1,44.6234,198.69,39.5044,0.0364
AMZN260717C00175000,2026-02-13 20:11:12+00:00,175.0,35.0,10.0,1,43.7506,198.89,39.4474,0.0364
AMZN260717C00180000,2026-02-13 19:53:44+00:00,180.0,31.5,6.0,1,42.5543,199.22,38.173,0.0364
AMZN260717C00185000,2026-02-13 18:10:01+00:00,185.0,28.8,5.0,1,41.5838,200.0,37.716,0.0364
AMZN260717C00190000,2026-02-13 20:59:42+00:00,190.0,25.0,8.0,1,40.3876,198.77,37.423,0.0364
AMZN260717C00195000,2026-02-13 19:32:50+00:00,195.0,22.7,31.0,1,39.7589,199.785,36.7991,0.0364
AMZN260717C00200000,2026-02-13 20:57:17+00:00,200.0,19.35,393.0,0,39.0631,198.7455,36.1838,0.0364
AMZN260717C00205000,2026-02-13 20:42:15+00:00,205.0,16.85,221.0,0,38.5901,198.1,36.2581,0.0364
AMZN260717C00210000,2026-02-13 20:46:53+00:00,210.0,14.93,279.0,0,38.0408,198.3401,36.1462,0.0364
AMZN260717C00215000,2026-02-13 20:06:59+00:00,215.0,12.92,76.0,0,37.6227,198.85,35.2832,0.0364
AMZN260717C00220000,2026-02-13 20:57:21+00:00,220.0,11.2,270.0,0,37.3419,198.7455,35.1764,0.0364
AMZN260717C00225000,2026-02-13 20:57:08+00:00,225.0,9.7,225.0,0,37.0246,198.7455,35.0656,0.0364
AMZN260717C00230000,2026-02-13 20:45:04+00:00,230.0,8.37,496.0,0,36.7896,198.39,35.2131,0.0364
AMZN260717C00235000,2026-02-13 20:57:08+00:00,235.0,7.3,192.0,0,36.6736,198.7455,35.1095,0.0364
AMZN260717C00240000,2026-02-13 20:58:25+00:00,240.0,6.23,108.0,0,36.4783,198.8155,34.9005,0.0364
AMZN260717C00245000,2026-02-13 20:08:18+00:00,245.0,5.35,73.0,0,36.4752,198.67,34.9734,0.0364
AMZN260717C00250000,2026-02-13 20:44:15+00:00,250.0,4.5,372.0,0,36.463,198.27,34.953,0.0364
AMZN260717C00255000,2026-02-13 17:28:02+00:00,255.0,4.25,39.0,0,36.4691,200.915,34.7209,0.0364
AMZN260717C00260000,2026-02-13 20:41:51+00:00,260.0,3.4,134.0,0,36.5302,198.1,35.4293,0.0364
AMZN260717C00265000,2026-02-12 19:03:27+00:00,265.0,3.15,43.0,0,36.6889,199.61,35.5425,0.0364
AMZN260717C00270000,2026-02-13 16:54:44+00:00,270.0,2.7,25.0,0,36.6706,200.44,35.1842,0.0364
AMZN260717C00275000,2026-02-13 19:58:28+00:00,275.0,2.25,3.0,0,36.817,198.881,35.6979,0.0364
AMZN260717C00280000,2026-02-13 20:24:50+00:00,280.0,1.95,25.0,0,36.9879,198.465,36.0395,0.0364
AMZN260717C00285000,2026-02-13 17:49:54+00:00,285.0,1.76,1.0,0,37.1649,200.3,35.7441,0.0364
AMZN260717C00290000,2026-02-13 20:44:56+00:00,290.0,1.47,133.0,0,37.3786,198.39,36.3944,0.0364
AMZN260717C00295000,2026-02-13 20:40:53+00:00,295.0,1.31,15.0,0,37.6227,198.215,36.818,0.0364
AMZN260717C00300000,2026-02-13 20:54:34+00:00,300.0,1.18,534.0,0,37.8912,198.575,37.0869,0.0364
AMZN260717C00305000,2026-02-13 20:06:26+00:00,305.0,1.01,8.0,0,38.1842,198.87,36.998,0.0364
