contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
ETHA260213P00005000,2026-02-06 20:06:22+00:00,5.0,0.01,1.0,0,825.0005,,887.5562,0.0364
ETHA260213P00008000,2026-02-09 15:02:56+00:00,8.0,0.01,,0,712.5001,15.52,539.8697,0.0364
ETHA260213P00009000,2026-02-13 19:31:19+00:00,9.0,0.05,4.0,0,960.9379,15.52,577.1368,0.0364
ETHA260213P00009500,2026-02-13 19:33:53+00:00,9.5,0.04,4.0,0,550.0003,15.51,505.9312,0.0364
ETHA260213P00010000,2026-02-12 16:46:39+00:00,10.0,0.01,5.0,0,337.5002,14.44,320.1267,0.0364
ETHA260213P00010500,2026-02-13 15:18:35+00:00,10.5,0.01,11.0,0,300.0002,15.255,322.4124,0.0364
ETHA260213P00011000,2026-02-13 15:23:47+00:00,11.0,0.01,41.0,0,275.0003,15.27,287.2726,0.0364
ETHA260213P00011500,2026-02-13 19:36:00+00:00,11.5,0.01,6.0,0,300.0002,15.525,264.9978,0.0364
ETHA260213P00012000,2026-02-13 14:44:59+00:00,12.0,0.01,5.0,0,206.2505,15.09,210.1634,0.0364
ETHA260213P00012500,2026-02-13 15:08:23+00:00,12.5,0.01,12.0,0,175.0001,15.085,177.1237,0.0364
ETHA260213P00013000,2026-02-13 20:17:08+00:00,13.0,0.01,60.0,0,162.5002,15.46,164.562,0.0364
ETHA260213P00013500,2026-02-13 19:23:42+00:00,13.5,0.01,548.0,0,150.0002,15.57,139.2226,0.0364
ETHA260213P00014000,2026-02-13 20:50:22+00:00,14.0,0.01,271.0,0,90.6251,15.46,102.6777,0.0364
ETHA260213P00014500,2026-02-13 20:01:09+00:00,14.5,0.01,681.0,0,62.5004,15.535,75.9975,0.0364
ETHA260213P00015000,2026-02-13 20:24:49+00:00,15.0,0.01,3653.0,0,37.5006,15.441,38.2983,0.0364
ETHA260213P00015500,2026-02-13 20:59:03+00:00,15.5,0.07,2880.0,1,13.2821,15.445,11.559,0.0364
ETHA260213P00016000,2026-02-13 20:57:43+00:00,16.0,0.49,974.0,1,59.3754,15.45,,0.0364
ETHA260213P00016500,2026-02-13 20:27:36+00:00,16.5,1.05,436.0,1,111.7192,15.435,,0.0364
ETHA260213P00017000,2026-02-13 18:26:21+00:00,17.0,1.47,215.0,1,117.1879,15.5379,92.232,0.0364
ETHA260213P00017500,2026-02-13 15:15:03+00:00,17.5,2.32,16.0,1,175.0001,15.315,231.8993,0.0364
ETHA260213P00018000,2026-02-13 20:36:31+00:00,18.0,2.53,899.0,1,131.2503,15.41,,0.0364
ETHA260213P00018500,2026-02-13 18:29:42+00:00,18.5,3.01,3.0,1,285.9378,15.52,197.1341,0.0364
ETHA260213P00019000,2026-02-13 20:31:40+00:00,19.0,3.55,180.0,1,281.2503,15.46,190.0155,0.0364
