contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
GLD260320C00135000,2026-02-12 17:14:02+00:00,135.0,321.07,2.0,1,171.7775,455.61,110.5992,0.0364
GLD260320C00140000,2025-08-04 15:30:10+00:00,140.0,173.43,1.0,1,0.001,,,0.0364
GLD260320C00145000,2025-09-09 14:37:04+00:00,145.0,192.04,2.0,1,0.001,,,0.0364
GLD260320C00150000,2025-08-29 15:00:56+00:00,150.0,169.69,6.0,1,0.001,,,0.0364
GLD260320C00155000,2026-01-12 20:23:33+00:00,155.0,269.19,1.0,1,231.3969,,,0.0364
GLD260320C00160000,2026-01-15 20:59:15+00:00,160.0,264.42,1.0,1,138.4769,,,0.0364
GLD260320C00165000,2025-12-16 16:35:21+00:00,165.0,231.65,,1,0.001,,,0.0364
GLD260320C00170000,2025-12-16 16:36:56+00:00,170.0,226.3,1.0,1,0.001,,,0.0364
GLD260320C00175000,2025-12-16 16:34:19+00:00,175.0,221.75,1.0,1,0.001,,,0.0364
GLD260320C00180000,2026-02-09 18:07:33+00:00,180.0,285.0,2.0,1,127.5883,464.53,,0.0364
GLD260320C00185000,2026-02-03 20:35:49+00:00,185.0,271.44,1.0,1,128.1254,,,0.0364
GLD260320C00190000,2026-02-12 16:11:01+00:00,190.0,273.05,1.0,1,122.7543,460.83,154.7476,0.0364
GLD260320C00195000,2025-12-30 20:56:37+00:00,195.0,206.18,2.0,1,0.001,,,0.0364
GLD260320C00200000,2026-02-13 17:53:43+00:00,200.0,262.0,1.0,1,119.6293,461.384,,0.0364
GLD260320C00205000,2025-10-28 14:52:05+00:00,205.0,160.94,1.0,1,0.001,,,0.0364
GLD260320C00210000,2026-01-12 15:58:38+00:00,210.0,216.46,2.0,1,174.9757,,,0.0364
GLD260320C00215000,2026-02-12 16:40:00+00:00,215.0,241.4,1.0,1,110.1079,455.3557,105.2396,0.0364
GLD260320C00220000,2025-12-01 15:53:43+00:00,220.0,171.13,2.0,1,0.001,,,0.0364
GLD260320C00225000,2026-01-20 16:12:10+00:00,225.0,212.5,2.0,1,107.4223,,,0.0364
GLD260320C00230000,2026-01-27 19:06:04+00:00,230.0,238.41,1.0,1,108.3012,,158.2588,0.0364
GLD260320C00235000,2025-12-29 19:55:27+00:00,235.0,165.46,1.0,1,0.001,,,0.0364
GLD260320C00240000,2026-02-09 18:25:19+00:00,240.0,225.43,1.0,1,94.1895,464.44,87.0586,0.0364
GLD260320C00245000,2026-01-20 15:05:45+00:00,245.0,192.5,10.0,1,97.4121,,,0.0364
GLD260320C00250000,2026-01-27 18:34:05+00:00,250.0,219.07,1.0,1,94.1407,,146.1074,0.0364
GLD260320C00255000,2026-01-29 15:14:33+00:00,255.0,241.25,1.0,1,96.7774,,256.3664,0.0364
GLD260320C00260000,2026-01-20 16:33:25+00:00,260.0,177.75,1.0,1,91.0645,,,0.0364
GLD260320C00261000,2026-01-30 14:43:55+00:00,261.0,207.89,1.0,1,89.1603,,136.236,0.0364
