contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
QQQ260618P00174780,2026-02-13 17:34:06+00:00,174.78,0.13,16.0,0,75.9768,605.93,78.3422,0.0364
QQQ260618P00175000,2023-12-21 16:45:43+00:00,175.0,2.26,66.0,0,50.0005,,112.7879,0.0364
QQQ260618P00179780,2026-02-13 16:50:16+00:00,179.78,0.14,10.0,0,75.7815,604.08,77.0482,0.0364
QQQ260618P00180000,2023-12-13 17:51:58+00:00,180.0,2.98,1.0,0,50.0005,,115.8974,0.0364
QQQ260618P00184780,2026-02-11 16:23:39+00:00,184.78,0.14,250.0,0,74.6096,612.7158,76.1355,0.0364
QQQ260618P00185000,2023-11-27 18:44:09+00:00,185.0,2.86,20.0,0,50.0005,,112.5955,0.0364
QQQ260618P00189780,2026-02-11 16:04:58+00:00,189.78,0.14,5.0,0,73.7307,611.28,74.3926,0.0364
QQQ260618P00190000,2023-11-02 18:24:25+00:00,190.0,3.8,,0,111.7192,,116.2634,0.0364
QQQ260618P00194780,2026-02-11 20:09:35+00:00,194.78,0.14,9.0,0,72.5589,613.6,73.0189,0.0364
QQQ260618P00195000,2023-11-02 18:26:00+00:00,195.0,4.13,,0,114.5146,,115.7215,0.0364
QQQ260618P00199780,2026-02-10 19:57:43+00:00,199.78,0.16,74.0,0,71.5823,613.35,72.4415,0.0364
QQQ260618P00200000,2023-12-18 14:30:05+00:00,200.0,10.0,1.0,0,25.0008,,138.2635,0.0364
QQQ260618P00204780,2026-02-05 17:54:35+00:00,204.78,0.23,2.0,0,70.6058,,72.6677,0.0364
QQQ260618P00205000,2023-12-18 14:30:05+00:00,205.0,10.0,2.0,0,25.0008,,135.4598,0.0364
QQQ260618P00209780,2026-02-12 19:51:51+00:00,209.78,0.22,1.0,0,69.4339,604.23,71.0015,0.0364
QQQ260618P00210000,2023-12-21 15:05:29+00:00,210.0,4.05,,0,25.0008,,108.3089,0.0364
QQQ260618P00214780,2026-02-10 15:18:34+00:00,214.78,0.19,20.0,0,68.6527,616.06,69.4862,0.0364
QQQ260618P00215000,2023-12-21 16:34:47+00:00,215.0,4.47,1.0,0,25.0008,,108.2369,0.0364
QQQ260618P00219780,2026-02-05 16:03:18+00:00,219.78,0.33,10.0,0,67.4808,,71.0342,0.0364
