contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
SPY260218P00500000,2026-02-13 14:34:28+00:00,500.0,0.01,1.0,0,71.8753,681.2,92.1205,0.0364,21.04
SPY260218P00530000,2026-02-13 15:51:51+00:00,530.0,0.02,4.0,0,64.0629,682.295,80.7808,0.0364,20.62
SPY260218P00535000,2026-02-13 20:04:02+00:00,535.0,0.01,3.0,0,61.7191,683.125,73.9765,0.0364,20.09
SPY260218P00540000,2026-02-13 21:00:23+00:00,540.0,0.01,85.0,0,59.3754,681.6,70.741,0.0364,20.62
SPY260218P00550000,2026-02-12 18:03:50+00:00,550.0,0.02,25.0,0,55.4692,683.15,70.1653,0.0364,20.52
SPY260218P00555000,2026-02-13 20:51:59+00:00,555.0,0.03,1.0,0,53.1255,680.38,68.7876,0.0364,21.27
SPY260218P00560000,2026-02-13 16:16:48+00:00,560.0,0.02,133.0,0,53.5161,683.87,65.0973,0.0364,20.03
SPY260218P00565000,2026-02-13 19:46:37+00:00,565.0,0.02,13.0,0,51.1724,683.795,62.4031,0.0364,19.69
SPY260218P00570000,2026-02-13 16:37:58+00:00,570.0,0.02,12.0,0,49.8052,684.08,59.8803,0.0364,19.85
SPY260218P00575000,2026-02-13 20:29:22+00:00,575.0,0.04,33.0,0,49.0239,680.63,59.5859,0.0364,21.24
SPY260218P00580000,2026-02-13 20:29:52+00:00,580.0,0.04,25.0,0,46.6802,680.63,56.8114,0.0364,21.21
SPY260218P00585000,2026-02-13 14:48:03+00:00,585.0,0.05,183.0,0,44.5318,682.21,56.0745,0.0364,20.83
SPY260218P00590000,2026-02-13 19:58:51+00:00,590.0,0.05,32.0,0,43.1646,682.4,53.3657,0.0364,20.25
SPY260218P00595000,2026-02-13 20:49:27+00:00,595.0,0.06,49.0,0,41.0162,681.2,51.018,0.0364,20.99
SPY260218P00600000,2026-02-13 20:59:44+00:00,600.0,0.04,76.0,0,39.4537,681.6,46.2969,0.0364,20.62
SPY260218P00605000,2026-02-13 20:10:34+00:00,605.0,0.05,272.0,0,37.11,683.0301,45.3398,0.0364,20.28
SPY260218P00610000,2026-02-13 21:02:10+00:00,610.0,0.06,510.0,0,34.8639,681.6,42.7633,0.0364,20.62
SPY260218P00615000,2026-02-13 20:32:06+00:00,615.0,0.08,316.0,0,33.2038,680.68,40.8883,0.0364,21.05
SPY260218P00620000,2026-02-13 21:13:22+00:00,620.0,0.07,82.0,0,31.3483,681.6,37.8562,0.0364,20.62
SPY260218P00625000,2026-02-13 21:13:04+00:00,625.0,0.08,289.0,0,29.4929,681.6,35.6071,0.0364,20.62
SPY260218P00630000,2026-02-13 21:12:53+00:00,630.0,0.1,843.0,0,27.4421,681.6,33.7033,0.0364,20.62
SPY260218P00635000,2026-02-13 21:12:13+00:00,635.0,0.11,413.0,0,25.6843,681.6,31.1619,0.0364,20.62
SPY260218P00640000,2026-02-13 21:14:34+00:00,640.0,0.14,1396.0,0,24.0242,681.6,29.1832,0.0364,20.62
SPY260218P00645000,2026-02-13 21:14:27+00:00,645.0,0.18,18009.0,0,22.3152,681.6,27.1533,0.0364,20.62
