contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
AVGO270319C00160000,2026-02-06 16:10:43+00:00,160.0,180.39,1.0,1,65.6803,,63.2521,0.0364
AVGO270319C00170000,2026-02-11 16:00:37+00:00,170.0,181.48,2.0,1,64.423,339.05,53.9825,0.0364
AVGO270319C00175000,2026-02-05 16:46:07+00:00,175.0,160.0,,1,63.834,,42.5872,0.0364
AVGO270319C00180000,2026-01-23 20:06:51+00:00,180.0,156.0,1.0,1,63.2725,,43.3887,0.0364
AVGO270319C00185000,2026-02-03 16:58:47+00:00,185.0,148.8,,1,62.7659,,33.8637,0.0364
AVGO270319C00190000,2026-02-09 14:36:19+00:00,190.0,162.23,1.0,1,62.3447,,68.4134,0.0364
AVGO270319C00195000,2026-02-04 16:18:12+00:00,195.0,134.04,3.0,1,61.7588,,,0.0364
AVGO270319C00200000,2026-02-12 18:28:32+00:00,200.0,153.85,1.0,1,61.655,332.99,55.7052,0.0364
AVGO270319C00210000,2026-02-12 20:59:06+00:00,210.0,144.5,1.0,1,60.9089,331.05,54.823,0.0364
AVGO270319C00220000,2026-02-12 19:22:26+00:00,220.0,140.03,1.0,1,59.6852,334.045,54.4832,0.0364
AVGO270319C00230000,2026-02-10 15:30:00+00:00,230.0,143.0,1.0,1,59.3937,,73.6534,0.0364
AVGO270319C00240000,2026-02-13 20:26:09+00:00,240.0,119.65,3.0,1,58.5026,326.805,52.7934,0.0364
AVGO270319C00250000,2026-02-11 19:54:22+00:00,250.0,128.4,107.0,1,58.2173,344.36,53.3652,0.0364
AVGO270319C00260000,2026-02-12 16:25:35+00:00,260.0,114.0,1.0,1,57.2773,333.19,53.9108,0.0364
AVGO270319C00270000,2026-02-12 14:32:43+00:00,270.0,114.85,1.0,1,57.3002,343.77,52.2115,0.0364
AVGO270319C00280000,2026-02-12 18:21:32+00:00,280.0,102.59,4.0,1,56.9157,333.78,53.0321,0.0364
AVGO270319C00290000,2026-02-10 15:39:58+00:00,290.0,105.35,1.0,1,56.1894,,65.2163,0.0364
AVGO270319C00300000,2026-02-13 20:12:14+00:00,300.0,86.05,4.0,1,56.1452,326.47,51.8363,0.0364
AVGO270319C00310000,2026-02-12 16:58:07+00:00,310.0,88.25,2.0,1,55.7469,335.47,52.3459,0.0364
AVGO270319C00320000,2026-02-13 18:45:13+00:00,320.0,77.15,8.0,1,55.2174,327.705,51.1588,0.0364
AVGO270319C00330000,2026-02-13 20:34:27+00:00,330.0,72.4,9.0,0,55.0801,325.51,51.748,0.0364
AVGO270319C00340000,2026-02-13 18:48:53+00:00,340.0,69.57,3.0,0,54.8146,328.175,51.3023,0.0364
AVGO270319C00350000,2026-02-13 20:56:09+00:00,350.0,63.88,32.0,0,54.5048,324.89,51.2637,0.0364
AVGO270319C00360000,2026-02-13 14:38:42+00:00,360.0,63.85,1.0,0,54.4347,328.795,52.1786,0.0364
AVGO270319C00370000,2026-02-12 14:48:08+00:00,370.0,67.44,10.0,0,54.4942,340.3142,52.503,0.0364
AVGO270319C00380000,2026-02-13 19:29:36+00:00,380.0,54.75,15.0,0,53.9876,326.97,50.9809,0.0364
AVGO270319C00390000,2026-02-11 15:35:18+00:00,390.0,56.58,1.0,0,53.7312,336.42,50.9427,0.0364
AVGO270319C00400000,2026-02-12 18:28:56+00:00,400.0,48.3,7.0,0,53.7709,332.99,48.357,0.0364
AVGO270319C00410000,2026-02-13 19:17:57+00:00,410.0,45.65,7.0,0,53.7221,326.655,50.5955,0.0364
AVGO270319C00420000,2026-02-12 16:16:33+00:00,420.0,47.85,6.0,0,53.6076,334.325,51.4812,0.0364
AVGO270319C00430000,2026-02-10 15:31:55+00:00,430.0,50.41,1.0,0,53.7145,,58.2731,0.0364
AVGO270319C00440000,2026-02-10 19:19:55+00:00,440.0,45.77,43.0,0,53.6336,,56.5007,0.0364
AVGO270319C00450000,2026-02-13 15:34:02+00:00,450.0,38.67,1.0,0,53.4245,329.86,51.3073,0.0364
AVGO270319C00460000,2026-02-13 19:53:28+00:00,460.0,34.31,2.0,0,53.3772,326.23,50.5993,0.0364
AVGO270319C00470000,2026-02-09 17:17:51+00:00,470.0,42.5,126.0,0,53.4459,,58.6867,0.0364
AVGO270319C00480000,2026-02-09 19:03:19+00:00,480.0,39.0,2.0,0,53.3574,,57.4314,0.0364
AVGO270319C00490000,2026-02-10 19:19:55+00:00,490.0,34.87,6.0,0,53.394,,55.5763,0.0364
AVGO270319C00500000,2026-02-13 16:44:20+00:00,500.0,28.8,2.0,0,53.1712,328.6601,51.0717,0.0364
AVGO270319C00510000,2026-02-13 18:47:51+00:00,510.0,26.65,2.0,0,53.3376,328.3358,50.6382,0.0364
