contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
QQQ260331C00290000,2026-02-05 18:04:01+00:00,290.0,312.9,4.0,1,98.4863,,,0.0364,
QQQ260331C00300000,2025-12-17 19:26:15+00:00,300.0,304.61,1.0,1,195.3736,,105.6326,0.0364,
QQQ260331C00305000,2025-11-14 20:17:39+00:00,305.0,311.0,2.0,1,193.4204,,166.1736,0.0364,
QQQ260331C00310000,2026-01-02 14:37:02+00:00,310.0,314.5,1.0,1,157.0681,,191.1994,0.0364,
QQQ260331C00320000,2025-06-12 13:46:30+00:00,320.0,224.0,1.0,1,0.001,,,0.0364,
QQQ260331C00325000,2025-11-04 16:28:52+00:00,325.0,303.42,6.0,1,179.8585,,191.4613,0.0364,
QQQ260331C00330000,2025-11-17 20:57:33+00:00,330.0,278.41,1.0,1,176.526,,118.5694,0.0364,
QQQ260331C00335000,2026-01-28 17:12:10+00:00,335.0,299.92,4.0,1,83.7648,,201.1459,0.0364,
QQQ260331C00340000,2025-05-20 15:22:08+00:00,340.0,195.08,5.0,1,0.001,,,0.0364,
QQQ260331C00345000,2025-12-12 16:25:58+00:00,345.0,271.86,1.0,1,164.8317,,143.7365,0.0364,
QQQ260331C00350000,2025-08-01 15:25:14+00:00,350.0,215.75,6.0,1,0.001,,,0.0364,
QQQ260331C00355000,2025-06-09 13:45:01+00:00,355.0,190.23,1.0,1,0.001,,,0.0364,
QQQ260331C00360000,2025-11-10 15:21:19+00:00,360.0,267.48,,1,157.4282,,164.3711,0.0364,
QQQ260331C00365000,2025-05-28 14:54:57+00:00,365.0,172.66,2.0,1,0.001,,,0.0364,
QQQ260331C00370000,2026-02-03 19:35:45+00:00,370.0,244.93,1.0,1,73.4622,,123.1956,0.0364,
QQQ260331C00375000,2026-01-22 17:30:32+00:00,375.0,248.92,3.0,1,72.51,,145.7094,0.0364,
QQQ260331C00380000,2025-07-25 14:45:47+00:00,380.0,199.27,1.0,1,0.001,,,0.0364,
QQQ260331C00385000,2025-08-15 19:45:29+00:00,385.0,202.25,1.0,1,0.001,,,0.0364,
QQQ260331C00390000,2026-02-11 17:24:17+00:00,390.0,224.11,1.0,1,68.0423,612.4301,47.098,0.0364,23.3
QQQ260331C00395000,2026-02-02 17:20:03+00:00,395.0,235.08,2.0,1,65.8695,,148.054,0.0364,
QQQ260331C00400000,2026-02-11 17:24:41+00:00,400.0,214.21,1.0,1,65.3324,613.16,,0.0364,23.09
QQQ260331C00405000,2026-01-27 14:30:01+00:00,405.0,225.91,1.0,1,63.892,,143.6765,0.0364,
QQQ260331C00410000,2026-01-14 16:22:57+00:00,410.0,211.0,1.0,1,62.5126,,118.1875,0.0364,
QQQ260331C00415000,2026-01-23 17:40:22+00:00,415.0,211.58,2.0,1,61.1698,,128.2574,0.0364,
