contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
XLE260417C00027500,2025-11-05 18:31:54+00:00,27.5,16.88,,1,0.001,,,0.0364
XLE260417C00030000,2026-01-14 18:58:14+00:00,30.0,18.33,12.0,1,88.2814,,,0.0364
XLE260417C00035000,2026-01-14 18:47:26+00:00,35.0,13.0,3.0,1,65.8207,,,0.0364
XLE260417C00037500,2026-02-11 20:00:31+00:00,37.5,16.88,20.0,1,68.7503,54.935,,0.0364
XLE260417C00040000,2026-02-12 17:15:17+00:00,40.0,14.3,8.0,1,80.6643,54.145,,0.0364
XLE260417C00042500,2026-02-10 14:48:00+00:00,42.5,11.48,2.0,1,51.4165,,,0.0364
XLE260417C00045000,2026-02-13 20:28:57+00:00,45.0,9.45,2.0,1,43.5064,54.2997,,0.0364
XLE260417C00047500,2026-02-13 20:51:13+00:00,47.5,7.29,53.0,1,36.3776,54.305,25.5076,0.0364
XLE260417C00050000,2026-02-13 20:58:12+00:00,50.0,5.14,112.0,1,35.1081,54.335,24.5278,0.0364
XLE260417C00052500,2026-02-13 21:07:45+00:00,52.5,3.35,425.0,1,28.907,54.35,24.5522,0.0364
XLE260417C00055000,2026-02-13 21:02:46+00:00,55.0,1.95,1922.0,0,25.9285,54.35,24.137,0.0364
XLE260417C00057500,2026-02-13 20:15:48+00:00,57.5,1.02,576.0,0,26.6121,54.373,23.8334,0.0364
XLE260417C00060000,2026-02-13 20:59:08+00:00,60.0,0.51,829.0,0,29.2243,54.35,24.3527,0.0364
XLE260417C00062500,2026-02-13 20:15:58+00:00,62.5,0.29,1803.0,0,27.8328,54.373,25.9858,0.0364
XLE260417C00070000,2025-11-06 14:55:13+00:00,70.0,19.82,,0,12.5009,,285.422,0.0364
XLE260417C00075000,2025-11-12 17:10:16+00:00,75.0,16.94,1.0,0,12.5009,,263.3826,0.0364
XLE260417C00080000,2025-12-04 20:54:36+00:00,80.0,13.4,2.0,0,25.0008,,233.6876,0.0364
XLE260417C00085000,2025-12-03 16:15:39+00:00,85.0,8.8,5.0,0,25.0008,,191.061,0.0364
XLE260417C00090000,2025-12-04 19:45:46+00:00,90.0,5.65,22.0,0,25.0008,,162.3096,0.0364
XLE260417C00095000,2025-12-04 20:58:22+00:00,95.0,3.32,44.0,0,25.0008,,138.925,0.0364
XLE260417C00100000,2025-12-04 20:03:05+00:00,100.0,1.62,335.0,0,25.0008,,117.4179,0.0364
XLE260417C00105000,2025-12-04 16:50:55+00:00,105.0,0.79,4.0,0,25.0008,,104.0115,0.0364
XLE260417C00110000,2025-11-18 16:01:41+00:00,110.0,0.51,1.0,0,25.0008,,100.0984,0.0364
XLE260417C00115000,2025-12-04 19:57:58+00:00,115.0,0.21,1.0,0,50.0005,,90.2623,0.0364
XLE260417C00120000,2025-10-08 13:30:07+00:00,120.0,0.2,,0,96.6797,,93.6584,0.0364
XLE260417C00125000,2025-11-18 21:08:06+00:00,125.0,0.17,1.0,0,50.0005,,95.254,0.0364
