contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
PLTR281215P00065000,2026-02-13 20:35:20+00:00,65.0,11.5,37.0,0,57.7244,130.76,64.0681,0.0364
PLTR281215P00070000,2026-02-12 18:59:51+00:00,70.0,13.54,3.0,0,56.6929,128.9494,63.7941,0.0364
PLTR281215P00075000,2026-02-13 20:11:41+00:00,75.0,14.91,2.0,0,55.8781,131.6601,62.9725,0.0364
PLTR281215P00080000,2026-02-13 20:20:40+00:00,80.0,16.8,3.0,0,55.0542,131.415,62.402,0.0364
PLTR281215P00085000,2026-02-13 20:06:57+00:00,85.0,18.82,37.0,0,54.3156,131.73,62.0961,0.0364
PLTR281215P00090000,2026-02-13 20:28:23+00:00,90.0,21.04,2.0,0,53.6565,130.77,61.6385,0.0364
PLTR281215P00095000,2026-02-12 20:21:32+00:00,95.0,23.77,7.0,0,53.0705,129.07,61.6701,0.0364
PLTR281215P00100000,2026-02-13 20:06:57+00:00,100.0,25.29,3.0,0,52.3961,131.73,60.8457,0.0364
PLTR281215P00105000,2026-02-12 20:24:24+00:00,105.0,28.65,16.0,0,51.9078,128.965,61.233,0.0364
PLTR281215P00110000,2026-02-13 17:18:09+00:00,110.0,30.4,3.0,0,51.4089,132.44,60.9622,0.0364
PLTR281215P00115000,2026-02-13 20:58:25+00:00,115.0,33.25,42.0,0,50.8397,131.34,60.8035,0.0364
PLTR281215P00120000,2026-02-13 16:39:48+00:00,120.0,35.9,7.0,0,50.4399,131.34,60.6005,0.0364
PLTR281215P00125000,2026-02-13 15:06:38+00:00,125.0,39.12,2.0,0,50.0036,130.61,60.8513,0.0364
PLTR281215P00130000,2026-02-13 20:58:39+00:00,130.0,41.5,35.0,0,50.1317,131.43,60.389,0.0364
PLTR281215P00135000,2026-02-13 20:26:32+00:00,135.0,44.33,13.0,1,49.7838,130.7824,59.942,0.0364
PLTR281215P00140000,2026-02-13 18:58:54+00:00,140.0,47.15,30.0,1,49.4146,132.5,60.3115,0.0364
PLTR281215P00145000,2026-02-13 20:53:18+00:00,145.0,50.76,12.0,1,49.0255,131.29,60.5188,0.0364
PLTR281215P00150000,2026-02-12 20:47:44+00:00,150.0,54.95,10.0,1,48.6211,129.11,60.9573,0.0364
PLTR281215P00155000,2026-02-12 16:40:29+00:00,155.0,58.06,1.0,1,48.3739,128.13,60.3821,0.0364
PLTR281215P00160000,2026-02-13 14:45:53+00:00,160.0,61.47,1.0,1,48.0581,130.57,61.5805,0.0364
PLTR281215P00165000,2026-02-12 20:59:05+00:00,165.0,65.11,8.0,1,47.73,129.1,61.3421,0.0364
PLTR281215P00170000,2026-02-12 18:42:19+00:00,170.0,69.05,32.0,1,47.3974,128.8199,61.9124,0.0364
PLTR281215P00175000,2026-02-12 16:04:23+00:00,175.0,73.2,1.0,1,47.0556,128.6,62.7021,0.0364
PLTR281215P00180000,2026-02-10 14:30:01+00:00,180.0,68.78,1.0,1,46.7687,,54.6428,0.0364
PLTR281215P00185000,2026-02-12 20:11:14+00:00,185.0,79.45,2.0,1,46.4239,129.0,62.021,0.0364
PLTR281215P00190000,2026-02-05 15:42:20+00:00,190.0,83.4,2.0,1,46.1355,,63.6466,0.0364
PLTR281215P00195000,2026-02-11 15:21:01+00:00,195.0,85.0,1.0,1,45.8486,133.195,62.2016,0.0364
PLTR281215P00200000,2026-02-12 15:47:25+00:00,200.0,90.5,6.0,1,45.0491,130.09,62.9789,0.0364
PLTR281215P00210000,2026-02-05 15:38:05+00:00,210.0,99.35,1.0,1,44.9621,,65.4661,0.0364
PLTR281215P00220000,2026-02-04 20:53:32+00:00,220.0,101.6,139.0,1,44.3334,,59.6032,0.0364
PLTR281215P00230000,2026-02-05 15:37:20+00:00,230.0,115.64,2.0,1,43.7536,,67.1302,0.0364
PLTR281215P00240000,2026-02-12 17:26:50+00:00,240.0,124.4,18.0,1,43.1738,127.94,66.6771,0.0364
PLTR281215P00250000,2026-01-29 16:35:11+00:00,250.0,119.5,10.0,1,42.6062,,54.2267,0.0364
PLTR281215P00270000,2026-02-11 19:44:21+00:00,270.0,144.31,36.0,1,41.419,135.79,67.2282,0.0364
PLTR281215P00280000,2026-02-11 15:55:43+00:00,280.0,153.4,19.0,1,40.8209,134.8285,68.1344,0.0364
PLTR281215P00290000,2026-01-08 17:01:59+00:00,290.0,136.67,22.0,1,44.4982,,35.1989,0.0364
PLTR281215P00300000,2026-02-13 18:09:55+00:00,300.0,173.28,1.0,1,41.0742,132.6001,71.4368,0.0364
PLTR281215P00330000,2026-02-09 15:16:08+00:00,330.0,192.29,2.0,1,39.5056,,64.843,0.0364
PLTR281215P00340000,2026-02-09 14:40:16+00:00,340.0,203.9,3.0,1,39.0082,,68.8281,0.0364
PLTR281215P00350000,2026-02-10 20:48:44+00:00,350.0,213.2,6.0,1,38.587,,70.111,0.0364
PLTR281215P00360000,2026-02-10 20:49:26+00:00,360.0,222.55,6.0,1,38.2758,,71.4148,0.0364
PLTR281215P00370000,2026-02-10 20:50:11+00:00,370.0,232.18,6.0,1,37.9767,,73.0058,0.0364
PLTR281215P00380000,2026-02-12 20:57:55+00:00,380.0,252.2,9.0,1,37.8424,128.995,85.0479,0.0364
PLTR281215P00390000,2026-02-12 20:57:17+00:00,390.0,261.35,6.0,1,37.7753,129.07,86.0684,0.0364
