contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
MSFT261120P00215000,2026-02-17 19:39:06+00:00,215.0,1.42,3.0,0,39.2218,397.76,40.9638,0.0364
MSFT261120P00220000,2026-02-17 19:42:47+00:00,220.0,1.61,1.0,0,38.8678,397.27,40.5382,0.0364
MSFT261120P00225000,2026-02-11 20:27:54+00:00,225.0,1.54,2.0,0,38.465,,38.8716,0.0364
MSFT261120P00230000,2026-02-17 18:52:08+00:00,230.0,2.05,3.0,0,38.1049,397.5301,39.8522,0.0364
MSFT261120P00235000,2026-02-13 16:53:18+00:00,235.0,2.28,3.0,0,37.7326,402.02,40.0067,0.0364
MSFT261120P00240000,2026-02-12 16:44:30+00:00,240.0,2.55,7.0,0,37.3725,399.15,39.2682,0.0364
MSFT261120P00245000,2026-02-12 16:44:10+00:00,245.0,2.84,1.0,0,37.0001,398.95,38.8679,0.0364
MSFT261120P00250000,2026-02-17 20:54:30+00:00,250.0,3.2,10.0,0,36.6828,396.43,38.2682,0.0364
MSFT261120P00255000,2026-02-12 16:44:12+00:00,255.0,3.55,12.0,0,36.3867,398.95,38.2663,0.0364
MSFT261120P00260000,2026-02-12 16:41:27+00:00,260.0,3.9,9.0,0,36.0114,400.255,38.0316,0.0364
MSFT261120P00265000,2026-02-17 20:06:21+00:00,265.0,4.4,3.0,0,35.5658,396.98,37.401,0.0364
MSFT261120P00270000,2026-02-12 16:40:46+00:00,270.0,4.75,7.0,0,35.2576,400.255,37.3419,0.0364
MSFT261120P00275000,2026-02-12 16:44:04+00:00,275.0,5.3,5.0,0,34.8761,398.95,36.9437,0.0364
MSFT261120P00280000,2026-02-13 16:53:39+00:00,280.0,5.85,2.0,0,34.513,402.27,37.1841,0.0364
MSFT261120P00285000,2026-02-13 18:05:31+00:00,285.0,6.3,1.0,0,34.1681,403.2,36.8166,0.0364
MSFT261120P00290000,2026-02-13 20:48:05+00:00,290.0,7.33,2.0,0,33.9026,400.6,36.7732,0.0364
MSFT261120P00295000,2026-02-12 16:44:15+00:00,295.0,7.75,4.0,0,33.4937,398.95,35.8015,0.0364
MSFT261120P00300000,2026-02-17 18:18:47+00:00,300.0,8.96,4.0,0,33.158,395.66,35.6225,0.0364
MSFT261120P00305000,2026-02-17 15:26:59+00:00,305.0,9.27,5.0,0,32.8223,396.58,34.8342,0.0364
MSFT261120P00310000,2026-02-12 17:06:21+00:00,310.0,9.95,3.0,0,32.4775,401.31,35.2113,0.0364
MSFT261120P00315000,2026-02-09 17:55:19+00:00,315.0,8.68,2.0,0,32.1845,,31.398,0.0364
MSFT261120P00320000,2026-02-09 18:03:25+00:00,320.0,11.97,1.0,0,31.8229,,34.0707,0.0364
MSFT261120P00325000,2026-02-12 20:00:39+00:00,325.0,12.1,80.0,0,31.5025,405.385,34.4454,0.0364
MSFT261120P00330000,2026-02-17 20:56:08+00:00,330.0,14.4,23.0,0,31.1652,396.56,33.8259,0.0364
MSFT261120P00335000,2026-02-17 19:42:44+00:00,335.0,15.56,23.0,0,30.8616,397.27,33.7084,0.0364
MSFT261120P00340000,2026-02-17 20:31:43+00:00,340.0,17.0,34.0,0,30.5366,396.23,33.4319,0.0364
MSFT261120P00345000,2026-02-17 20:26:16+00:00,345.0,18.25,6.0,0,30.2345,396.67,33.2137,0.0364
MSFT261120P00350000,2026-02-17 20:26:16+00:00,350.0,19.7,49.0,0,29.9522,396.67,33.0232,0.0364
MSFT261120P00355000,2026-02-17 17:36:49+00:00,355.0,21.76,13.0,0,29.7279,396.59,33.2868,0.0364
MSFT261120P00360000,2026-02-17 17:52:57+00:00,360.0,24.03,19.0,0,29.4731,394.935,33.2499,0.0364
