contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
QQQ260331P00290000,2026-02-11 14:30:23+00:00,290.0,0.07,1.0,0,75.6838,,76.9332,0.0364,
QQQ260331P00295000,2026-02-04 15:35:21+00:00,295.0,0.12,20.0,0,74.4143,,79.329,0.0364,
QQQ260331P00300000,2026-02-17 19:50:21+00:00,300.0,0.09,8.0,0,73.6331,603.1486,75.6693,0.0364,25.57
QQQ260331P00305000,2026-02-10 15:03:13+00:00,305.0,0.1,1.0,0,72.2659,,74.4841,0.0364,
QQQ260331P00310000,2026-02-17 15:33:41+00:00,310.0,0.14,1.0,0,71.094,593.67,74.1413,0.0364,28.91
QQQ260331P00315000,2026-02-17 15:11:33+00:00,315.0,0.15,1.0,0,70.1175,594.99,73.2079,0.0364,28.72
QQQ260331P00320000,2026-02-12 15:41:00+00:00,320.0,0.12,10.0,0,69.1409,608.7165,72.0696,0.0364,24.07
QQQ260331P00325000,2026-02-12 20:44:03+00:00,325.0,0.15,1.0,0,67.7738,601.55,70.969,0.0364,26.76
QQQ260331P00330000,2026-02-13 15:32:34+00:00,330.0,0.17,1.0,0,66.5042,604.79,70.8355,0.0364,26.08
QQQ260331P00335000,2026-02-12 15:41:39+00:00,335.0,0.14,12.0,0,65.43,608.75,68.4184,0.0364,24.08
QQQ260331P00340000,2026-02-12 15:43:57+00:00,340.0,0.15,2.0,0,64.3558,608.43,67.301,0.0364,24.18
QQQ260331P00345000,2026-02-04 20:57:57+00:00,345.0,0.28,40.0,0,63.2816,,69.3744,0.0364,
QQQ260331P00350000,2026-02-09 16:53:57+00:00,350.0,0.17,65.0,0,62.2074,,63.9226,0.0364,
QQQ260331P00355000,2026-02-09 19:08:00+00:00,355.0,0.19,82.0,0,61.0844,,63.1799,0.0364,
QQQ260331P00360000,2026-02-13 15:46:48+00:00,360.0,0.24,1.0,0,60.1078,600.45,63.2078,0.0364,27.18
QQQ260331P00365000,2026-02-13 18:32:58+00:00,365.0,0.22,3.0,0,59.1313,606.07,61.9968,0.0364,24.83
QQQ260331P00370000,2026-02-06 19:23:19+00:00,370.0,0.31,132.0,0,57.9594,,62.2099,0.0364,
QQQ260331P00375000,2026-02-12 21:00:01+00:00,375.0,0.31,205.0,0,56.8364,600.56,60.5308,0.0364,27.11
QQQ260331P00380000,2026-02-17 16:26:07+00:00,380.0,0.28,1.0,0,55.9086,601.23,58.3736,0.0364,26.58
QQQ260331P00385000,2026-02-13 16:02:54+00:00,385.0,0.31,1.0,0,54.8344,602.58,57.8556,0.0364,26.44
QQQ260331P00390000,2026-02-06 21:04:00+00:00,390.0,0.37,77.0,0,53.7602,,57.4353,0.0364,
QQQ260331P00395000,2026-02-09 16:01:23+00:00,395.0,0.32,16.0,0,52.7837,,54.8804,0.0364,
QQQ260331P00400000,2026-02-17 19:52:41+00:00,400.0,0.32,76.0,0,51.8071,602.62,53.6562,0.0364,25.66
QQQ260331P00405000,2026-02-17 20:44:08+00:00,405.0,0.36,1.0,0,50.7817,601.3801,52.7927,0.0364,25.88
QQQ260331P00410000,2026-02-10 20:20:22+00:00,410.0,0.36,7.0,0,50.1958,,51.3259,0.0364,
QQQ260331P00415000,2026-02-17 20:40:17+00:00,415.0,0.39,16.0,0,49.0972,600.797,50.3373,0.0364,26.14
QQQ260331P00420000,2026-02-17 20:46:10+00:00,420.0,0.42,1.0,0,48.1695,601.21,49.4828,0.0364,25.92
QQQ260331P00425000,2026-02-17 16:04:07+00:00,425.0,0.55,1.0,0,47.1929,598.2,49.3543,0.0364,27.37
QQQ260331P00430000,2026-02-13 20:40:20+00:00,430.0,0.61,36.0,0,46.3384,600.98,49.1937,0.0364,26.76
QQQ260331P00435000,2026-02-12 19:14:12+00:00,435.0,0.64,44.0,0,45.313,603.15,48.5107,0.0364,26.22
QQQ260331P00440000,2026-02-17 14:30:05+00:00,440.0,0.7,25.0,0,44.2633,597.57,46.5716,0.0364,27.59
QQQ260331P00445000,2026-02-17 20:45:20+00:00,445.0,0.61,1.0,0,43.5308,601.22,44.8707,0.0364,25.91
QQQ260331P00450000,2026-02-17 19:44:28+00:00,450.0,0.62,7.0,0,42.6519,603.58,44.0256,0.0364,25.47
QQQ260331P00455000,2026-02-13 16:57:52+00:00,455.0,0.78,2.0,0,41.8097,604.41,44.3756,0.0364,25.51
QQQ260331P00460000,2026-02-17 14:47:47+00:00,460.0,1.03,2.0,0,41.0162,598.17,43.6597,0.0364,27.74
QQQ260331P00465000,2026-02-17 16:07:42+00:00,465.0,0.99,3.0,0,40.1617,599.862,42.2312,0.0364,27.05
QQQ260331P00470000,2026-02-17 18:22:38+00:00,470.0,0.99,6.0,0,39.3317,600.96,40.9912,0.0364,26.24
QQQ260331P00475000,2026-02-17 19:44:28+00:00,475.0,0.96,51.0,0,38.587,603.58,39.8759,0.0364,25.47
QQQ260331P00480000,2026-02-17 18:15:57+00:00,480.0,1.1,104.0,0,37.7814,598.49,38.2535,0.0364,26.96
QQQ260331P00485000,2026-02-13 21:07:30+00:00,485.0,1.54,11.0,0,37.0246,601.82,40.0839,0.0364,26.44
QQQ260331P00490000,2026-02-17 20:17:30+00:00,490.0,1.34,78.0,0,36.2616,601.925,37.5019,0.0364,25.75
QQQ260331P00495000,2026-02-17 18:15:57+00:00,495.0,1.75,17.0,0,35.5231,598.49,37.2272,0.0364,26.96
QQQ260331P00500000,2026-02-17 20:33:59+00:00,500.0,1.76,249.0,0,34.8029,600.75,36.2706,0.0364,26.08
QQQ260331P00505000,2026-02-17 16:15:14+00:00,505.0,2.05,5.0,0,34.0766,601.1206,36.0352,0.0364,26.75
QQQ260331P00510000,2026-02-17 19:34:49+00:00,510.0,1.97,166.0,0,33.4235,603.36,34.7023,0.0364,25.51
QQQ260331P00515000,2026-02-17 16:11:57+00:00,515.0,2.58,23.0,0,32.7094,600.64,34.6583,0.0364,26.77
QQQ260331P00520000,2026-02-17 20:54:27+00:00,520.0,2.7,210.0,0,32.0563,600.74,33.4426,0.0364,26.18
