contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
SPY271217C00050000,2025-12-18 18:27:01+00:00,50.0,626.51,63.0,1,136.1026,,,0.0364,
SPY271217C00055000,2025-12-16 20:48:42+00:00,55.0,624.76,2.0,1,129.9808,,,0.0364,
SPY271217C00085000,2025-11-06 16:18:53+00:00,85.0,586.5,,1,107.3613,,,0.0364,
SPY271217C00100000,2025-12-19 16:51:59+00:00,100.0,580.99,20.0,1,96.1792,,,0.0364,
SPY271217C00125000,2026-02-13 16:02:46+00:00,125.0,556.3,1.0,1,50.147,683.245,,0.0364,20.14
SPY271217C00200000,2026-02-13 14:47:53+00:00,200.0,485.57,7.0,1,50.1836,682.21,,0.0364,20.83
SPY271217C00205000,2026-01-20 15:31:42+00:00,205.0,483.0,2.0,1,50.5101,,,0.0364,
SPY271217C00210000,2026-01-20 15:29:28+00:00,210.0,480.63,1.0,1,50.7268,,,0.0364,
SPY271217C00215000,2025-07-18 14:34:00+00:00,215.0,423.44,1.0,1,0.001,,,0.0364,
SPY271217C00220000,2026-01-09 15:41:06+00:00,220.0,478.78,1.0,1,65.5216,,44.0827,0.0364,
SPY271217C00225000,2025-04-14 17:53:14+00:00,225.0,327.0,,1,0.001,,,0.0364,
SPY271217C00230000,2025-10-14 14:35:29+00:00,230.0,439.5,2.0,1,0.001,,,0.0364,
SPY271217C00235000,2026-02-09 16:49:46+00:00,235.0,467.19,1.0,1,53.4734,,48.6242,0.0364,
SPY271217C00240000,2026-01-16 15:46:29+00:00,240.0,459.75,2.0,1,53.2201,,39.8241,0.0364,
SPY271217C00250000,2026-01-09 15:42:09+00:00,250.0,451.48,1.0,1,61.5421,,42.076,0.0364,
SPY271217C00255000,2025-08-08 14:31:12+00:00,255.0,395.0,2.0,1,0.001,,,0.0364,
SPY271217C00260000,2026-01-23 14:46:29+00:00,260.0,438.97,1.0,1,52.033,,,0.0364,
SPY271217C00265000,2026-02-11 14:44:30+00:00,265.0,440.0,1.0,1,51.7003,,45.5332,0.0364,
SPY271217C00270000,2026-01-23 15:11:50+00:00,270.0,430.58,9.0,1,50.797,,29.7144,0.0364,
SPY271217C00275000,2026-01-09 15:44:57+00:00,275.0,430.38,5.0,1,58.3424,,43.5399,0.0364,
SPY271217C00280000,2026-01-23 15:04:06+00:00,280.0,422.41,2.0,1,50.1241,,34.952,0.0364,
SPY271217C00285000,2026-01-09 15:46:26+00:00,285.0,419.44,1.0,1,57.1995,,38.9774,0.0364,
SPY271217C00290000,2025-12-02 15:28:41+00:00,290.0,406.0,5.0,1,57.0134,,,0.0364,
SPY271217C00295000,2026-01-26 17:04:43+00:00,295.0,412.85,3.0,1,49.0529,,42.6146,0.0364,
SPY271217C00300000,2026-02-09 16:46:49+00:00,300.0,408.25,1.0,1,48.6822,,42.0251,0.0364,
SPY271217C00305000,2026-01-23 15:15:28+00:00,305.0,399.77,6.0,1,48.3068,,34.2197,0.0364,
SPY271217C00310000,2026-02-02 14:40:24+00:00,310.0,397.45,15.0,1,47.9253,,38.3912,0.0364,
SPY271217C00315000,2026-01-22 16:27:48+00:00,315.0,390.71,4.0,1,47.5408,,33.7764,0.0364,
SPY271217C00320000,2026-01-30 14:46:26+00:00,320.0,388.61,1.0,1,47.1517,,37.9386,0.0364,
SPY271217C00325000,2026-02-06 19:18:20+00:00,325.0,379.55,2.0,1,46.758,,27.0954,0.0364,
SPY271217C00330000,2026-02-05 20:59:52+00:00,330.0,364.42,2.0,1,46.3613,,,0.0364,
SPY271217C00335000,2026-02-12 18:11:58+00:00,335.0,365.33,2.0,1,45.9631,683.41,,0.0364,20.48
SPY271217C00340000,2026-02-02 14:38:17+00:00,340.0,370.85,14.0,1,45.5602,,36.7937,0.0364,
SPY271217C00345000,2026-01-09 15:47:33+00:00,345.0,365.7,1.0,1,50.7177,,35.5466,0.0364,
SPY271217C00350000,2026-02-05 20:59:52+00:00,350.0,346.58,2.0,1,44.75,,,0.0364,
SPY271217C00355000,2026-01-23 15:03:17+00:00,355.0,354.02,1.0,1,44.3411,,30.8305,0.0364,
SPY271217C00360000,2025-12-26 15:49:53+00:00,360.0,351.56,5.0,1,50.4384,,33.645,0.0364,
SPY271217C00365000,2026-01-14 20:15:55+00:00,365.0,345.29,2.0,1,43.5186,,30.8079,0.0364,
SPY271217C00370000,2026-01-26 15:22:59+00:00,370.0,344.9,1.0,1,43.4378,,35.6477,0.0364,
SPY271217C00375000,2026-01-07 20:59:51+00:00,375.0,337.78,5.0,1,49.1231,,32.2799,0.0364,
SPY271217C00380000,2026-01-28 20:45:55+00:00,380.0,337.75,1.0,1,42.5924,,36.6119,0.0364,
