contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
AMZN260223C00165000,2026-02-13 18:20:42+00:00,165.0,35.41,2.0,1,90.5274,199.99,107.0352,0.0365,35.13
AMZN260223C00170000,2026-02-13 18:20:42+00:00,170.0,30.48,2.0,1,71.68,199.99,96.5903,0.0365,35.13
AMZN260223C00175000,2026-02-17 20:30:49+00:00,175.0,30.05,1.0,1,70.5081,200.405,175.4265,0.0365,37.3
AMZN260223C00180000,2026-02-18 18:24:03+00:00,180.0,25.98,2.0,1,64.6488,205.8,64.0113,0.0365,35.02
AMZN260223C00182500,2026-02-17 14:34:45+00:00,182.5,18.1,1.0,1,54.688,200.05,63.4447,0.0365,37.79
AMZN260223C00185000,2026-02-18 15:20:57+00:00,185.0,20.9,4.0,1,54.2973,205.86,,0.0365,35.07
AMZN260223C00187500,2026-02-18 14:38:56+00:00,187.5,17.05,3.0,1,50.6353,204.33,46.4948,0.0365,37.11
AMZN260223C00190000,2026-02-18 18:02:15+00:00,190.0,16.58,5.0,1,74.2922,206.375,43.9998,0.0365,34.67
AMZN260223C00192500,2026-02-18 17:01:08+00:00,192.5,13.5,61.0,1,61.2064,205.65,42.8734,0.0365,35.03
AMZN260223C00195000,2026-02-18 19:53:55+00:00,195.0,10.11,42.0,1,48.9507,204.55,39.1565,0.0365,36.04
AMZN260223C00197500,2026-02-18 20:49:28+00:00,197.5,8.0,360.0,1,32.0808,205.13,28.7209,0.0365,35.66
AMZN260223C00200000,2026-02-18 20:57:37+00:00,200.0,6.15,741.0,1,29.1755,204.9801,34.9693,0.0365,35.74
AMZN260223C00202500,2026-02-18 20:44:24+00:00,202.5,4.4,1040.0,1,27.4665,205.3,31.953,0.0365,35.67
AMZN260223C00205000,2026-02-18 20:59:49+00:00,205.0,2.63,4838.0,0,26.4656,204.655,32.267,0.0365,35.99
AMZN260223C00207500,2026-02-18 20:58:31+00:00,207.5,1.64,2429.0,0,25.9285,204.655,32.6296,0.0365,35.99
AMZN260223C00210000,2026-02-18 20:59:26+00:00,210.0,0.82,5798.0,0,25.6111,204.655,30.7757,0.0365,35.99
AMZN260223C00212500,2026-02-18 20:59:57+00:00,212.5,0.44,2670.0,0,25.6599,204.655,31.3764,0.0365,35.99
AMZN260223C00215000,2026-02-18 20:58:38+00:00,215.0,0.23,1806.0,0,26.4168,204.655,32.1539,0.0365,35.99
AMZN260223C00217500,2026-02-18 20:34:38+00:00,217.5,0.14,447.0,0,27.7351,204.79,33.8126,0.0365,35.79
AMZN260223C00220000,2026-02-18 20:59:10+00:00,220.0,0.1,719.0,0,30.0788,204.655,36.8949,0.0365,35.99
AMZN260223C00222500,2026-02-18 20:45:05+00:00,222.5,0.07,93.0,0,32.0319,205.1405,38.331,0.0365,35.72
AMZN260223C00225000,2026-02-18 20:59:37+00:00,225.0,0.06,478.0,0,34.7663,204.655,42.688,0.0365,35.99
AMZN260223C00227500,2026-02-18 20:11:20+00:00,227.5,0.03,153.0,0,37.3053,204.42,43.1636,0.0365,35.98
AMZN260223C00230000,2026-02-18 20:59:41+00:00,230.0,0.03,144.0,0,39.4537,204.655,46.5816,0.0365,35.99
AMZN260223C00232500,2026-02-18 16:50:34+00:00,232.5,0.02,3.0,0,42.5787,205.7401,46.2221,0.0365,34.77
AMZN260223C00235000,2026-02-18 16:10:23+00:00,235.0,0.03,4.0,0,45.7037,206.3525,51.1191,0.0365,34.75
AMZN260223C00237500,2026-02-17 19:51:23+00:00,237.5,0.02,2.0,0,48.6333,201.025,60.9669,0.0365,36.95
AMZN260223C00240000,2026-02-18 16:03:50+00:00,240.0,0.02,3.0,0,47.6568,206.2998,55.7864,0.0365,34.78
AMZN260223C00242500,2026-02-10 16:18:31+00:00,242.5,0.16,,0,50.3911,,80.5846,0.0365,
AMZN260223C00245000,2026-02-12 14:41:16+00:00,245.0,0.06,5.0,0,53.1255,,73.7163,0.0365,
AMZN260223C00250000,2026-02-18 18:25:17+00:00,250.0,0.01,52.0,0,57.0317,205.77,65.1665,0.0365,35.04
AMZN260223C00255000,2026-02-18 19:37:25+00:00,255.0,0.01,6.0,0,56.2504,204.7401,72.6271,0.0365,35.93
AMZN260223C00260000,2026-02-17 18:00:20+00:00,260.0,0.01,1.0,0,59.3754,199.51,86.1865,0.0365,37.66
AMZN260223C00265000,2026-02-17 16:59:45+00:00,265.0,0.02,1.0,0,71.094,200.89,95.6824,0.0365,37.16
AMZN260223C00270000,2026-02-09 18:18:23+00:00,270.0,0.06,,0,75.7815,,107.2459,0.0365,
AMZN260223C00280000,2026-02-10 17:56:41+00:00,280.0,0.01,,0,129.1996,,99.9023,0.0365,
