contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
AVGO260402P00195000,2026-02-18 17:45:55+00:00,195.0,0.33,5.0,0,71.8753,335.4,73.9417,0.0365
AVGO260402P00200000,2026-02-17 15:05:38+00:00,200.0,0.88,2.0,0,71.8265,320.95,77.076,0.0365
AVGO260402P00205000,2026-02-13 14:52:03+00:00,205.0,1.15,,0,73.2425,330.283,81.0978,0.0365
AVGO260402P00230000,2026-02-18 17:15:26+00:00,230.0,1.43,26.0,0,68.1644,335.465,69.3464,0.0365
AVGO260402P00245000,2026-02-17 20:51:42+00:00,245.0,2.64,1.0,0,65.5887,332.29,67.3818,0.0365
AVGO260402P00265000,2026-02-18 20:15:35+00:00,265.0,4.9,17.0,0,63.1473,331.39,64.2243,0.0365
AVGO260402P00275000,2026-02-18 19:27:08+00:00,275.0,6.03,1.0,0,60.8463,334.065,62.659,0.0365
AVGO260402P00280000,2026-02-18 19:27:46+00:00,280.0,7.0,3.0,0,60.5534,333.99,62.247,0.0365
AVGO260402P00285000,2026-02-17 19:37:58+00:00,285.0,8.22,19.0,0,59.9796,335.36,63.1759,0.0365
AVGO260402P00290000,2026-02-18 20:29:45+00:00,290.0,9.79,11.0,0,59.3754,332.5,62.0901,0.0365
AVGO260402P00295000,2026-02-18 20:29:45+00:00,295.0,10.94,32.0,0,57.8923,332.5,61.1096,0.0365
AVGO260402P00300000,2026-02-18 19:38:46+00:00,300.0,11.9,74.0,0,58.35,332.66,59.4411,0.0365
AVGO260402P00305000,2026-02-18 16:30:26+00:00,305.0,12.9,12.0,0,57.3857,336.68,60.4847,0.0365
AVGO260402P00310000,2026-02-17 15:41:02+00:00,310.0,19.4,20.0,0,57.0378,324.135,61.7837,0.0365
AVGO260402P00315000,2026-02-18 16:30:26+00:00,315.0,16.11,1.0,0,55.6462,336.68,59.2253,0.0365
AVGO260402P00330000,2026-02-18 17:45:46+00:00,330.0,22.18,13.0,0,54.9626,335.4,56.683,0.0365
AVGO260402P00335000,2026-02-18 20:14:07+00:00,335.0,26.7,141.0,1,54.456,331.785,57.3607,0.0365
AVGO260402P00340000,2026-02-18 16:25:08+00:00,340.0,26.95,16.0,1,53.6717,336.37,56.6513,0.0365
