contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
NVDA270917P00055000,2026-02-11 17:24:13+00:00,55.0,1.26,6.0,0,58.289,,59.9611,0.0365
NVDA270917P00060000,2026-02-04 14:30:00+00:00,60.0,1.83,1.0,0,56.9462,,60.6289,0.0365
NVDA270917P00065000,2026-02-09 17:15:10+00:00,65.0,1.95,99.0,0,55.6767,,57.658,0.0365
NVDA270917P00070000,2026-02-13 19:49:19+00:00,70.0,2.59,4.0,0,54.5537,183.89,57.0354,0.0365
NVDA270917P00075000,2026-02-17 19:41:24+00:00,75.0,3.02,24.0,0,53.6137,186.92,56.2878,0.0365
NVDA270917P00080000,2026-02-17 16:50:02+00:00,80.0,3.8,3.0,0,52.6372,184.14,55.7104,0.0365
NVDA270917P00085000,2026-02-17 20:24:32+00:00,85.0,4.35,3.0,0,51.8498,185.65,54.8061,0.0365
NVDA270917P00090000,2026-02-17 16:49:20+00:00,90.0,5.3,1.0,0,51.1052,183.905,54.3966,0.0365
NVDA270917P00095000,2026-02-18 15:05:10+00:00,95.0,5.73,6.0,0,50.3789,189.685,53.8383,0.0365
NVDA270917P00100000,2026-02-18 16:03:50+00:00,100.0,6.55,4.0,0,49.9944,190.26,53.2228,0.0365
NVDA270917P00105000,2026-02-17 18:43:09+00:00,105.0,7.97,23.0,0,49.4451,185.685,52.7266,0.0365
NVDA270917P00110000,2026-02-18 20:42:10+00:00,110.0,8.9,3.0,0,48.8286,187.735,52.3556,0.0365
NVDA270917P00115000,2026-02-12 20:00:02+00:00,115.0,10.35,67.0,0,48.258,,52.5362,0.0365
NVDA270917P00120000,2026-02-18 15:30:17+00:00,120.0,11.15,302.0,0,47.7209,189.86,51.6464,0.0365
NVDA270917P00125000,2026-02-17 19:52:22+00:00,125.0,12.91,1.0,0,47.2112,185.8398,50.9264,0.0365
NVDA270917P00130000,2026-02-18 16:34:34+00:00,130.0,13.9,1.0,0,46.7229,189.56,50.7486,0.0365
NVDA270917P00135000,2026-02-12 20:00:02+00:00,135.0,16.15,42.0,0,46.253,,51.1259,0.0365
NVDA270917P00140000,2026-02-17 18:15:03+00:00,140.0,18.25,464.0,0,45.7983,184.4499,50.3914,0.0365
NVDA270917P00145000,2026-02-09 14:41:46+00:00,145.0,19.25,8.0,0,45.3588,,49.9861,0.0365
NVDA270917P00150000,2026-02-18 20:47:58+00:00,150.0,21.25,1.0,0,44.9285,188.1701,49.9723,0.0365
NVDA270917P00155000,2026-02-13 20:17:23+00:00,155.0,24.55,1.0,0,44.5104,182.31,49.583,0.0365
