contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
META260327P00300000,2026-02-19 19:53:33+00:00,300.0,0.04,3.0,0,100.8306,643.36,81.8714,0.0365
META260327P00310000,2026-02-17 18:17:06+00:00,310.0,0.26,3.0,0,109.2778,637.825,90.99,0.0365
META260327P00320000,2026-02-19 19:47:12+00:00,320.0,0.04,16.0,0,111.1821,642.525,75.2017,0.0365
META260327P00340000,2026-02-19 20:07:31+00:00,340.0,0.22,83.0,0,95.1661,642.43,81.7372,0.0365
META260327P00360000,2026-02-18 20:59:33+00:00,360.0,0.07,1.0,0,67.4808,643.12,65.7705,0.0365
META260327P00370000,2026-02-19 17:05:17+00:00,370.0,0.13,1.0,0,65.43,644.3699,67.8972,0.0365
META260327P00380000,2026-02-13 20:46:14+00:00,380.0,0.16,3.0,0,63.7699,,61.5881,0.0365
META260327P00390000,2026-02-17 16:12:13+00:00,390.0,0.2,2.0,0,62.2074,637.7,62.0852,0.0365
META260327P00400000,2026-02-17 18:18:26+00:00,400.0,0.25,12.0,0,60.8891,638.295,60.9297,0.0365
META260327P00420000,2026-02-19 16:28:50+00:00,420.0,0.35,4.0,0,58.1059,645.01,60.3181,0.0365
META260327P00430000,2026-02-19 19:05:27+00:00,430.0,0.39,5.0,0,56.6411,644.53,58.1811,0.0365
META260327P00440000,2026-02-18 14:36:42+00:00,440.0,0.61,2.0,0,55.0297,632.87,55.5866,0.0365
META260327P00450000,2026-02-18 17:25:06+00:00,450.0,0.54,2.0,0,53.1011,640.214,53.1626,0.0365
META260327P00460000,2026-02-13 15:08:09+00:00,460.0,1.01,,0,51.1968,,52.8627,0.0365
META260327P00470000,2026-02-12 17:57:13+00:00,470.0,1.03,32.0,0,50.0982,,49.6355,0.0365
META260327P00475000,2026-02-18 16:18:23+00:00,475.0,0.9,10.0,0,50.7573,639.7,49.714,0.0365
META260327P00480000,2026-02-19 16:20:05+00:00,480.0,1.0,4.0,0,50.0005,646.5,51.2226,0.0365
META260327P00485000,2026-02-13 16:03:27+00:00,485.0,1.55,,0,49.3291,,49.4484,0.0365
META260327P00490000,2026-02-19 16:30:14+00:00,490.0,1.19,15.0,0,48.5845,645.28,49.443,0.0365
META260327P00495000,2026-02-11 17:34:44+00:00,495.0,1.48,10.0,0,47.8521,,45.0829,0.0365
META260327P00500000,2026-02-19 17:36:44+00:00,500.0,1.42,5.0,0,46.9244,645.18,47.9574,0.0365
META260327P00505000,2026-02-09 20:31:31+00:00,505.0,1.37,,0,46.4605,,40.7967,0.0365
META260327P00510000,2026-02-18 14:42:00+00:00,510.0,2.24,38.0,0,45.7891,635.34,46.1274,0.0365
META260327P00520000,2026-02-18 19:57:56+00:00,520.0,2.4,3.0,0,44.1839,636.5384,43.9921,0.0365
META260327P00525000,2026-02-17 15:12:05+00:00,525.0,3.5,6.0,0,43.7261,632.7,44.6972,0.0365
META260327P00530000,2026-02-19 16:30:14+00:00,530.0,2.5,12.0,0,42.774,645.28,43.8498,0.0365
META260327P00535000,2026-02-18 15:11:05+00:00,535.0,3.05,25.0,0,42.3468,638.89,41.9961,0.0365
META260327P00540000,2026-02-19 18:22:30+00:00,540.0,3.13,5.0,0,41.7059,644.64,42.7655,0.0365
META260327P00545000,2026-02-18 20:37:37+00:00,545.0,3.65,4.0,0,40.8209,642.15,41.5677,0.0365
META260327P00550000,2026-02-19 20:02:48+00:00,550.0,3.83,12.0,0,40.1617,643.625,41.3407,0.0365
META260327P00555000,2026-02-19 20:52:41+00:00,555.0,4.25,9.0,0,39.5514,643.895,40.8864,0.0365
META260327P00560000,2026-02-19 19:08:03+00:00,560.0,4.57,3.0,0,39.2096,644.73,40.1695,0.0365
META260327P00565000,2026-02-18 20:59:43+00:00,565.0,5.28,15.0,0,38.6176,643.12,39.1622,0.0365
META260327P00570000,2026-02-19 20:31:27+00:00,570.0,5.82,6.0,0,38.0316,643.29,39.1278,0.0365
META260327P00575000,2026-02-19 16:58:08+00:00,575.0,6.3,12.0,0,37.4335,644.18,38.4883,0.0365
META260327P00580000,2026-02-19 20:18:22+00:00,580.0,7.4,31.0,0,36.9177,641.82,38.0839,0.0365
META260327P00585000,2026-02-19 20:17:38+00:00,585.0,8.13,12.0,0,36.463,641.82,37.4565,0.0365
META260327P00590000,2026-02-19 20:17:38+00:00,590.0,8.42,30.0,0,35.871,641.82,35.9233,0.0365
META260327P00595000,2026-02-19 16:13:31+00:00,595.0,9.55,17.0,0,35.401,643.98,36.4953,0.0365
META260327P00600000,2026-02-19 20:22:36+00:00,600.0,10.77,37.0,0,34.8731,642.52,35.87,0.0365
META260327P00605000,2026-02-19 19:19:54+00:00,605.0,11.55,7.0,0,34.4306,645.14,35.8713,0.0365
META260327P00610000,2026-02-19 19:20:17+00:00,610.0,12.65,20.0,0,33.9118,645.14,35.2591,0.0365
META260327P00615000,2026-02-19 18:58:29+00:00,615.0,14.1,36.0,0,33.5212,644.86,34.8825,0.0365
META260327P00620000,2026-02-19 17:21:32+00:00,620.0,15.5,9.0,0,33.0359,646.215,34.9643,0.0365
META260327P00625000,2026-02-19 17:28:30+00:00,625.0,17.23,13.0,0,32.4592,645.315,34.3663,0.0365
META260327P00630000,2026-02-19 18:58:28+00:00,630.0,19.2,86.0,0,32.038,644.86,34.1087,0.0365
META260327P00635000,2026-02-19 19:36:57+00:00,635.0,21.3,26.0,0,31.7557,643.645,33.39,0.0365
META260327P00640000,2026-02-19 20:59:55+00:00,640.0,23.02,12.0,0,31.3544,644.62,33.1706,0.0365
META260327P00645000,2026-02-19 20:15:38+00:00,645.0,26.56,27.0,1,30.9516,641.77,32.8039,0.0365
META260327P00650000,2026-02-19 20:15:38+00:00,650.0,29.04,15.0,1,30.6068,641.77,32.5308,0.0365
META260327P00655000,2026-02-18 16:49:54+00:00,655.0,33.3,5.0,1,30.2512,638.8201,31.7871,0.0365
META260327P00660000,2026-02-19 18:53:42+00:00,660.0,33.15,14.0,1,29.8835,644.46,32.2512,0.0365
META260327P00665000,2026-02-19 17:40:04+00:00,665.0,35.74,1.0,1,29.502,645.39,32.3274,0.0365
META260327P00670000,2026-02-19 15:22:50+00:00,670.0,40.0,2.0,1,29.1694,643.485,32.1684,0.0365
META260327P00675000,2026-02-19 14:38:21+00:00,675.0,46.5,1.0,1,28.8917,640.25,33.5275,0.0365
META260327P00680000,2026-02-19 15:25:57+00:00,680.0,46.2,2.0,1,28.6064,643.11,30.8793,0.0365
META260327P00685000,2026-02-19 16:44:55+00:00,685.0,50.0,1.0,1,30.2253,643.738,31.7512,0.0365
META260327P00690000,2026-02-17 19:03:22+00:00,690.0,56.38,1.0,1,32.4409,640.735,31.7122,0.0365
META260327P00695000,2026-02-19 18:59:54+00:00,695.0,56.41,1.0,1,30.323,644.94,31.3318,0.0365
META260327P00700000,2026-02-19 15:45:01+00:00,700.0,62.95,1.0,1,30.6129,641.63,31.2774,0.0365
META260327P00705000,2026-02-18 15:49:53+00:00,705.0,67.81,1.0,1,32.4927,640.895,31.2125,0.0365
META260327P00710000,2026-02-17 14:38:07+00:00,710.0,72.9,1.0,1,30.5671,639.73,30.7193,0.0365
META260327P00720000,2026-02-19 16:09:55+00:00,720.0,78.0,3.0,1,29.7492,643.84,31.1824,0.0365
META260327P00725000,2026-02-17 17:09:30+00:00,725.0,89.67,10.0,1,33.5639,636.315,32.2473,0.0365
META260327P00730000,2026-02-13 20:21:56+00:00,730.0,90.89,2.0,1,34.4367,,38.9077,0.0365
META260327P00765000,2026-02-17 20:35:35+00:00,765.0,123.0,23.0,1,39.2218,639.545,26.2261,0.0365
META260327P00770000,2026-02-17 20:35:35+00:00,770.0,127.97,23.0,1,40.4547,639.545,26.922,0.0365
META260327P00775000,2026-02-13 20:56:46+00:00,775.0,135.15,,1,41.5228,,49.1195,0.0365
META260327P00780000,2026-02-13 20:56:46+00:00,780.0,140.12,,1,43.0243,,50.247,0.0365
META260327P00785000,2026-02-13 18:16:15+00:00,785.0,136.34,23.0,1,43.6285,,,0.0365
META260327P00790000,2026-02-13 18:16:15+00:00,790.0,141.32,23.0,1,44.66,,,0.0365
META260327P00800000,2026-02-13 15:03:28+00:00,800.0,155.5,,1,46.5276,,43.8036,0.0365
