contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
IBIT260306P00020000,2026-02-20 19:15:40+00:00,20.0,0.03,27.0,0,134.3753,38.43,150.5496,0.0365
IBIT260306P00025000,2026-02-20 19:39:54+00:00,25.0,0.06,38.0,0,107.0317,38.415,114.4938,0.0365
IBIT260306P00026000,2026-02-17 14:30:06+00:00,26.0,0.1,1.0,0,99.6094,38.52,103.7433,0.0365
IBIT260306P00027000,2026-02-20 17:02:59+00:00,27.0,0.08,90.0,0,94.5313,38.42,100.9327,0.0365
IBIT260306P00028000,2026-02-19 17:08:33+00:00,28.0,0.12,4.0,0,89.0626,37.59,90.7206,0.0365
IBIT260306P00029000,2026-02-20 20:05:15+00:00,29.0,0.12,5.0,0,83.008,38.415,90.5298,0.0365
IBIT260306P00030000,2026-02-20 20:59:15+00:00,30.0,0.13,277.0,0,78.5158,38.415,82.9981,0.0365
IBIT260306P00031000,2026-02-20 14:39:40+00:00,31.0,0.21,250.0,0,73.2425,38.035,79.2764,0.0365
IBIT260306P00032000,2026-02-20 19:53:56+00:00,32.0,0.22,167.0,0,68.555,38.375,73.7431,0.0365
IBIT260306P00033000,2026-02-20 20:54:10+00:00,33.0,0.27,91.0,0,64.0629,38.38,68.2231,0.0365
IBIT260306P00034000,2026-02-20 20:13:23+00:00,34.0,0.38,33.0,0,60.1566,38.46,65.9375,0.0365
IBIT260306P00035000,2026-02-20 21:01:50+00:00,35.0,0.49,10176.0,0,56.6411,38.415,60.7685,0.0365
IBIT260306P00036000,2026-02-20 20:45:35+00:00,36.0,0.68,1113.0,0,53.1255,38.43,57.8715,0.0365
IBIT260306P00037000,2026-02-20 20:52:58+00:00,37.0,0.94,253.0,0,50.5864,38.3901,54.5703,0.0365
IBIT260306P00038000,2026-02-20 21:05:29+00:00,38.0,1.3,161.0,0,48.5845,38.415,52.6908,0.0365
IBIT260306P00039000,2026-02-20 19:57:14+00:00,39.0,1.76,51.0,1,47.022,38.362,49.4458,0.0365
IBIT260306P00040000,2026-02-20 20:36:09+00:00,40.0,2.37,931.0,1,45.606,38.335,47.9675,0.0365
IBIT260306P00041000,2026-02-20 20:39:39+00:00,41.0,3.05,183.0,1,45.5572,38.395,47.5176,0.0365
IBIT260306P00042000,2026-02-20 18:35:20+00:00,42.0,3.82,34.0,1,47.4615,38.3499,42.8715,0.0365
IBIT260306P00043000,2026-02-20 20:39:37+00:00,43.0,4.75,13.0,1,46.6802,38.395,48.4354,0.0365
IBIT260306P00044000,2026-02-20 20:39:39+00:00,44.0,5.7,45.0,1,49.6099,38.395,51.4582,0.0365
IBIT260306P00044500,2026-02-18 20:42:23+00:00,44.5,6.9,2.0,1,48.438,37.6555,53.2976,0.0365
IBIT260306P00045000,2026-02-20 18:31:01+00:00,45.0,6.64,104.0,1,51.1724,38.46,57.5787,0.0365
IBIT260306P00045500,2026-02-20 20:41:44+00:00,45.5,7.15,1.0,1,53.9067,38.3802,54.1657,0.0365
IBIT260306P00046000,2026-02-19 20:46:19+00:00,46.0,7.95,77.0,1,56.6411,38.083,57.7371,0.0365
IBIT260306P00046500,2026-02-20 16:24:17+00:00,46.5,8.04,2.0,1,59.1801,38.475,56.7694,0.0365
IBIT260306P00047000,2026-02-20 18:57:42+00:00,47.0,8.54,12.0,1,51.563,38.555,68.3438,0.0365
IBIT260306P00047500,2026-02-19 16:05:00+00:00,47.5,10.05,3.0,1,64.2582,37.465,66.7805,0.0365
IBIT260306P00048000,2026-02-19 20:15:47+00:00,48.0,9.7,1.0,1,66.6019,37.905,,0.0365
IBIT260306P00048500,2026-02-18 14:54:41+00:00,48.5,10.58,1.0,1,51.563,38.0986,82.2288,0.0365
IBIT260306P00049000,2026-02-20 14:38:44+00:00,49.0,10.95,1.0,1,53.1255,38.05,69.5914,0.0365
IBIT260306P00049500,2026-02-20 20:55:42+00:00,49.5,11.2,6.0,1,55.4692,38.41,84.8229,0.0365
IBIT260306P00050000,2026-02-18 18:05:25+00:00,50.0,11.99,1.0,1,57.0317,38.04,75.6062,0.0365
