contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
MSFT280616C00215000,2026-02-02 15:35:02+00:00,215.0,232.0,,1,47.7392,,60.479,0.0365
MSFT280616C00220000,2026-02-11 15:31:06+00:00,220.0,205.62,1.0,1,47.2356,,38.7729,0.0365
MSFT280616C00225000,2026-02-09 14:33:09+00:00,225.0,201.25,,1,47.1227,,37.8903,0.0365
MSFT280616C00230000,2026-02-12 16:07:52+00:00,230.0,192.0,2.0,1,46.5856,,31.2987,0.0365
MSFT280616C00240000,2026-02-10 18:15:07+00:00,240.0,201.73,19.0,1,45.8502,,47.8063,0.0365
MSFT280616C00250000,2026-02-06 16:27:56+00:00,250.0,175.6,1.0,1,44.6966,,29.9719,0.0365
MSFT280616C00260000,2026-01-23 19:02:30+00:00,260.0,233.05,4.0,1,44.1809,,76.8767,0.0365
MSFT280616C00270000,2026-02-12 14:51:56+00:00,270.0,164.45,125.0,1,43.5797,,33.3785,0.0365
MSFT280616C00280000,2026-02-17 17:32:50+00:00,280.0,153.62,2.0,1,42.9068,396.6401,30.7626,0.0365
MSFT280616C00290000,2026-02-17 16:11:37+00:00,290.0,148.47,1.0,1,42.4566,399.87,29.9121,0.0365
MSFT280616C00300000,2026-02-20 15:15:47+00:00,300.0,141.48,13.0,1,41.6792,396.165,31.9998,0.0365
MSFT280616C00310000,2026-02-12 16:24:13+00:00,310.0,135.5,2.0,1,41.329,,31.3655,0.0365
MSFT280616C00320000,2026-02-17 17:06:06+00:00,320.0,129.23,1.0,1,40.6668,398.275,30.8959,0.0365
MSFT280616C00330000,2026-02-12 16:46:24+00:00,330.0,123.2,2.0,1,40.1961,,31.1711,0.0365
MSFT280616C00340000,2026-02-10 17:32:36+00:00,340.0,134.0,2.0,1,39.2943,,39.8923,0.0365
MSFT280616C00350000,2026-02-19 19:07:43+00:00,350.0,112.5,4.0,1,39.292,397.87,31.3356,0.0365
MSFT280616C00360000,2026-02-17 18:24:10+00:00,360.0,104.77,3.0,1,38.5344,396.735,30.4468,0.0365
MSFT280616C00370000,2026-02-20 20:31:23+00:00,370.0,100.4,4.0,1,38.6054,396.82,30.8403,0.0365
MSFT280616C00380000,2026-02-20 19:30:07+00:00,380.0,95.18,2.0,1,38.2384,397.01,30.5957,0.0365
MSFT280616C00390000,2026-02-19 20:46:11+00:00,390.0,91.29,1.0,1,37.5891,397.7586,30.6868,0.0365
MSFT280616C00400000,2026-02-20 20:11:44+00:00,400.0,86.7,11.0,0,37.2504,397.48,30.7341,0.0365
MSFT280616C00410000,2026-02-20 19:12:59+00:00,410.0,82.3,2.0,0,36.9757,397.8277,30.5712,0.0365
MSFT280616C00420000,2026-02-20 16:02:04+00:00,420.0,78.43,2.0,0,37.0795,399.995,30.0777,0.0365
MSFT280616C00430000,2026-02-20 19:06:53+00:00,430.0,74.5,3.0,0,36.2387,398.43,30.4893,0.0365
MSFT280616C00440000,2026-02-20 17:34:14+00:00,440.0,69.9,2.0,0,35.9893,396.995,30.4692,0.0365
MSFT280616C00450000,2026-02-20 18:26:39+00:00,450.0,66.7,14.0,0,35.7619,397.0,30.6057,0.0365
MSFT280616C00460000,2026-02-19 20:50:27+00:00,460.0,63.31,48.0,0,35.5597,398.37,30.2628,0.0365
MSFT280616C00470000,2026-02-20 17:45:42+00:00,470.0,58.91,1.0,0,35.3621,396.9,30.1142,0.0365
MSFT280616C00480000,2026-02-20 20:11:35+00:00,480.0,56.24,1.0,0,35.1912,397.48,30.1513,0.0365
MSFT280616C00490000,2026-02-19 15:02:33+00:00,490.0,56.0,2.0,0,35.0287,403.99,29.9077,0.0365
MSFT280616C00500000,2026-02-20 20:16:46+00:00,500.0,50.3,16.0,0,34.8555,397.4,30.0527,0.0365
MSFT280616C00510000,2026-02-17 20:56:01+00:00,510.0,46.6,50.0,0,34.7144,396.56,29.6893,0.0365
MSFT280616C00520000,2026-02-20 20:09:51+00:00,520.0,44.97,2.0,0,34.5656,397.53,29.9361,0.0365
MSFT280616C00530000,2026-02-19 19:39:27+00:00,530.0,42.28,25.0,0,34.4108,396.91,29.8824,0.0365
MSFT280616C00540000,2026-02-20 18:19:17+00:00,540.0,40.1,3.0,0,34.2727,396.615,29.976,0.0365
MSFT280616C00550000,2026-02-20 17:40:57+00:00,550.0,37.79,2.0,0,34.1544,396.49,29.9103,0.0365
MSFT280616C00560000,2026-02-19 15:31:43+00:00,560.0,37.35,2.0,0,34.0346,400.935,29.8494,0.0365
MSFT280616C00570000,2026-02-18 15:23:13+00:00,570.0,33.92,1.0,0,33.9164,400.06,29.3173,0.0365
MSFT280616C00580000,2026-02-20 19:58:31+00:00,580.0,31.9,1.0,0,33.8019,396.88,29.7625,0.0365
MSFT280616C00590000,2026-02-12 14:40:23+00:00,590.0,31.75,15.0,0,33.715,,30.2382,0.0365
MSFT280616C00600000,2026-02-19 15:31:29+00:00,600.0,29.75,2.0,0,33.6112,400.85,29.6996,0.0365
MSFT280616C00610000,2026-02-17 20:16:54+00:00,610.0,26.15,1.0,0,33.5166,396.86,29.2622,0.0365
MSFT280616C00620000,2026-02-17 17:10:55+00:00,620.0,25.27,3.0,0,33.4586,397.365,29.4575,0.0365
MSFT280616C00630000,2026-02-17 16:26:40+00:00,630.0,24.25,15.0,0,33.364,399.105,29.3925,0.0365
MSFT280616C00640000,2026-02-13 20:46:16+00:00,640.0,22.95,2.0,0,33.3106,,29.5615,0.0365
MSFT280616C00650000,2026-02-19 20:39:28+00:00,650.0,21.51,2.0,0,33.1946,396.92,29.6191,0.0365
MSFT280616C00660000,2026-02-18 19:40:32+00:00,660.0,20.27,4.0,0,33.1527,399.9752,29.1639,0.0365
MSFT280616C00670000,2026-02-13 20:44:49+00:00,670.0,19.36,2.0,0,33.1061,,29.5042,0.0365
MSFT280616C00680000,2026-02-18 20:08:02+00:00,680.0,18.1,2.0,0,33.0268,399.85,29.1652,0.0365
MSFT280616C00690000,2026-02-18 15:05:20+00:00,690.0,17.1,1.0,0,32.9452,400.53,29.0705,0.0365
MSFT280616C00700000,2026-02-20 20:16:46+00:00,700.0,16.1,3.0,0,32.9215,397.4,29.443,0.0365
MSFT280616C00720000,2026-02-20 20:09:51+00:00,720.0,14.37,2.0,0,32.8208,397.53,29.4014,0.0365
