contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
TSLA260402P00220000,2026-02-20 15:35:24+00:00,220.0,0.29,1.0,0,80.7619,409.9,81.6646,0.0365
TSLA260402P00250000,2026-02-19 18:38:28+00:00,250.0,0.66,5.0,0,71.9485,409.01,73.7073,0.0365
TSLA260402P00290000,2026-02-20 16:01:57+00:00,290.0,1.18,2.0,0,60.5961,414.19,62.2918,0.0365
TSLA260402P00295000,2026-02-20 15:29:01+00:00,295.0,1.43,11.0,0,59.2411,409.8099,60.5767,0.0365
TSLA260402P00300000,2026-02-20 16:10:31+00:00,300.0,1.44,14.0,0,58.0082,413.2001,59.2809,0.0365
TSLA260402P00305000,2026-02-20 16:40:38+00:00,305.0,1.69,10.0,0,56.6655,410.825,57.8777,0.0365
TSLA260402P00310000,2026-02-19 16:58:11+00:00,310.0,1.97,2.0,0,55.4204,412.99,57.3288,0.0365
TSLA260402P00315000,2026-02-20 18:57:05+00:00,315.0,2.05,52.0,0,54.2119,413.44,56.1579,0.0365
TSLA260402P00320000,2026-02-20 20:53:44+00:00,320.0,2.39,59.0,0,53.0034,411.7475,54.9863,0.0365
TSLA260402P00330000,2026-02-20 20:21:46+00:00,330.0,3.2,315.0,0,50.8672,409.985,52.9762,0.0365
TSLA260402P00335000,2026-02-20 17:18:46+00:00,335.0,3.57,17.0,0,49.9883,407.875,50.8643,0.0365
TSLA260402P00340000,2026-02-20 20:14:30+00:00,340.0,3.9,35.0,0,49.0728,410.62,50.638,0.0365
TSLA260402P00345000,2026-02-20 20:00:48+00:00,345.0,4.53,7.0,0,47.9742,410.03,49.8825,0.0365
TSLA260402P00350000,2026-02-20 20:19:33+00:00,350.0,5.15,24.0,0,47.1929,409.86,49.0169,0.0365
TSLA260402P00355000,2026-02-20 20:35:30+00:00,355.0,5.5,732.0,0,46.3445,410.26,47.3598,0.0365
TSLA260402P00360000,2026-02-20 20:49:14+00:00,360.0,6.24,23.0,0,45.4229,411.087,46.9636,0.0365
TSLA260402P00365000,2026-02-20 20:00:48+00:00,365.0,7.49,55.0,0,44.6905,410.03,46.7412,0.0365
TSLA260402P00370000,2026-02-20 20:20:03+00:00,370.0,8.5,141.0,0,43.9581,409.86,45.994,0.0365
TSLA260402P00375000,2026-02-20 20:35:30+00:00,375.0,9.43,31.0,0,43.3264,410.26,45.1146,0.0365
TSLA260402P00380000,2026-02-20 20:46:23+00:00,380.0,10.44,60.0,0,42.7588,411.45,44.68,0.0365
TSLA260402P00385000,2026-02-20 20:54:07+00:00,385.0,11.83,52.0,0,42.124,411.7475,44.346,0.0365
TSLA260402P00390000,2026-02-20 20:55:40+00:00,390.0,13.1,87.0,0,41.6113,412.18,43.5844,0.0365
TSLA260402P00395000,2026-02-20 20:49:01+00:00,395.0,14.94,46.0,0,41.0986,411.087,42.6798,0.0365
TSLA260402P00400000,2026-02-20 20:02:14+00:00,400.0,17.0,74.0,0,40.6592,409.915,41.7055,0.0365
TSLA260402P00405000,2026-02-20 20:33:21+00:00,405.0,19.75,57.0,0,40.2838,409.96,42.5813,0.0365
TSLA260402P00410000,2026-02-20 20:20:55+00:00,410.0,22.26,150.0,0,39.8627,409.63,42.3335,0.0365
TSLA260402P00415000,2026-02-20 20:06:21+00:00,415.0,24.35,184.0,1,39.4904,410.965,42.4704,0.0365
TSLA260402P00420000,2026-02-20 20:58:38+00:00,420.0,26.24,33.0,1,39.1547,411.71,41.537,0.0365
TSLA260402P00425000,2026-02-20 18:40:49+00:00,425.0,29.3,9.0,1,38.7701,412.001,42.0141,0.0365
TSLA260402P00430000,2026-02-20 18:07:14+00:00,430.0,32.66,2.0,1,38.4314,410.56,40.9175,0.0365
TSLA260402P00435000,2026-02-19 20:31:21+00:00,435.0,37.0,21.0,1,38.1415,410.39,42.2995,0.0365
TSLA260402P00440000,2026-02-20 14:30:04+00:00,440.0,40.13,7.0,1,37.7173,407.17,37.5796,0.0365
TSLA260402P00445000,2026-02-20 15:13:10+00:00,445.0,43.45,1.0,1,37.4671,409.24,39.8502,0.0365
TSLA260402P00450000,2026-02-20 15:47:14+00:00,450.0,45.95,1.0,1,39.4904,412.23,41.7141,0.0365
TSLA260402P00460000,2026-02-17 17:48:48+00:00,460.0,61.27,22.0,1,38.4985,404.81,45.0468,0.0365
TSLA260402P00465000,2026-02-20 20:30:28+00:00,465.0,59.12,2.0,1,38.6298,410.065,41.1332,0.0365
TSLA260402P00490000,2026-02-20 16:40:43+00:00,490.0,81.09,1.0,1,39.7772,410.825,44.1664,0.0365
TSLA260402P00550000,2026-02-13 14:41:36+00:00,550.0,137.88,,1,49.146,,51.1023,0.0365
