contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
IBIT260402C00033500,2026-02-13 20:50:13+00:00,33.5,6.74,,1,58.4965,,71.3438,0.0365
IBIT260402C00034000,2026-02-17 14:30:15+00:00,34.0,5.99,5.0,1,57.4223,38.52,62.8098,0.0365
IBIT260402C00035000,2026-02-18 18:16:53+00:00,35.0,4.65,2.0,1,55.7622,38.0599,55.7897,0.0365
IBIT260402C00035500,2026-02-19 18:53:09+00:00,35.5,4.25,7.0,1,55.1274,37.985,55.7548,0.0365
IBIT260402C00036000,2026-02-20 15:24:59+00:00,36.0,3.95,10.0,1,54.2485,38.18,53.551,0.0365
IBIT260402C00036500,2026-02-20 15:29:41+00:00,36.5,3.65,3.0,1,53.0766,38.19,53.2763,0.0365
IBIT260402C00037000,2026-02-20 20:39:38+00:00,37.0,3.39,25.0,1,52.1977,38.395,51.1845,0.0365
IBIT260402C00037500,2026-02-20 19:44:02+00:00,37.5,3.04,1.0,1,51.563,38.35,50.1252,0.0365
IBIT260402C00038000,2026-02-20 20:07:15+00:00,38.0,2.83,53.0,1,50.8306,38.465,49.7523,0.0365
IBIT260402C00038500,2026-02-20 21:07:29+00:00,38.5,2.55,7.0,0,50.2202,38.415,49.6045,0.0365
IBIT260402C00039000,2026-02-20 19:14:27+00:00,39.0,2.3,85.0,0,50.2935,38.415,49.1027,0.0365
IBIT260402C00039500,2026-02-20 21:01:50+00:00,39.5,2.07,29.0,0,49.6587,38.415,48.7904,0.0365
IBIT260402C00040000,2026-02-20 21:14:56+00:00,40.0,1.86,195.0,0,49.3413,38.415,48.5287,0.0365
IBIT260402C00040500,2026-02-20 20:37:37+00:00,40.5,1.61,4.0,0,48.9263,38.34,47.7499,0.0365
IBIT260402C00041000,2026-02-20 15:30:11+00:00,41.0,1.46,103.0,0,48.3892,38.19,49.0818,0.0365
IBIT260402C00041500,2026-02-20 20:37:37+00:00,41.5,1.28,3.0,0,48.1939,38.34,47.4402,0.0365
IBIT260402C00042000,2026-02-20 21:00:25+00:00,42.0,1.14,158.0,0,47.9497,38.415,46.8688,0.0365
IBIT260402C00042500,2026-02-20 20:39:38+00:00,42.5,1.0,22.0,0,47.6079,38.395,46.6766,0.0365
IBIT260402C00043000,2026-02-20 19:49:57+00:00,43.0,0.87,64.0,0,47.4615,38.355,46.5136,0.0365
IBIT260402C00044000,2026-02-20 20:54:48+00:00,44.0,0.67,58.0,0,47.3638,38.4042,46.0543,0.0365
IBIT260402C00045000,2026-02-20 19:37:08+00:00,45.0,0.55,139.0,0,47.5591,38.465,46.7402,0.0365
IBIT260402C00046000,2026-02-20 20:29:34+00:00,46.0,0.41,59.0,0,47.8033,38.34,46.972,0.0365
IBIT260402C00047000,2026-02-20 20:13:11+00:00,47.0,0.33,47.0,0,48.2427,38.46,47.1325,0.0365
IBIT260402C00048000,2026-02-20 19:33:16+00:00,48.0,0.28,128.0,0,48.8286,38.435,48.5948,0.0365
IBIT260402C00049000,2026-02-20 16:56:03+00:00,49.0,0.23,3.0,0,49.6099,38.41,49.5026,0.0365
IBIT260402C00050000,2026-02-20 20:39:25+00:00,50.0,0.18,45.0,0,50.4888,38.39,49.9638,0.0365
IBIT260402C00051000,2026-02-20 16:26:08+00:00,51.0,0.16,10.0,0,50.7817,38.445,51.2248,0.0365
IBIT260402C00052000,2026-02-20 14:48:04+00:00,52.0,0.13,10.0,0,51.1724,37.95,53.6503,0.0365
IBIT260402C00053000,2026-02-20 16:22:11+00:00,53.0,0.11,5.0,0,52.5395,38.335,53.148,0.0365
IBIT260402C00055000,2026-02-20 17:19:28+00:00,55.0,0.09,21.0,0,55.2739,38.07,56.9993,0.0365
IBIT260402C00058000,2026-02-17 19:27:46+00:00,58.0,0.07,4.0,0,59.3754,38.4997,57.6366,0.0365
IBIT260402C00060000,2026-02-20 18:52:41+00:00,60.0,0.06,7.0,0,61.7191,38.495,62.4047,0.0365
IBIT260402C00065000,2026-02-19 20:59:20+00:00,65.0,0.03,2.0,0,67.9691,38.06,65.9994,0.0365
