contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
GLD270617P00075000,2026-02-04 19:22:07+00:00,75.0,0.46,,0,76.9289,,69.1449,0.0365,
GLD270617P00080000,2026-02-17 16:46:34+00:00,80.0,0.05,1.0,0,74.2678,448.215,52.267,0.0365,32.88
GLD270617P00085000,2026-02-05 17:44:51+00:00,85.0,0.2,,0,71.7044,,58.4941,0.0365,
GLD270617P00095000,2026-02-05 18:16:39+00:00,95.0,0.73,,0,67.1634,,64.384,0.0365,
GLD270617P00100000,2026-02-12 15:18:14+00:00,100.0,0.52,3.0,0,65.0394,,59.9843,0.0365,
GLD270617P00120000,2025-12-26 14:30:01+00:00,120.0,0.71,2.0,0,58.9482,,53.1884,0.0365,
GLD270617P00125000,2026-02-12 18:52:25+00:00,125.0,0.44,,0,56.1772,,50.6647,0.0365,
GLD270617P00130000,2025-12-26 14:30:15+00:00,130.0,0.99,1.0,0,55.4082,,52.7567,0.0365,
GLD270617P00150000,2026-02-20 19:21:21+00:00,150.0,0.26,72.0,0,41.2359,466.15,41.5812,0.0365,34.86
GLD270617P00160000,2026-02-05 17:52:37+00:00,160.0,0.22,,0,52.5517,,38.2641,0.0365,
GLD270617P00165000,2025-09-17 14:54:54+00:00,165.0,0.35,2.0,0,51.2395,,35.1654,0.0365,
GLD270617P00170000,2026-02-12 16:31:36+00:00,170.0,0.99,,0,50.0798,,44.5015,0.0365,
GLD270617P00180000,2026-01-23 17:26:01+00:00,180.0,0.23,2.0,0,47.7422,,34.2143,0.0365,
GLD270617P00190000,2025-09-22 13:30:08+00:00,190.0,1.63,1.0,0,45.1483,,38.8107,0.0365,
GLD270617P00195000,2026-02-18 20:02:07+00:00,195.0,0.54,2.0,0,44.5623,457.77,35.3223,0.0365,33.84
GLD270617P00200000,2026-02-18 17:41:10+00:00,200.0,0.4,2.0,0,38.1354,459.17,33.1445,0.0365,33.69
GLD270617P00205000,2026-02-09 20:13:47+00:00,205.0,0.92,2.0,0,42.5848,,36.6703,0.0365,
GLD270617P00210000,2026-02-17 18:18:10+00:00,210.0,0.5,11.0,0,36.463,448.16,31.5784,0.0365,32.79
GLD270617P00215000,2026-02-20 19:21:21+00:00,215.0,0.79,1.0,0,40.7355,466.15,34.216,0.0365,34.86
GLD270617P00220000,2026-02-20 15:23:57+00:00,220.0,0.81,32.0,0,39.8932,461.7599,33.1425,0.0365,35.16
GLD270617P00225000,2026-02-11 14:58:01+00:00,225.0,1.22,2.0,0,39.0326,,34.6576,0.0365,
GLD270617P00235000,2025-10-08 17:56:47+00:00,235.0,1.05,12.0,0,37.6166,,29.096,0.0365,
GLD270617P00240000,2026-02-03 20:33:27+00:00,240.0,1.54,1.0,0,34.5404,,33.134,0.0365,
GLD270617P00245000,2026-02-02 17:47:48+00:00,245.0,2.18,2.0,0,35.9839,,34.3639,0.0365,
GLD270617P00250000,2026-02-20 18:30:02+00:00,250.0,1.29,111.0,0,33.9911,465.375,30.7224,0.0365,34.6
GLD270617P00255000,2026-02-20 17:53:15+00:00,255.0,1.4,2.0,0,34.6015,466.4,30.4139,0.0365,34.58
GLD270617P00260000,2026-02-09 18:24:32+00:00,260.0,1.89,2.0,0,33.9606,,31.1259,0.0365,
GLD270617P00265000,2026-02-20 17:53:54+00:00,265.0,1.72,158.0,0,32.9352,466.3856,29.8998,0.0365,34.57
GLD270617P00270000,2026-02-20 18:29:21+00:00,270.0,1.88,108.0,0,32.7704,464.93,29.4682,0.0365,34.5
GLD270617P00275000,2026-02-20 17:34:56+00:00,275.0,2.09,2.0,0,31.9465,465.55,29.3097,0.0365,34.48
GLD270617P00280000,2026-02-20 17:40:41+00:00,280.0,2.63,80.0,0,31.5589,465.78,29.8799,0.0365,34.64
GLD270617P00285000,2026-02-12 18:52:25+00:00,285.0,3.19,2.0,0,30.0758,,30.3238,0.0365,
GLD270617P00290000,2026-01-30 18:08:29+00:00,290.0,4.0,1.0,0,30.7136,,30.7084,0.0365,
GLD270617P00295000,2026-02-06 16:55:30+00:00,295.0,4.09,2.0,0,30.265,,30.2136,0.0365,
GLD270617P00300000,2026-02-20 15:34:28+00:00,300.0,3.94,2.0,0,29.1664,461.9951,28.8755,0.0365,35.1
GLD270617P00305000,2026-02-18 20:02:07+00:00,305.0,4.18,2.0,0,29.5112,457.77,28.0132,0.0365,33.84
GLD270617P00310000,2026-02-19 15:30:03+00:00,310.0,4.55,2.0,0,29.1328,461.2013,28.123,0.0365,34.51
GLD270617P00315000,2026-02-06 17:36:18+00:00,315.0,5.5,8.0,0,28.7895,,29.0833,0.0365,
GLD270617P00320000,2026-02-17 17:03:02+00:00,320.0,5.25,2.0,0,28.4217,447.45,26.0654,0.0365,33.08
GLD270617P00325000,2026-02-19 14:39:33+00:00,325.0,5.94,2.0,0,28.083,458.015,27.2635,0.0365,34.6
GLD270617P00330000,2026-02-20 20:21:36+00:00,330.0,6.0,100.0,0,27.8205,467.45,27.4918,0.0365,34.95
GLD270617P00335000,2026-02-20 18:40:26+00:00,335.0,7.11,2.0,0,27.5276,465.94,27.8448,0.0365,34.49
GLD270617P00340000,2026-02-18 19:30:18+00:00,340.0,7.52,406.0,0,27.2041,457.32,26.5022,0.0365,34.34
GLD270617P00345000,2026-02-20 16:43:22+00:00,345.0,8.03,2.0,0,26.9432,465.46,27.1187,0.0365,34.44
GLD270617P00350000,2026-02-12 16:30:19+00:00,350.0,7.1,2.0,0,26.6929,,25.4647,0.0365,
GLD270617P00355000,2026-02-17 17:02:45+00:00,355.0,10.42,4.0,0,26.493,447.45,25.5743,0.0365,33.08
GLD270617P00360000,2026-02-06 16:47:32+00:00,360.0,12.4,6.0,0,26.3344,,28.6491,0.0365,
GLD270617P00365000,2026-02-19 20:02:36+00:00,365.0,11.04,40.0,0,26.0978,458.45,25.7075,0.0365,33.42
GLD270617P00370000,2026-02-19 20:02:36+00:00,370.0,11.8,20.0,0,25.901,458.45,25.4624,0.0365,33.42
GLD270617P00375000,2026-02-20 18:18:27+00:00,375.0,13.33,5.0,0,25.634,465.58,26.6867,0.0365,34.61
GLD270617P00380000,2026-02-19 15:30:03+00:00,380.0,14.69,2.0,0,25.5379,461.2013,26.2555,0.0365,34.51
GLD270617P00385000,2026-02-19 16:22:53+00:00,385.0,16.38,2.0,0,25.3334,459.85,26.385,0.0365,34.52
GLD270617P00390000,2026-02-18 19:24:19+00:00,390.0,17.41,308.0,0,25.19,458.88,26.0174,0.0365,34.26
GLD270617P00395000,2026-02-18 19:30:18+00:00,395.0,19.0,406.0,0,25.0069,457.32,25.9179,0.0365,34.34
GLD270617P00400000,2026-02-20 18:28:03+00:00,400.0,20.0,2.0,0,24.8176,465.19,26.7337,0.0365,34.57
GLD270617P00405000,2026-02-13 18:02:20+00:00,405.0,20.0,14.0,0,24.7375,,26.1144,0.0365,
