contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
IWM280121P00120000,2026-02-20 20:42:46+00:00,120.0,2.02,324.0,0,36.2433,264.495,38.5574,0.0365
IWM280121P00125000,2026-02-18 19:23:48+00:00,125.0,2.22,6.0,0,35.9687,264.33,37.6117,0.0365
IWM280121P00130000,2026-02-20 15:12:15+00:00,130.0,2.82,1000.0,0,35.1142,265.08,38.1479,0.0365
IWM280121P00135000,2026-02-13 20:47:27+00:00,135.0,2.9,2.0,0,34.3085,,36.579,0.0365
IWM280121P00140000,2025-12-29 15:24:00+00:00,140.0,3.42,2.0,0,33.5212,,35.5243,0.0365
IWM280121P00145000,2026-02-10 20:56:32+00:00,145.0,3.15,1.0,0,37.3694,,34.1636,0.0365
IWM280121P00150000,2026-01-28 17:58:18+00:00,150.0,3.89,5.0,0,35.8039,,34.249,0.0365
IWM280121P00155000,2025-12-22 18:04:09+00:00,155.0,4.36,2.0,0,34.9036,,33.139,0.0365
IWM280121P00160000,2026-01-26 15:29:22+00:00,160.0,4.36,2.0,0,34.0949,,32.3196,0.0365
IWM280121P00165000,2026-02-17 16:17:23+00:00,165.0,5.06,9.0,0,33.2557,262.68,32.3683,0.0365
IWM280121P00170000,2026-02-19 20:04:04+00:00,170.0,5.8,5.0,0,29.8927,263.58,32.4121,0.0365
IWM280121P00175000,2026-02-19 16:36:54+00:00,175.0,6.19,35.0,0,31.3041,264.05,31.6816,0.0365
IWM280121P00180000,2026-01-26 18:36:03+00:00,180.0,6.24,16.0,0,28.5987,,30.0336,0.0365
IWM280121P00185000,2026-01-23 19:11:04+00:00,185.0,6.7,1.0,0,27.9304,,29.3008,0.0365
IWM280121P00190000,2026-02-19 16:36:54+00:00,190.0,8.19,35.0,0,27.3628,264.05,30.3111,0.0365
IWM280121P00194000,2025-12-22 18:13:23+00:00,194.0,9.22,12.0,0,27.0759,,29.6987,0.0365
IWM280121P00195000,2026-01-30 14:34:04+00:00,195.0,8.85,1.0,0,28.4645,,29.5243,0.0365
IWM280121P00196000,2026-01-30 18:11:47+00:00,196.0,9.95,4.0,0,28.5682,,30.5968,0.0365
IWM280121P00197000,2026-01-12 20:15:05+00:00,197.0,8.9,4.0,0,26.8531,,28.7694,0.0365
IWM280121P00198000,2025-11-18 18:15:32+00:00,198.0,13.95,12.0,0,26.902,,33.3888,0.0365
IWM280121P00199000,2026-01-20 20:55:14+00:00,199.0,9.5,1.0,0,28.1684,,29.052,0.0365
IWM280121P00200000,2026-02-20 15:12:15+00:00,200.0,10.12,1000.0,0,27.8587,265.08,30.0467,0.0365
IWM280121P00205000,2026-02-05 15:28:04+00:00,205.0,11.43,1.0,0,25.6614,,29.7836,0.0365
IWM280121P00210000,2026-02-18 18:09:02+00:00,210.0,11.5,5.0,0,25.1091,265.655,28.79,0.0365
IWM280121P00215000,2026-02-17 19:31:48+00:00,215.0,13.9,6.0,0,26.0902,263.99,29.4972,0.0365
IWM280121P00220000,2026-02-18 18:40:21+00:00,220.0,13.45,5000.0,0,24.0791,265.12,27.7988,0.0365
IWM280121P00225000,2026-02-11 17:21:57+00:00,225.0,15.2,10.0,0,25.074,,27.8103,0.0365
IWM280121P00230000,2026-02-20 19:32:49+00:00,230.0,16.73,7.0,0,23.13,264.45,27.7942,0.0365
IWM280121P00235000,2026-02-17 15:03:16+00:00,235.0,19.04,1.0,0,23.8396,260.94,27.4828,0.0365
IWM280121P00240000,2026-02-13 18:50:23+00:00,240.0,18.82,4.0,0,23.3254,,26.5059,0.0365
IWM280121P00245000,2026-02-19 19:01:47+00:00,245.0,21.7,1.0,0,21.7354,263.02,27.0173,0.0365
IWM280121P00250000,2026-02-17 15:32:13+00:00,250.0,24.5,35.0,0,22.4632,259.63,26.772,0.0365
IWM280121P00255000,2026-02-19 17:18:58+00:00,255.0,24.99,5.0,0,22.1024,263.4699,26.4639,0.0365
IWM280121P00260000,2026-02-19 20:52:25+00:00,260.0,26.69,1.0,0,21.6652,264.42,26.3322,0.0365
IWM280121P00265000,2026-02-17 20:22:46+00:00,265.0,29.0,10.0,1,21.151,263.08,25.9858,0.0365
IWM280121P00270000,2026-02-18 15:50:25+00:00,270.0,29.54,200.0,1,20.559,266.23,25.5126,0.0365
IWM280121P00275000,2026-02-18 15:29:46+00:00,275.0,32.5,1.0,1,20.2294,266.63,26.0088,0.0365
IWM280121P00280000,2026-02-20 16:51:30+00:00,280.0,35.68,20.0,1,19.8143,264.77,25.9623,0.0365
IWM280121P00285000,2026-02-17 19:32:29+00:00,285.0,38.72,2.0,1,19.3093,263.99,25.9839,0.0365
IWM280121P00290000,2026-01-16 14:41:21+00:00,290.0,39.5,2.0,1,19.0606,,24.6245,0.0365
IWM280121P00295000,2025-12-15 20:38:55+00:00,295.0,50.88,,1,19.3551,,30.1143,0.0365
IWM280121P00300000,2026-02-12 20:48:40+00:00,300.0,50.05,1.0,1,18.2877,,28.1035,0.0365
IWM280121P00305000,2025-11-18 16:30:43+00:00,305.0,72.76,1.0,1,21.2776,,40.3275,0.0365
IWM280121P00310000,2026-02-09 19:19:40+00:00,310.0,51.25,1.0,1,17.4798,,24.7976,0.0365
IWM280121P00315000,2026-02-06 14:48:54+00:00,315.0,58.81,2.0,1,17.109,,27.7985,0.0365
IWM280121P00320000,2026-01-30 17:21:43+00:00,320.0,64.66,1.0,1,16.6192,,29.5658,0.0365
IWM280121P00325000,2026-02-06 14:32:02+00:00,325.0,67.57,1.0,1,16.459,,29.3871,0.0365
IWM280121P00330000,2026-02-13 18:50:23+00:00,330.0,67.92,4.0,1,16.1965,,27.3832,0.0365
IWM280121P00335000,2026-02-19 19:01:47+00:00,335.0,74.01,1.0,1,15.8181,263.02,28.6429,0.0365
IWM280121P00340000,2026-02-13 14:49:40+00:00,340.0,80.5,3.0,1,15.8852,,31.4058,0.0365
IWM280121P00345000,2026-02-19 19:52:21+00:00,345.0,82.88,3.0,1,15.7357,263.08,30.0297,0.0365
IWM280121P00350000,2026-01-20 17:33:33+00:00,350.0,85.9,,1,15.812,,30.2168,0.0365
IWM280121P00355000,2025-11-20 20:42:48+00:00,355.0,123.0,,1,27.5611,,51.8067,0.0365
IWM280121P00380000,2025-12-30 16:48:56+00:00,380.0,128.5,,1,23.8411,,44.4565,0.0365
