contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
AAPL260302P00190000,2026-02-17 14:42:55+00:00,190.0,0.05,,0,130.7132,,71.8688,0.0364,
AAPL260302P00195000,2026-02-19 15:15:06+00:00,195.0,0.03,,0,125.7816,263.22,66.9514,0.0364,29.69
AAPL260302P00200000,2026-02-20 14:30:00+00:00,200.0,0.03,1.0,0,116.9438,258.75,61.3238,0.0364,30.61
AAPL260302P00215000,2026-02-19 20:52:50+00:00,215.0,0.04,,0,54.688,261.08,47.2862,0.0364,30.38
AAPL260302P00220000,2026-02-20 17:09:17+00:00,220.0,0.05,1.0,0,51.1724,263.3,47.2687,0.0364,28.9
AAPL260302P00225000,2026-02-23 18:20:20+00:00,225.0,0.03,11.0,0,49.8052,269.09,53.9377,0.0364,28.61
AAPL260302P00230000,2026-02-23 20:08:15+00:00,230.0,0.08,56.0,0,46.2896,266.4,51.5235,0.0364,29.33
AAPL260302P00232500,2026-02-23 17:49:06+00:00,232.5,0.07,1.0,0,44.5318,267.651,48.3489,0.0364,28.96
AAPL260302P00235000,2026-02-23 20:05:31+00:00,235.0,0.12,9.0,0,41.9928,266.57,47.884,0.0364,29.34
AAPL260302P00237500,2026-02-23 18:25:09+00:00,237.5,0.11,68.0,0,40.6256,268.98,46.4241,0.0364,28.57
AAPL260302P00240000,2026-02-23 20:57:11+00:00,240.0,0.18,57.0,0,40.235,266.05,43.3337,0.0364,29.42
AAPL260302P00242500,2026-02-23 19:48:20+00:00,242.5,0.22,104.0,0,36.9147,266.88,42.1264,0.0364,29.17
AAPL260302P00245000,2026-02-23 19:34:34+00:00,245.0,0.26,27.0,0,35.3034,266.8896,39.6687,0.0364,28.99
AAPL260302P00247500,2026-02-23 20:19:06+00:00,247.5,0.38,235.0,0,33.4479,266.9,39.0195,0.0364,29.31
AAPL260302P00250000,2026-02-23 20:42:17+00:00,250.0,0.46,232.0,0,31.6901,266.59,36.1564,0.0364,29.23
AAPL260302P00252500,2026-02-23 20:58:06+00:00,252.5,0.64,157.0,0,30.2253,266.21,34.2802,0.0364,29.41
AAPL260302P00255000,2026-02-23 20:54:36+00:00,255.0,0.91,470.0,0,28.6384,266.22,33.2384,0.0364,29.45
AAPL260302P00257500,2026-02-23 20:59:11+00:00,257.5,1.24,236.0,0,27.3201,266.39,32.1118,0.0364,29.38
AAPL260302P00260000,2026-02-23 20:59:24+00:00,260.0,1.7,957.0,0,26.5388,266.39,30.7746,0.0364,29.38
AAPL260302P00262500,2026-02-23 20:58:46+00:00,262.5,2.32,1423.0,0,24.8299,266.39,29.462,0.0364,29.38
AAPL260302P00265000,2026-02-23 20:59:40+00:00,265.0,3.13,757.0,0,23.9754,266.39,28.0946,0.0364,29.38
AAPL260302P00267500,2026-02-23 20:57:26+00:00,267.5,4.4,550.0,1,22.8523,266.05,26.998,0.0364,29.42
AAPL260302P00270000,2026-02-23 20:36:43+00:00,270.0,5.51,206.0,1,21.8514,266.5999,26.4283,0.0364,29.33
AAPL260302P00272500,2026-02-23 19:31:23+00:00,272.5,6.75,12.0,1,20.9236,267.11,25.2983,0.0364,28.81
AAPL260302P00275000,2026-02-23 20:00:07+00:00,275.0,9.2,99.0,1,23.4749,266.66,27.0312,0.0364,29.26
AAPL260302P00277500,2026-02-23 19:03:09+00:00,277.5,10.2,71.0,1,28.5163,267.75,24.8158,0.0364,28.61
AAPL260302P00280000,2026-02-20 17:08:04+00:00,280.0,16.75,1.0,1,25.5134,263.4999,28.0225,0.0364,28.89
