contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
DIA260227C00365000,2026-02-20 15:01:14+00:00,365.0,130.5,1.0,1,120.8988,496.54,,0.0364,14.59
DIA260227C00375000,2026-02-23 15:19:06+00:00,375.0,114.9,2.0,1,112.0122,489.59,121.1631,0.0364,19.18
DIA260227C00380000,2026-02-17 20:32:24+00:00,380.0,115.8,,1,107.1294,,149.0663,0.0364,
DIA260227C00400000,2026-02-20 18:43:22+00:00,400.0,95.0,2.0,1,88.7696,494.9,,0.0364,17.33
DIA260227C00410000,2026-02-23 14:30:08+00:00,410.0,84.9,5.0,1,79.3459,495.81,,0.0364,17.58
DIA260227C00420000,2026-02-17 20:59:54+00:00,420.0,75.95,,1,71.2405,,105.8403,0.0364,
DIA260227C00425000,2026-01-12 19:46:36+00:00,425.0,72.63,,1,155.1638,,46.218,0.0364,
DIA260227C00430000,2026-02-11 20:49:52+00:00,430.0,72.09,13.0,1,61.8656,,94.9412,0.0364,
DIA260227C00435000,2026-02-12 17:29:44+00:00,435.0,61.06,,1,57.6909,,71.2497,0.0364,
DIA260227C00440000,2026-02-17 16:57:25+00:00,440.0,56.25,,1,53.4184,,84.4929,0.0364,
DIA260227C00450000,2026-02-11 14:52:11+00:00,450.0,54.35,1.0,1,47.5103,,81.5997,0.0364,
DIA260227C00455000,2026-02-20 20:47:01+00:00,455.0,41.29,12.0,1,43.0426,495.77,35.1643,0.0364,17.24
DIA260227C00462000,2026-02-19 14:45:23+00:00,462.0,33.3,,1,36.817,494.74,26.1974,0.0364,19.02
DIA260227C00464000,2026-02-09 18:21:14+00:00,464.0,37.6,,1,35.1447,,56.0962,0.0364,
DIA260227C00465000,2026-02-23 18:17:40+00:00,465.0,24.97,2.0,1,34.5221,489.22,38.1749,0.0364,18.65
DIA260227C00466000,2026-02-23 15:58:17+00:00,466.0,24.25,1.0,1,33.863,489.38,38.2268,0.0364,19.48
DIA260227C00467000,2026-02-06 14:31:09+00:00,467.0,28.5,1.0,1,32.7399,,33.445,0.0364,
DIA260227C00468000,2026-02-13 20:28:05+00:00,468.0,27.62,,1,32.0319,,41.833,0.0364,
DIA260227C00469000,2026-02-06 14:33:09+00:00,469.0,27.5,7.0,1,31.2995,,34.4409,0.0364,
DIA260227C00470000,2026-02-23 20:47:50+00:00,470.0,18.5,11.0,1,30.5305,488.12,25.0518,0.0364,19.39
DIA260227C00471000,2026-02-05 14:30:05+00:00,471.0,24.6,1.0,1,29.737,,29.7455,0.0364,
DIA260227C00472000,2026-02-02 15:21:47+00:00,472.0,23.0,1.0,1,28.907,,25.5263,0.0364,
DIA260227C00473000,2026-02-04 14:31:57+00:00,473.0,24.75,1.0,1,28.0525,,32.4867,0.0364,
DIA260227C00475000,2026-02-23 16:54:14+00:00,475.0,15.29,6.0,1,26.8806,488.81,31.9229,0.0364,19.03
DIA260227C00477000,2026-02-23 20:34:50+00:00,477.0,12.8,4.0,1,25.489,487.96,31.1903,0.0364,19.28
DIA260227C00480000,2026-02-23 20:50:08+00:00,480.0,10.01,117.0,1,23.7679,487.61,29.3234,0.0364,19.49
DIA260227C00481000,2026-02-23 18:21:57+00:00,481.0,10.15,41.0,1,23.2918,489.44,25.4681,0.0364,18.81
DIA260227C00482000,2026-02-23 17:30:10+00:00,482.0,8.67,3.0,1,22.7242,488.05,27.0893,0.0364,19.28
DIA260227C00482500,2026-02-23 17:30:10+00:00,482.5,8.27,1.0,1,22.4007,488.05,26.7226,0.0364,19.28
DIA260227C00483000,2026-02-23 20:36:16+00:00,483.0,7.65,4.0,1,22.2969,488.14,25.157,0.0364,19.28
DIA260227C00484000,2026-02-23 19:01:50+00:00,484.0,7.44,8.0,1,21.5279,488.48,26.2302,0.0364,19.09
