contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
SLV260515P00020000,2026-02-20 20:45:06+00:00,20.0,0.03,48.0,0,110.9379,76.177,108.9944,0.0364,88.78
SLV260515P00021000,2026-02-12 16:44:52+00:00,21.0,0.02,1.0,0,112.5004,,99.6572,0.0364,
SLV260515P00022000,2026-02-09 20:23:44+00:00,22.0,0.06,2.0,0,110.1567,,107.2136,0.0364,
SLV260515P00023000,2026-02-04 14:30:20+00:00,23.0,0.04,50.0,0,106.6411,,96.2482,0.0364,
SLV260515P00024000,2026-02-20 19:28:06+00:00,24.0,0.05,15.0,0,107.813,75.11,99.4136,0.0364,84.99
SLV260515P00025000,2026-02-23 20:05:23+00:00,25.0,0.07,4.0,0,107.813,79.61,106.2988,0.0364,99.02
SLV260515P00026000,2026-02-19 19:28:03+00:00,26.0,0.05,21.0,0,104.4927,70.684,87.9525,0.0364,74.59
SLV260515P00027000,2026-02-13 18:22:36+00:00,27.0,0.05,100.0,0,99.6094,,90.9688,0.0364,
SLV260515P00028000,2026-02-20 19:35:24+00:00,28.0,0.09,1.0,0,102.1489,75.135,93.5522,0.0364,85.14
SLV260515P00029000,2026-02-20 20:29:01+00:00,29.0,0.12,1.0,0,98.4375,76.285,95.3868,0.0364,90.77
SLV260515P00030000,2026-02-20 20:25:57+00:00,30.0,0.13,5.0,0,96.4844,76.05,93.1345,0.0364,89.82
SLV260515P00031000,2026-02-18 14:56:32+00:00,31.0,0.09,7.0,0,96.4844,70.21,78.3764,0.0364,73.26
SLV260515P00032000,2026-02-18 18:36:08+00:00,32.0,0.1,27.0,0,95.3125,70.11,76.6973,0.0364,74.39
SLV260515P00033000,2026-02-20 20:34:25+00:00,33.0,0.2,5.0,0,94.8243,76.59,90.7892,0.0364,92.34
SLV260515P00034000,2026-02-20 20:28:59+00:00,34.0,0.22,1.0,0,92.9688,76.285,88.9326,0.0364,90.77
SLV260515P00035000,2026-02-23 20:26:23+00:00,35.0,0.23,6.0,0,91.797,79.925,92.2917,0.0364,98.22
SLV260515P00036000,2026-02-18 17:15:26+00:00,36.0,0.19,21.0,0,90.8204,70.522,73.7341,0.0364,75.85
SLV260515P00037000,2026-02-20 20:41:08+00:00,37.0,0.31,5.0,0,89.6485,76.14,85.4154,0.0364,90.7
SLV260515P00038000,2026-02-23 19:26:31+00:00,38.0,0.4,302.0,0,88.8673,79.425,92.1881,0.0364,102.33
SLV260515P00039000,2026-02-19 16:59:06+00:00,39.0,0.29,1.0,0,87.8907,70.25,71.2388,0.0364,75.01
SLV260515P00040000,2026-02-23 20:49:43+00:00,40.0,0.43,231.0,0,87.3048,80.485,89.0679,0.0364,98.57
SLV260515P00040500,2026-02-20 20:40:35+00:00,40.5,0.46,1.0,0,86.7189,76.14,82.1012,0.0364,90.7
SLV260515P00041000,2026-02-20 20:24:00+00:00,41.0,0.45,20.0,0,86.4259,76.08,80.293,0.0364,89.5
SLV260515P00041500,2026-02-23 18:10:31+00:00,41.5,0.49,25.0,0,86.133,78.89,85.276,0.0364,96.6
SLV260515P00042000,2026-02-23 18:13:42+00:00,42.0,0.52,1.0,0,85.84,78.89,84.9625,0.0364,97.11
SLV260515P00042500,2026-02-23 17:58:32+00:00,42.5,0.55,5.0,0,85.4494,78.745,84.4192,0.0364,96.0
SLV260515P00043000,2026-02-13 14:54:59+00:00,43.0,0.46,1.0,0,85.0587,,77.5635,0.0364,
SLV260515P00043500,2026-02-10 18:07:29+00:00,43.5,0.56,2.0,0,84.7658,,78.337,0.0364,
SLV260515P00044000,2026-02-20 17:46:35+00:00,44.0,0.6,2.0,0,84.424,74.93,75.5558,0.0364,84.04
SLV260515P00044500,2026-02-20 17:09:08+00:00,44.5,0.55,47.0,0,84.1798,74.905,72.7413,0.0364,82.08
SLV260515P00045000,2026-02-23 21:05:37+00:00,45.0,0.74,440.0,0,84.3263,80.555,85.5832,0.0364,99.55
SLV260515P00045500,2026-02-20 14:37:04+00:00,45.5,0.57,3.0,0,83.7404,73.2896,68.4953,0.0364,76.69
SLV260515P00046000,2026-02-23 14:34:02+00:00,46.0,0.6,1.0,0,83.7404,79.06,77.0179,0.0364,90.12
SLV260515P00046500,2026-02-23 20:03:52+00:00,46.5,0.91,7.0,0,83.3009,79.6,84.4661,0.0364,99.16
SLV260515P00047000,2026-02-23 20:33:18+00:00,47.0,0.92,14.0,0,83.2033,80.235,84.1885,0.0364,98.27
SLV260515P00047500,2026-02-20 20:17:43+00:00,47.5,0.92,1.0,0,82.9592,75.82,75.3354,0.0364,87.43
SLV260515P00048000,2026-02-23 16:19:55+00:00,48.0,0.99,7.0,0,82.8615,79.165,81.4915,0.0364,95.86
SLV260515P00048500,2026-02-13 16:17:47+00:00,48.5,0.78,2.0,0,82.7394,,73.0182,0.0364,
SLV260515P00049000,2026-02-23 20:49:38+00:00,49.0,1.14,3.0,0,82.5685,80.485,83.7807,0.0364,98.57
SLV260515P00049500,2026-02-23 20:03:52+00:00,49.5,1.26,15.0,0,82.5197,79.6,83.4622,0.0364,99.16
SLV260515P00050000,2026-02-23 21:08:57+00:00,50.0,1.3,558.0,0,82.5197,80.555,84.2012,0.0364,99.55
SLV260515P00050500,2026-02-23 19:52:51+00:00,50.5,1.45,22.0,0,82.3,79.38,83.7561,0.0364,99.66
SLV260515P00051000,2026-02-20 15:19:57+00:00,51.0,1.28,13.0,0,82.1291,73.36,68.7892,0.0364,80.32
SLV260515P00051500,2026-02-23 14:59:50+00:00,51.5,1.4,1.0,0,82.0803,79.04,79.5285,0.0364,93.54
SLV260515P00052000,2026-02-23 17:12:52+00:00,52.0,1.67,5.0,0,82.1291,78.5402,81.8078,0.0364,96.61
SLV260515P00052500,2026-02-20 20:58:04+00:00,52.5,1.7,1.0,0,81.9826,76.565,76.4273,0.0364,86.22
SLV260515P00053000,2026-02-23 20:37:34+00:00,53.0,1.76,7.0,0,81.9338,80.425,83.3264,0.0364,98.41
