contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
AAPL260417C00120000,2026-02-03 18:57:19+00:00,120.0,151.0,1.0,1,107.8618,,,0.0364,
AAPL260417C00125000,2026-01-21 15:24:10+00:00,125.0,123.33,1.0,1,105.4204,,,0.0364,
AAPL260417C00130000,2026-02-04 14:47:46+00:00,130.0,147.95,3.0,1,106.2993,,130.6845,0.0364,
AAPL260417C00135000,2026-02-20 16:41:26+00:00,135.0,129.1,1.0,1,96.5332,263.06,79.2812,0.0364,28.14
AAPL260417C00140000,2026-02-05 17:33:08+00:00,140.0,135.31,37.0,1,92.0411,,99.0404,0.0364,
AAPL260417C00145000,2026-02-24 18:08:53+00:00,145.0,128.26,1.0,1,88.6964,272.49,60.0525,0.0364,28.26
AAPL260417C00150000,2026-02-05 18:32:51+00:00,150.0,125.55,37.0,1,87.0607,,91.8369,0.0364,
AAPL260417C00155000,2026-02-24 18:11:42+00:00,155.0,118.24,1.0,1,82.0558,272.2501,66.6601,0.0364,28.24
AAPL260417C00160000,2026-02-24 17:53:24+00:00,160.0,113.42,46.0,1,83.3254,272.53,56.2106,0.0364,28.26
AAPL260417C00165000,2026-02-18 18:56:20+00:00,165.0,101.42,10.0,1,76.2454,,,0.0364,
AAPL260417C00170000,2026-02-04 15:47:46+00:00,170.0,107.7,5.0,1,73.926,,87.9573,0.0364,
AAPL260417C00175000,2026-02-24 17:44:38+00:00,175.0,98.48,20.0,1,69.7513,272.04,62.4034,0.0364,28.42
AAPL260417C00180000,2026-02-24 16:22:48+00:00,180.0,95.4,35.0,1,69.2386,273.97,59.0382,0.0364,28.23
AAPL260417C00185000,2026-02-24 16:18:24+00:00,185.0,90.8,87.0,1,64.661,274.4,54.836,0.0364,28.24
AAPL260417C00190000,2026-02-24 20:43:46+00:00,190.0,83.44,1.0,1,61.6703,272.125,48.6447,0.0364,28.84
AAPL260417C00195000,2026-02-23 20:47:34+00:00,195.0,73.15,1.0,1,58.2157,266.85,41.7822,0.0364,29.17
AAPL260417C00200000,2026-02-24 16:37:19+00:00,200.0,74.23,18.0,1,57.227,273.1,36.3869,0.0364,28.38
AAPL260417C00205000,2026-02-24 20:58:46+00:00,205.0,69.01,5.0,1,53.7358,272.17,46.151,0.0364,28.76
AAPL260417C00210000,2026-02-24 16:12:23+00:00,210.0,67.3,2.0,1,50.4644,274.68,50.8715,0.0364,28.16
AAPL260417C00215000,2026-02-23 18:27:04+00:00,215.0,56.12,3.0,1,54.2485,269.1,38.9472,0.0364,28.53
AAPL260417C00220000,2026-02-24 20:43:28+00:00,220.0,54.23,9.0,1,47.4981,271.9899,39.4178,0.0364,28.84
AAPL260417C00225000,2026-02-24 20:40:25+00:00,225.0,49.19,26.0,1,45.0262,271.665,37.8752,0.0364,28.89
AAPL260417C00230000,2026-02-24 19:39:13+00:00,230.0,44.87,20.0,1,46.729,272.24,35.3239,0.0364,28.89
AAPL260417C00235000,2026-02-24 19:35:01+00:00,235.0,40.37,43.0,1,44.6111,271.96,35.9059,0.0364,28.89
AAPL260417C00240000,2026-02-24 18:14:50+00:00,240.0,36.02,19.0,1,41.8951,272.08,34.6208,0.0364,28.27
AAPL260417C00245000,2026-02-24 20:21:27+00:00,245.0,31.1,80.0,1,39.6429,272.0,31.3798,0.0364,28.85
AAPL260417C00250000,2026-02-24 20:43:46+00:00,250.0,27.1,111.0,1,35.1081,272.125,30.7006,0.0364,28.84
AAPL260417C00255000,2026-02-24 20:53:51+00:00,255.0,23.05,126.0,1,33.6738,272.345,29.0089,0.0364,28.82
AAPL260417C00260000,2026-02-24 20:56:10+00:00,260.0,19.5,1283.0,1,30.796,272.3,28.8283,0.0364,28.75
AAPL260417C00265000,2026-02-24 20:55:52+00:00,265.0,15.95,493.0,1,29.6394,272.3,27.7416,0.0364,28.75
AAPL260417C00270000,2026-02-24 20:58:18+00:00,270.0,12.7,1847.0,1,28.2783,272.24,26.7522,0.0364,28.76
AAPL260417C00275000,2026-02-24 20:59:53+00:00,275.0,9.8,3146.0,0,27.1125,272.17,25.7814,0.0364,28.76
AAPL260417C00280000,2026-02-24 20:58:59+00:00,280.0,7.42,1784.0,0,26.3069,272.17,25.0808,0.0364,28.76
AAPL260417C00285000,2026-02-24 20:58:48+00:00,285.0,5.5,2322.0,0,25.3364,272.17,24.5881,0.0364,28.76
AAPL260417C00290000,2026-02-24 20:59:20+00:00,290.0,3.9,1900.0,0,24.7383,272.17,23.9682,0.0364,28.76
AAPL260417C00295000,2026-02-24 20:58:33+00:00,295.0,2.73,892.0,0,24.7505,272.17,23.6242,0.0364,28.76
AAPL260417C00300000,2026-02-24 20:59:32+00:00,300.0,1.83,3233.0,0,23.8045,272.17,23.2136,0.0364,28.76
AAPL260417C00305000,2026-02-24 20:59:34+00:00,305.0,1.23,1217.0,0,23.5847,272.17,23.0774,0.0364,28.76
AAPL260417C00310000,2026-02-24 20:59:58+00:00,310.0,0.83,427.0,0,23.4016,272.17,23.1132,0.0364,28.76
AAPL260417C00315000,2026-02-24 20:54:25+00:00,315.0,0.55,3078.0,0,23.4749,272.345,23.0633,0.0364,28.82
AAPL260417C00320000,2026-02-24 20:35:36+00:00,320.0,0.37,372.0,0,23.7312,271.93,23.4286,0.0364,28.89
AAPL260417C00325000,2026-02-24 20:07:06+00:00,325.0,0.27,289.0,0,23.8533,272.05,23.8893,0.0364,28.95
AAPL260417C00330000,2026-02-24 20:49:16+00:00,330.0,0.18,221.0,0,24.3172,272.0108,24.0775,0.0364,28.87
AAPL260417C00335000,2026-02-24 17:36:15+00:00,335.0,0.13,151.0,0,25.0496,271.87,24.5504,0.0364,28.44
