contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
DIA270115P00185000,2026-02-06 21:04:06+00:00,185.0,0.45,1.0,0,54.334,,45.205,0.0364,
DIA270115P00190000,2025-10-07 15:21:55+00:00,190.0,0.7,2.0,0,57.0317,,40.6257,0.0364,
DIA270115P00195000,2025-04-29 18:18:52+00:00,195.0,1.6,2.0,0,55.6157,,39.3816,0.0364,
DIA270115P00200000,2026-02-05 15:38:12+00:00,200.0,1.35,3.0,0,54.2302,,49.0893,0.0364,
DIA270115P00210000,2026-01-23 15:34:39+00:00,210.0,1.01,20.0,0,51.5874,,43.8703,0.0364,
DIA270115P00215000,2026-01-08 17:05:01+00:00,215.0,0.77,137.0,0,55.1335,,40.3273,0.0364,
DIA270115P00220000,2025-05-27 17:47:27+00:00,220.0,1.8,138.0,0,56.6533,,36.3822,0.0364,
DIA270115P00225000,2025-04-23 17:41:57+00:00,225.0,2.3,2.0,0,55.2678,,36.2469,0.0364,
DIA270115P00230000,2026-01-29 18:55:27+00:00,230.0,1.01,2.0,0,42.5055,,40.0476,0.0364,
DIA270115P00235000,2026-01-29 18:56:39+00:00,235.0,1.23,2.0,0,52.5914,,40.3032,0.0364,
DIA270115P00240000,2026-01-29 19:08:44+00:00,240.0,1.31,31.0,0,51.2944,,39.7189,0.0364,
DIA270115P00245000,2026-01-08 17:01:28+00:00,245.0,1.12,2.0,0,47.9558,,36.7675,0.0364,
DIA270115P00250000,2026-02-17 20:41:53+00:00,250.0,1.59,2.0,0,48.7798,,40.053,0.0364,
DIA270115P00255000,2025-08-15 13:30:37+00:00,255.0,2.01,1.0,0,47.5622,,33.3618,0.0364,
DIA270115P00260000,2026-02-17 14:59:04+00:00,260.0,1.86,30.0,0,46.3659,,39.1449,0.0364,
DIA270115P00265000,2026-02-17 14:59:04+00:00,265.0,0.01,30.0,0,45.191,,20.8994,0.0364,
DIA270115P00270000,2025-04-21 13:38:05+00:00,270.0,6.06,5.0,0,45.0659,,36.0131,0.0364,
DIA270115P00275000,2025-09-17 13:46:31+00:00,275.0,2.5,7.0,0,42.9052,,32.4052,0.0364,
DIA270115P00280000,2026-01-05 14:51:52+00:00,280.0,1.0,2.0,0,40.5462,,30.0447,0.0364,
DIA270115P00285000,2026-01-08 17:04:29+00:00,285.0,2.18,74.0,0,39.5819,,33.6896,0.0364,
DIA270115P00290000,2026-01-08 18:04:23+00:00,290.0,1.93,112.0,0,38.526,,32.0631,0.0364,
DIA270115P00295000,2026-02-17 14:59:04+00:00,295.0,2.53,20.0,0,38.5596,,34.6264,0.0364,
DIA270115P00300000,2026-02-17 14:59:04+00:00,300.0,2.61,20.0,0,34.2719,,33.925,0.0364,
DIA270115P00305000,2026-01-16 14:39:18+00:00,305.0,2.57,1.0,0,36.4875,,31.5964,0.0364,
DIA270115P00310000,2026-02-09 16:51:03+00:00,310.0,2.16,1.0,0,35.4743,,30.5924,0.0364,
DIA270115P00315000,2026-01-30 20:11:50+00:00,315.0,2.9,2.0,0,35.3247,,31.2197,0.0364,
DIA270115P00320000,2026-01-20 20:39:01+00:00,320.0,3.2,39.0,0,34.3207,,30.6396,0.0364,
DIA270115P00325000,2026-02-23 18:06:31+00:00,325.0,3.41,16.0,0,32.5141,488.93,31.2551,0.0364,18.84
DIA270115P00330000,2026-02-09 14:30:16+00:00,330.0,3.6,1.0,0,29.8377,,30.4742,0.0364,
DIA270115P00335000,2026-02-06 14:54:56+00:00,335.0,3.5,1.0,0,32.0594,,29.2982,0.0364,
DIA270115P00340000,2026-01-20 14:30:04+00:00,340.0,4.0,1.0,0,31.1591,,28.7573,0.0364,
DIA270115P00345000,2026-01-20 14:30:04+00:00,345.0,4.0,1.0,0,30.8234,,27.9158,0.0364,
DIA270115P00350000,2026-01-30 16:29:01+00:00,350.0,4.36,1.0,0,29.3861,,28.0074,0.0364,
DIA270115P00355000,2026-01-05 18:44:49+00:00,355.0,4.02,2.0,0,28.6445,,25.8523,0.0364,
DIA270115P00360000,2026-01-23 18:43:02+00:00,360.0,5.0,1.0,0,28.6537,,27.0572,0.0364,
DIA270115P00365000,2025-11-20 16:31:10+00:00,365.0,8.18,8.0,0,26.7128,,28.2255,0.0364,
DIA270115P00370000,2026-01-20 15:04:26+00:00,370.0,5.06,1.0,0,27.9121,,25.37,0.0364,
DIA270115P00375000,2026-01-27 15:11:03+00:00,375.0,5.45,1.0,0,26.6746,,25.2616,0.0364,
DIA270115P00380000,2026-02-24 15:28:04+00:00,380.0,6.01,2.0,0,26.1055,492.08,26.0333,0.0364,18.33
DIA270115P00385000,2026-01-20 18:02:00+00:00,385.0,6.5,1.0,0,25.6233,,24.6604,0.0364,
DIA270115P00390000,2026-02-24 14:33:24+00:00,390.0,7.02,1.0,0,25.1167,489.48,25.1321,0.0364,19.8
DIA270115P00395000,2026-02-10 15:00:26+00:00,395.0,6.35,5.0,0,24.5872,,23.3657,0.0364,
DIA270115P00400000,2026-02-24 15:18:31+00:00,400.0,7.79,397.0,0,23.2063,491.41,24.4123,0.0364,18.92
DIA270115P00405000,2026-01-02 20:05:55+00:00,405.0,7.95,2.0,0,22.7135,,22.3559,0.0364,
DIA270115P00410000,2026-02-13 19:04:47+00:00,410.0,9.0,1.0,0,23.0476,,23.5322,0.0364,
DIA270115P00415000,2026-01-12 14:52:11+00:00,415.0,8.75,1.0,0,21.7339,,21.6202,0.0364,
DIA270115P00420000,2026-01-28 14:39:34+00:00,420.0,9.77,2.0,0,22.2679,,22.0042,0.0364,
DIA270115P00425000,2025-11-26 20:49:07+00:00,425.0,14.3,1.0,0,20.9557,,23.2289,0.0364,
DIA270115P00430000,2026-02-13 18:59:30+00:00,430.0,11.3,2.0,0,21.1693,,21.8267,0.0364,
DIA270115P00435000,2026-02-12 15:16:44+00:00,435.0,11.12,2.0,0,20.6665,,20.7181,0.0364,
DIA270115P00440000,2026-02-24 15:18:10+00:00,440.0,13.5,2.0,0,20.234,491.125,21.7508,0.0364,19.07
DIA270115P00445000,2026-02-24 15:54:56+00:00,445.0,14.2,8.0,0,19.7625,491.63,21.3415,0.0364,18.48
DIA270115P00450000,2026-02-18 19:06:48+00:00,450.0,15.0,1.0,0,19.1262,,20.7857,0.0364,
DIA270115P00455000,2026-01-12 14:30:18+00:00,455.0,15.71,15.0,0,17.7102,,19.5252,0.0364,
DIA270115P00460000,2026-02-23 15:07:30+00:00,460.0,17.1,1.0,0,18.4243,490.885,20.0699,0.0364,19.01
DIA270115P00465000,2026-01-26 18:43:45+00:00,465.0,16.95,1.0,0,17.8513,,18.5664,0.0364,
DIA270115P00470000,2026-02-24 15:26:40+00:00,470.0,19.77,36.0,0,17.5225,491.93,19.7958,0.0364,18.38
DIA270115P00475000,2026-02-20 15:11:09+00:00,475.0,19.55,1.0,0,17.138,494.94,19.043,0.0364,17.48
DIA270115P00480000,2026-02-23 20:59:34+00:00,480.0,24.62,1.0,0,16.6962,488.0,19.5742,0.0364,19.48
DIA270115P00485000,2026-02-23 20:58:00+00:00,485.0,26.1,30.0,0,16.1958,487.54,19.0969,0.0364,19.53
DIA270115P00490000,2026-02-24 15:48:00+00:00,490.0,25.97,69.0,0,15.9051,491.74,18.7062,0.0364,18.37
DIA270115P00495000,2026-02-23 17:21:35+00:00,495.0,29.0,1.0,1,15.2749,488.52,18.3818,0.0364,19.2
DIA270115P00500000,2026-02-24 18:21:36+00:00,500.0,27.5,1.0,1,14.8431,492.2,17.1198,0.0364,18.04
DIA270115P00505000,2026-02-20 15:14:12+00:00,505.0,30.5,1.0,1,14.3319,493.8,17.7587,0.0364,18.05
DIA270115P00510000,2026-02-18 15:42:46+00:00,510.0,30.75,2.0,1,14.0077,,16.0081,0.0364,
DIA270115P00515000,2026-02-18 15:42:46+00:00,515.0,32.75,3.0,1,13.5949,,15.6489,0.0364,
DIA270115P00520000,2026-02-17 20:56:02+00:00,520.0,37.3,1.0,1,13.0822,,16.5851,0.0364,
DIA270115P00525000,2026-02-17 19:45:35+00:00,525.0,39.48,1.0,1,12.7526,,16.1949,0.0364,
DIA270115P00530000,2026-02-17 19:57:37+00:00,530.0,42.56,,1,12.3109,,16.227,0.0364,
DIA270115P00535000,2026-02-06 19:45:33+00:00,535.0,43.15,1.0,1,12.0721,,14.7826,0.0364,
DIA270115P00540000,2026-02-17 19:57:37+00:00,540.0,48.91,,1,11.7151,,16.2157,0.0364,
DIA270115P00545000,2024-12-19 17:58:40+00:00,545.0,119.53,2.0,1,43.1868,,39.866,0.0364,
DIA270115P00550000,2026-02-23 16:22:33+00:00,550.0,62.2,1.0,1,10.9521,488.6,18.8242,0.0364,19.24
DIA270115P00580000,2025-05-01 15:51:08+00:00,580.0,170.99,,1,53.7534,,53.9747,0.0364,
DIA270115P00590000,2025-05-08 14:47:20+00:00,590.0,177.38,,1,52.2656,,54.1142,0.0364,
DIA270115P00635000,2025-04-04 18:52:50+00:00,635.0,249.02,22.0,1,66.4081,,69.2743,0.0364,
DIA270115P00640000,2026-01-26 21:02:00+00:00,640.0,146.2,33.0,1,18.5311,,29.8598,0.0364,
DIA270115P00645000,2026-01-20 20:55:20+00:00,645.0,160.15,3.0,1,18.937,,35.8083,0.0364,
