contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
XLE260930C00032500,2026-01-20 19:13:18+00:00,32.5,15.7,,1,72.3147,,,0.0364
XLE260930C00035000,2026-02-12 16:12:49+00:00,35.0,20.32,20.0,1,51.4653,,,0.0364
XLE260930C00037000,2026-01-28 17:39:40+00:00,37.0,13.44,2.0,1,52.2466,,,0.0364
XLE260930C00037500,2026-01-30 14:36:52+00:00,37.5,13.45,10.0,1,52.1001,,,0.0364
XLE260930C00038000,2025-12-22 15:13:08+00:00,38.0,7.49,2.0,1,0.001,,,0.0364
XLE260930C00038500,2025-12-22 15:13:30+00:00,38.5,7.15,,1,0.001,,,0.0364
XLE260930C00039000,2025-12-22 15:13:51+00:00,39.0,6.75,2.0,1,0.001,,,0.0364
XLE260930C00040000,2026-02-10 14:52:18+00:00,40.0,14.1,3.0,1,47.3638,,,0.0364
XLE260930C00040500,2025-12-08 05:04:49+00:00,40.5,5.83,,1,0.0,,,0.0364
XLE260930C00041000,2026-01-07 19:12:10+00:00,41.0,6.19,,1,50.5864,,,0.0364
XLE260930C00042000,2026-02-20 20:18:07+00:00,42.0,13.52,1.0,1,36.3288,54.79,,0.0364
XLE260930C00042500,2026-01-30 15:19:04+00:00,42.5,9.2,1.0,1,47.5225,,,0.0364
XLE260930C00043000,2026-02-03 14:41:56+00:00,43.0,9.0,1.0,1,48.7554,,,0.0364
XLE260930C00043500,2026-01-14 16:10:00+00:00,43.5,6.59,,1,42.3468,,,0.0364
XLE260930C00044000,2026-01-14 14:50:19+00:00,44.0,6.21,4.0,1,37.1588,,,0.0364
XLE260930C00044500,2026-01-09 16:08:18+00:00,44.5,5.05,1.0,1,45.1666,,,0.0364
XLE260930C00045000,2026-02-11 14:38:43+00:00,45.0,11.0,1.0,1,40.2472,,,0.0364
XLE260930C00045500,2026-02-11 16:13:10+00:00,45.5,11.7,2.0,1,35.7428,,28.8919,0.0364
XLE260930C00046000,2026-02-11 20:25:08+00:00,46.0,10.28,6.0,1,38.1354,,15.766,0.0364
XLE260930C00046500,2026-02-18 19:29:16+00:00,46.5,9.57,1.0,1,40.2838,,,0.0364
XLE260930C00047000,2026-02-11 16:32:16+00:00,47.0,9.55,5.0,1,38.6115,,18.5037,0.0364
XLE260930C00047500,2026-02-11 19:57:58+00:00,47.5,9.02,14.0,1,31.3361,,17.1537,0.0364
XLE260930C00048000,2026-02-24 17:46:29+00:00,48.0,8.7,3.0,1,34.9372,54.9,21.3763,0.0364
XLE260930C00048500,2026-02-19 16:57:37+00:00,48.5,8.6,4.0,1,32.2272,55.19,21.404,0.0364
XLE260930C00049000,2026-02-24 16:58:31+00:00,49.0,7.5,1.0,1,30.9699,54.745,18.586,0.0364
XLE260930C00049500,2026-02-23 18:44:35+00:00,49.5,7.65,3.0,1,29.3586,55.12,20.5764,0.0364
XLE260930C00050000,2026-02-24 20:34:37+00:00,50.0,7.45,7.0,1,31.153,55.125,22.0241,0.0364
XLE260930C00050500,2026-02-24 14:43:47+00:00,50.5,6.66,2.0,1,29.1755,54.455,22.5167,0.0364
