contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
IWM280121C00120000,2026-01-29 15:36:12+00:00,120.0,146.5,1.0,1,49.2315,,,0.0364
IWM280121C00125000,2026-01-21 15:02:46+00:00,125.0,147.4,30.0,1,48.0932,,26.1467,0.0364
IWM280121C00140000,2025-11-19 17:36:28+00:00,140.0,103.0,,1,28.2539,,,0.0364
IWM280121C00145000,2025-12-22 15:26:34+00:00,145.0,118.91,1.0,1,40.2075,,,0.0364
IWM280121C00150000,2026-01-21 18:17:43+00:00,150.0,123.0,1.0,1,43.1066,,,0.0364
IWM280121C00155000,2026-02-04 18:09:18+00:00,155.0,113.0,1.0,1,41.9256,,,0.0364
IWM280121C00160000,2026-02-03 18:45:28+00:00,160.0,109.39,20.0,1,41.4221,,,0.0364
IWM280121C00165000,2026-02-02 16:24:54+00:00,165.0,109.0,2.0,1,40.2167,,,0.0364
IWM280121C00170000,2026-02-09 14:36:41+00:00,170.0,103.59,10.0,1,39.6307,,,0.0364
IWM280121C00175000,2026-02-19 19:08:28+00:00,175.0,100.59,1.0,1,38.996,263.43,16.861,0.0364
IWM280121C00180000,2026-02-18 16:55:37+00:00,180.0,98.69,3.0,1,37.757,,24.8298,0.0364
IWM280121C00185000,2026-01-26 20:36:15+00:00,185.0,94.2,2.0,1,37.0642,,22.9048,0.0364
IWM280121C00190000,2026-02-09 16:30:18+00:00,190.0,92.36,20.0,1,36.3318,,27.01,0.0364
IWM280121C00194000,2025-12-10 20:50:39+00:00,194.0,79.33,1.0,1,34.4108,,,0.0364
IWM280121C00195000,2026-02-20 18:06:57+00:00,195.0,85.0,1.0,1,36.0633,264.1199,20.545,0.0364
IWM280121C00196000,2025-12-22 18:44:08+00:00,196.0,76.68,,1,33.718,,,0.0364
IWM280121C00197000,2026-02-24 17:58:43+00:00,197.0,82.56,5.0,1,35.8374,263.27,20.6765,0.0364
IWM280121C00198000,2026-01-09 14:41:07+00:00,198.0,80.9,1.0,1,37.406,,16.6031,0.0364
IWM280121C00199000,2026-02-24 20:27:11+00:00,199.0,80.7,2.0,1,35.1233,262.92,20.8062,0.0364
IWM280121C00200000,2026-02-24 18:01:56+00:00,200.0,80.06,2.0,1,35.2454,263.4,20.3194,0.0364
IWM280121C00205000,2026-02-24 19:50:41+00:00,205.0,76.95,1.0,1,34.4001,263.68,21.2576,0.0364
