contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
GLD260227C00250000,2026-02-18 20:25:51+00:00,250.0,207.83,1.0,3,1,450.3911,,,0.0364,
GLD260227C00255000,2026-02-25 17:32:45+00:00,255.0,223.94,6.0,1,1,436.3286,479.15,,0.0364,34.66
GLD260227C00260000,2026-02-25 14:58:37+00:00,260.0,216.84,2.0,2,1,424.2192,477.08,,0.0364,35.46
GLD260227C00265000,2026-02-25 17:50:08+00:00,265.0,213.97,9.0,1,1,413.6724,478.365,471.3094,0.0364,34.64
GLD260227C00290000,2026-02-20 19:37:42+00:00,290.0,176.4,1.0,1,1,356.836,466.08,146.2377,0.0364,34.67
GLD260227C00295000,2026-02-19 18:36:50+00:00,295.0,163.35,,3,1,345.9962,,,0.0364,
GLD260227C00300000,2026-02-20 20:15:29+00:00,300.0,167.09,1.0,0,1,324.9025,466.835,127.4409,0.0364,34.81
GLD260227C00305000,2026-02-24 19:15:07+00:00,305.0,168.93,2.0,12,1,323.5353,473.89,,0.0364,36.2
GLD260227C00310000,2026-02-24 19:15:07+00:00,310.0,163.96,2.0,5,1,315.5276,473.89,153.4903,0.0364,36.2
GLD260227C00315000,2026-02-19 19:52:57+00:00,315.0,143.33,,5,1,302.9299,,,0.0364,
GLD260227C00320000,2026-02-06 20:44:58+00:00,320.0,135.0,5.0,5,1,295.1174,,,0.0364,
GLD260227C00325000,2026-02-25 21:05:40+00:00,325.0,149.11,2.0,1,1,285.0589,473.4558,338.9652,0.0364,34.94
GLD260227C00330000,2026-02-25 21:05:40+00:00,330.0,144.13,4.0,1,1,274.1702,473.4558,328.5477,0.0364,34.94
GLD260227C00335000,2026-02-25 21:05:14+00:00,335.0,139.2,4.0,4,1,260.2543,473.4558,321.9314,0.0364,34.94
GLD260227C00340000,2026-02-25 21:05:02+00:00,340.0,134.25,2.0,5,1,239.5512,473.4558,313.4789,0.0364,34.94
GLD260227C00345000,2026-02-12 18:43:26+00:00,345.0,109.36,1.0,0,1,228.1254,,,0.0364,
GLD260227C00350000,2026-02-20 19:25:38+00:00,350.0,116.45,2.0,5,1,220.4106,466.0,98.8596,0.0364,34.87
GLD260227C00355000,2026-02-02 14:54:26+00:00,355.0,82.0,2.0,2,1,206.8364,,,0.0364,
GLD260227C00360000,2026-02-25 21:14:31+00:00,360.0,114.15,10.0,7,1,195.8985,473.4558,260.8052,0.0364,34.94
GLD260227C00365000,2026-02-25 21:14:31+00:00,365.0,109.17,14.0,3,1,193.0664,473.4558,250.8039,0.0364,34.94
GLD260227C00370000,2026-02-25 19:49:11+00:00,370.0,108.7,4.0,8,1,185.5469,478.41,206.8204,0.0364,34.69
GLD260227C00375000,2026-02-18 19:46:26+00:00,375.0,83.43,1.0,29,1,175.9767,,,0.0364,
GLD260227C00380000,2026-02-24 15:54:25+00:00,380.0,93.4,1.0,32,1,170.4103,472.93,136.1717,0.0364,36.5
GLD260227C00381000,2026-02-09 17:59:51+00:00,381.0,84.34,1.0,1,1,164.9416,,,0.0364,
GLD260227C00382000,2026-01-29 17:15:28+00:00,382.0,108.51,1.0,12,1,163.2814,,104.0333,0.0364,
