contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
TLT260306P00070000,2026-02-06 20:53:31+00:00,70.0,0.01,3.0,0,53.1255,,35.2405,0.0364,
TLT260306P00075000,2026-02-06 19:59:52+00:00,75.0,0.02,31.0,0,42.9693,,28.655,0.0364,
TLT260306P00078000,2026-02-20 17:51:47+00:00,78.0,0.01,1000.0,0,34.3757,89.215,28.7999,0.0364,12.18
TLT260306P00079000,2026-02-20 14:30:10+00:00,79.0,0.01,1.0,0,32.0319,89.6701,27.1914,0.0364,12.28
TLT260306P00080000,2026-02-25 14:41:49+00:00,80.0,0.01,103.0,0,28.907,89.7863,31.5317,0.0364,11.87
TLT260306P00081000,2026-02-25 15:53:52+00:00,81.0,0.01,106.0,0,26.1726,89.7901,28.6203,0.0364,11.81
TLT260306P00081500,2026-02-25 16:29:33+00:00,81.5,0.01,124.0,0,25.0008,89.925,27.5187,0.0364,11.8
TLT260306P00082000,2026-02-25 20:29:32+00:00,82.0,0.01,362.0,0,23.4383,89.85,26.0706,0.0364,11.81
TLT260306P00082500,2026-02-25 14:30:02+00:00,82.5,0.02,99.0,0,21.8758,89.74,26.2209,0.0364,11.87
TLT260306P00083000,2026-02-25 14:30:02+00:00,83.0,0.02,259.0,0,22.657,89.74,24.6065,0.0364,11.87
TLT260306P00083500,2026-02-25 14:30:02+00:00,83.5,0.02,259.0,0,21.2898,89.74,22.9893,0.0364,11.87
TLT260306P00084000,2026-02-25 15:13:56+00:00,84.0,0.02,106.0,0,19.9227,89.81,21.6163,0.0364,11.76
TLT260306P00084500,2026-02-25 16:33:25+00:00,84.5,0.02,260.0,0,18.3602,89.95,20.4788,0.0364,11.81
TLT260306P00085000,2026-02-25 15:53:02+00:00,85.0,0.02,203.0,0,17.9696,89.8,18.3523,0.0364,11.81
TLT260306P00085500,2026-02-25 20:26:22+00:00,85.5,0.02,313.0,0,16.4071,89.84,17.0193,0.0364,11.81
TLT260306P00086000,2026-02-25 20:34:57+00:00,86.0,0.04,67.0,0,15.6258,89.85,17.3901,0.0364,11.82
TLT260306P00086500,2026-02-25 18:52:54+00:00,86.5,0.04,45.0,0,13.9657,89.955,15.8437,0.0364,11.84
TLT260306P00087000,2026-02-25 17:16:19+00:00,87.0,0.05,29.0,0,12.8915,90.0599,14.984,0.0364,11.82
TLT260306P00087500,2026-02-25 20:51:04+00:00,87.5,0.07,64.0,0,12.0126,89.88,13.5184,0.0364,11.79
TLT260306P00088000,2026-02-25 21:00:20+00:00,88.0,0.11,1339.0,0,11.5243,89.9,13.0513,0.0364,11.78
TLT260306P00088500,2026-02-25 21:01:07+00:00,88.5,0.17,357.0,0,11.1825,89.9,12.4551,0.0364,11.78
TLT260306P00089000,2026-02-25 21:01:07+00:00,89.0,0.29,743.0,0,11.1337,89.9,12.5197,0.0364,11.78
TLT260306P00089500,2026-02-25 19:15:11+00:00,89.5,0.45,145.0,0,11.4023,89.91,12.3817,0.0364,11.78
TLT260306P00090000,2026-02-25 20:43:04+00:00,90.0,0.73,274.0,1,12.2079,89.875,13.1413,0.0364,11.79
TLT260306P00090500,2026-02-25 19:14:29+00:00,90.5,1.05,24.0,1,13.6239,89.9341,14.4565,0.0364,11.78
TLT260306P00091000,2026-02-25 19:14:50+00:00,91.0,1.46,7.0,1,15.4794,89.91,15.8772,0.0364,11.78
TLT260306P00091500,2026-02-24 19:48:57+00:00,91.5,2.01,9.0,1,17.7254,89.865,18.4625,0.0364,11.99
TLT260306P00092000,2026-02-23 14:48:38+00:00,92.0,2.71,1.0,1,19.9227,89.63,20.6164,0.0364,11.9
TLT260306P00093000,2026-02-25 17:44:59+00:00,93.0,3.25,4.0,1,25.4402,90.0599,24.8954,0.0364,11.85
TLT260306P00094000,2026-02-18 16:04:57+00:00,94.0,4.54,4.0,1,28.7117,,26.2155,0.0364,
TLT260306P00095000,2026-02-13 14:43:06+00:00,95.0,5.48,3.0,1,32.9108,,25.56,0.0364,
TLT260306P00098000,2026-02-13 19:20:09+00:00,98.0,8.55,,1,44.4341,,35.7757,0.0364,
TLT260306P00100000,2026-02-25 17:46:18+00:00,100.0,10.2,5.0,1,51.4653,90.065,53.194,0.0364,11.84
