contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
GOOG260821P00160000,2026-02-18 19:37:27+00:00,160.0,0.82,0.0,0.0,1.0,46,0,25.001,,50.6315,0.0364,
GOOG260821P00165000,2026-02-20 17:17:51+00:00,165.0,0.85,0.0,0.0,1.0,3,0,12.501,313.66,49.2629,0.0364,36.83
GOOG260821P00170000,2026-02-05 17:17:26+00:00,170.0,1.03,0.0,0.0,,1,0,12.501,,46.9596,0.0364,
GOOG260821P00175000,2026-02-25 15:00:52+00:00,175.0,1.14,0.0,0.0,1.0,3,0,12.501,312.39,48.1412,0.0364,34.15
GOOG260821P00180000,2026-02-19 19:37:00+00:00,180.0,1.5,0.0,0.0,1.0,14,0,12.501,,48.0272,0.0364,
GOOG260821P00185000,2026-02-10 14:39:06+00:00,185.0,1.67,0.0,0.0,1.0,5,0,12.501,,45.9665,0.0364,
GOOG260821P00190000,2026-02-11 20:22:27+00:00,190.0,1.75,0.0,0.0,1.0,7,0,12.501,,44.6055,0.0364,
GOOG260821P00195000,2026-02-20 20:25:08+00:00,195.0,1.99,0.0,0.0,3.0,5,0,12.501,315.23,45.3728,0.0364,36.21
GOOG260821P00200000,2026-02-24 20:31:33+00:00,200.0,2.53,0.0,0.0,1.0,83,0,12.501,311.08,45.4051,0.0364,35.57
GOOG260821P00205000,2026-02-24 16:03:08+00:00,205.0,2.75,0.0,0.0,20.0,21,0,12.501,310.67,44.1586,0.0364,35.1
GOOG260821P00210000,2026-02-24 18:07:48+00:00,210.0,3.1,0.0,0.0,8.0,13,0,12.501,311.08,43.5548,0.0364,34.61
GOOG260821P00215000,2026-02-17 20:56:57+00:00,215.0,3.85,0.0,0.0,1.0,15,0,12.501,,43.7228,0.0364,
GOOG260821P00220000,2026-02-19 14:30:29+00:00,220.0,4.56,0.0,0.0,3.0,28,0,12.501,,43.9653,0.0364,
GOOG260821P00225000,2026-02-25 20:51:17+00:00,225.0,4.38,0.0,0.0,5.0,268,0,12.501,312.88,42.0567,0.0364,33.96
GOOG260821P00230000,2026-02-23 18:07:43+00:00,230.0,5.1,0.0,0.0,1.0,216,0,6.251,314.78,42.1866,0.0364,36.09
GOOG260821P00235000,2026-02-23 18:20:27+00:00,235.0,5.7,0.0,0.0,3.0,66,0,6.251,314.495,41.517,0.0364,35.59
GOOG260821P00240000,2026-02-23 17:00:49+00:00,240.0,6.5,0.0,0.0,1.0,572,0,6.251,314.12,41.1333,0.0364,36.13
GOOG260821P00245000,2026-02-25 18:55:15+00:00,245.0,7.12,0.0,0.0,7.0,316,0,6.251,310.51,39.4934,0.0364,34.13
GOOG260821P00250000,2026-02-25 20:51:17+00:00,250.0,7.86,0.0,0.0,18.0,232,0,6.251,312.88,39.5104,0.0364,33.96
GOOG260821P00255000,2026-02-25 18:20:37+00:00,255.0,8.95,0.0,0.0,21.0,272,0,6.251,310.5,38.5999,0.0364,34.22
GOOG260821P00260000,2026-02-25 20:45:02+00:00,260.0,10.0,0.0,0.0,28.0,1311,0,6.251,312.3689,38.7934,0.0364,33.93
GOOG260821P00265000,2026-02-23 15:08:16+00:00,265.0,10.7,0.0,0.0,2.0,198,0,6.251,315.6399,38.5405,0.0364,36.31
GOOG260821P00270000,2026-02-24 20:31:33+00:00,270.0,13.2,0.0,0.0,3.0,662,0,3.126,311.08,38.7081,0.0364,35.57
GOOG260821P00275000,2026-02-25 20:20:46+00:00,275.0,13.86,0.0,0.0,15.0,511,0,3.126,311.75,37.6096,0.0364,34.04
GOOG260821P00280000,2026-02-25 18:58:09+00:00,280.0,15.37,0.0,0.0,17.0,669,0,3.126,310.573,36.8575,0.0364,34.12
GOOG260821P00285000,2026-02-25 20:36:17+00:00,285.0,16.95,0.0,0.0,125.0,291,0,3.126,311.785,36.9707,0.0364,34.05
GOOG260821P00290000,2026-02-25 19:26:37+00:00,290.0,18.7,0.0,0.0,3.0,475,0,3.126,311.14,36.4278,0.0364,33.94
GOOG260821P00295000,2026-02-25 16:38:08+00:00,295.0,20.8,0.0,0.0,36.0,326,0,1.563,310.865,36.3089,0.0364,33.86
GOOG260821P00300000,2026-02-25 16:55:28+00:00,300.0,22.56,0.0,0.0,6.0,442,0,1.563,310.95,35.7755,0.0364,33.8
GOOG260821P00305000,2026-02-25 19:21:17+00:00,305.0,24.95,0.0,0.0,14.0,578,0,0.782,310.8174,35.7763,0.0364,33.99
