contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
PLTR260306C00065000,2026-02-20 14:35:00+00:00,65.0,67.1,69.65,72.5,1.0,11,1,210.16,,,0.0364
PLTR260306C00070000,2026-02-23 14:33:37+00:00,70.0,59.75,64.65,67.7,1.0,14,1,206.64,129.53,169.1372,0.0364
PLTR260306C00075000,2026-02-20 15:45:26+00:00,75.0,59.1,59.65,62.9,4.0,14,1,198.24,,,0.0364
PLTR260306C00080000,2026-02-26 20:54:31+00:00,80.0,55.7,54.65,56.4,2.0,28,1,189.45,135.77,,0.0364
PLTR260306C00085000,2026-02-24 16:12:41+00:00,85.0,44.11,49.7,52.15,2.0,16,1,209.57,128.8,135.1578,0.0364
PLTR260306C00090000,2026-02-24 16:12:41+00:00,90.0,39.22,44.7,47.15,3.0,20,1,188.53,128.8,127.1299,0.0364
PLTR260306C00095000,2026-02-26 16:40:49+00:00,95.0,40.85,39.7,42.05,57.0,69,1,164.84,135.06,163.4128,0.0364
PLTR260306C00100000,2026-02-26 16:49:20+00:00,100.0,35.08,34.75,37.55,74.0,154,1,103.13,134.8875,102.7182,0.0364
PLTR260306C00101000,2026-02-24 17:17:45+00:00,101.0,28.63,33.75,35.7,142.0,12,1,129.49,129.13,96.5994,0.0364
PLTR260306C00104000,2026-02-23 14:34:46+00:00,104.0,25.9,30.8,32.65,1.0,17,1,117.29,129.53,76.1969,0.0364
PLTR260306C00105000,2026-02-26 20:54:40+00:00,105.0,30.9,29.8,31.3,211.0,110,1,98.34,135.71,90.3416,0.0364
PLTR260306C00108000,2026-02-25 19:29:05+00:00,108.0,27.11,26.85,29.25,122.0,25,1,72.46,134.675,90.3652,0.0364
PLTR260306C00109000,2026-02-25 14:52:00+00:00,109.0,23.41,26.3,28.3,2.0,26,1,86.43,132.3901,,0.0364
PLTR260306C00110000,2026-02-26 20:27:12+00:00,110.0,25.75,25.8,27.2,259.0,83,1,92.04,135.3428,90.7778,0.0364
PLTR260306C00111000,2026-02-25 15:04:43+00:00,111.0,22.7,24.35,26.3,7.0,6,1,81.74,133.0,86.7672,0.0364
PLTR260306C00112000,2026-02-26 14:34:00+00:00,112.0,22.85,22.9,24.55,1.0,6,1,87.6,134.67,65.1321,0.0364
PLTR260306C00113000,2026-02-25 14:45:49+00:00,113.0,17.9,21.95,24.3,2.0,4,1,65.63,130.24,71.184,0.0364
PLTR260306C00115000,2026-02-26 15:25:43+00:00,115.0,19.25,20.8,21.85,40.0,130,1,70.12,133.47,82.642,0.0364
PLTR260306C00116000,2026-02-26 18:28:11+00:00,116.0,18.35,19.05,20.9,12.0,81,1,84.96,133.58,79.7624,0.0364
PLTR260306C00117000,2026-02-25 14:49:10+00:00,117.0,15.75,18.1,19.55,2.0,38,1,71.92,131.66,73.0771,0.0364
PLTR260306C00118000,2026-02-26 20:56:47+00:00,118.0,18.01,17.4,18.6,158.0,5,1,70.26,135.775,56.7513,0.0364
PLTR260306C00119000,2026-02-26 20:56:47+00:00,119.0,17.02,16.4,17.7,164.0,75,1,69.82,135.775,54.5315,0.0364
PLTR260306C00120000,2026-02-26 20:59:46+00:00,120.0,15.8,15.8,16.9,213.0,186,1,56.49,135.94,,0.0364
PLTR260306C00121000,2026-02-26 20:59:46+00:00,121.0,14.81,14.8,15.9,182.0,215,1,53.56,135.94,,0.0364
PLTR260306C00122000,2026-02-25 16:13:51+00:00,122.0,14.0,13.45,15.2,19.0,18,1,70.9,134.605,70.5438,0.0364
PLTR260306C00123000,2026-02-25 16:44:43+00:00,123.0,12.4,13.1,14.0,1.0,74,1,53.22,135.63,,0.0364
PLTR260306C00124000,2026-02-26 17:49:15+00:00,124.0,11.45,12.15,13.9,27.0,62,1,60.35,133.8,69.5009,0.0364
PLTR260306C00125000,2026-02-26 20:21:04+00:00,125.0,11.65,11.75,12.55,63.0,740,1,59.18,135.29,65.6748,0.0364
PLTR260306C00126000,2026-02-26 19:21:59+00:00,126.0,11.25,10.35,12.1,66.0,166,1,56.89,135.818,64.6681,0.0364
