contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
PLTR260821P00020000,2026-02-25 19:23:10+00:00,20.0,0.19,0.03,0.75,1.0,51,0,137.7,134.675,124.709,0.0364
PLTR260821P00025000,2026-02-18 15:57:16+00:00,25.0,0.16,0.05,0.25,,5,0,105.86,,106.0155,0.0364
PLTR260821P00030000,2026-02-26 18:28:30+00:00,30.0,0.16,0.11,0.2,1.0,22,0,94.92,133.51,96.0741,0.0364
PLTR260821P00035000,2026-02-24 16:22:13+00:00,35.0,0.27,0.18,0.31,1.0,11,0,91.11,129.1583,90.8652,0.0364
PLTR260821P00040000,2026-02-23 16:58:58+00:00,40.0,0.43,0.34,0.39,2.0,12,0,87.7,130.12,88.5346,0.0364
PLTR260821P00045000,2026-02-26 16:04:34+00:00,45.0,0.53,0.5,0.55,1.0,13,0,84.67,135.4689,86.2487,0.0364
PLTR260821P00050000,2026-02-24 20:40:31+00:00,50.0,0.88,0.69,0.74,6.0,304,0,81.57,128.49,82.7929,0.0364
PLTR260821P00055000,2026-02-26 17:59:53+00:00,55.0,0.98,0.92,0.98,1.0,282,0,78.74,133.9889,80.099,0.0364
PLTR260821P00060000,2026-02-25 20:42:59+00:00,60.0,1.32,1.21,1.27,7.0,31,0,76.12,133.605,77.7111,0.0364
PLTR260821P00065000,2026-02-26 20:49:29+00:00,65.0,1.63,1.57,1.63,6.0,419,0,73.83,135.83,76.0007,0.0364
PLTR260821P00070000,2026-02-23 16:19:50+00:00,70.0,2.0,2.0,2.06,1.0,133,0,71.63,129.6454,69.2878,0.0364
PLTR260821P00075000,2026-02-25 15:10:30+00:00,75.0,2.64,2.51,2.58,7.0,1912,0,69.6,132.7601,70.3553,0.0364
PLTR260821P00080000,2026-02-26 20:17:42+00:00,80.0,3.25,3.1,3.2,28.0,3233,0,67.68,135.501,70.2042,0.0364
PLTR260821P00085000,2026-02-26 20:23:31+00:00,85.0,4.0,3.85,3.95,151.0,685,0,66.1,135.255,68.4691,0.0364
PLTR260821P00090000,2026-02-26 20:03:14+00:00,90.0,4.8,4.7,4.8,2.0,1675,0,64.5,135.7974,66.9589,0.0364
PLTR260821P00095000,2026-02-26 17:59:39+00:00,95.0,6.0,5.7,5.8,6.0,793,0,63.07,133.92,65.2212,0.0364
PLTR260821P00100000,2026-02-26 20:12:52+00:00,100.0,7.04,6.8,6.95,41.0,3986,0,61.64,135.32,64.4046,0.0364
PLTR260821P00105000,2026-02-26 20:26:22+00:00,105.0,8.4,8.1,8.25,489.0,3104,0,60.36,135.35,63.4312,0.0364
PLTR260821P00110000,2026-02-26 20:15:03+00:00,110.0,9.9,9.6,9.75,38.0,5126,0,59.27,135.225,62.2971,0.0364
PLTR260821P00115000,2026-02-26 20:23:24+00:00,115.0,11.63,11.3,11.4,45.0,3303,0,58.23,135.17,61.4673,0.0364
PLTR260821P00120000,2026-02-26 20:17:36+00:00,120.0,13.45,13.15,13.3,255.0,2890,0,57.28,135.46,60.7132,0.0364
PLTR260821P00125000,2026-02-26 20:46:36+00:00,125.0,15.4,15.25,15.4,303.0,3936,0,56.49,135.77,59.9295,0.0364
PLTR260821P00130000,2026-02-26 20:57:31+00:00,130.0,17.7,17.55,17.7,246.0,5368,0,55.75,135.81,59.4494,0.0364
PLTR260821P00135000,2026-02-26 20:43:22+00:00,135.0,20.35,20.0,20.2,122.0,1573,0,54.99,135.49,59.072,0.0364
PLTR260821P00140000,2026-02-26 20:44:04+00:00,140.0,23.02,22.7,22.9,61.0,3915,1,54.36,135.77,58.9352,0.0364
PLTR260821P00145000,2026-02-26 20:43:29+00:00,145.0,26.0,25.6,25.8,55.0,1520,1,53.79,135.49,58.5373,0.0364
PLTR260821P00150000,2026-02-26 19:22:01+00:00,150.0,28.9,28.7,28.85,14.0,5693,1,53.23,135.8,58.2403,0.0364
PLTR260821P00155000,2026-02-26 19:22:01+00:00,155.0,32.15,31.95,32.1,13.0,664,1,52.7,135.8,58.1008,0.0364
PLTR260821P00160000,2026-02-26 20:22:13+00:00,160.0,35.75,35.35,35.55,8.0,2028,1,52.21,135.315,57.7898,0.0364
PLTR260821P00165000,2026-02-26 18:56:53+00:00,165.0,39.89,38.9,39.1,3.0,1274,1,51.66,134.74,58.3544,0.0364
