contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
SLV280616P00015000,2026-02-25 16:30:31+00:00,15.0,0.14,20.0,45,0,52.8325,82.0099,54.2574,0.0364,84.94
SLV280616P00020000,2026-02-18 16:43:09+00:00,20.0,0.19,,2,0,64.1117,,46.9276,0.0364,
SLV280616P00025000,2026-02-17 19:12:51+00:00,25.0,0.44,,0,0,56.0185,,46.1609,0.0364,
SLV280616P00030000,2026-02-18 18:05:14+00:00,30.0,0.87,,0,0,50.3423,,45.8586,0.0364,
SLV280616P00035000,2026-02-24 20:09:33+00:00,35.0,2.21,4.0,3,0,58.5331,78.65,50.4716,0.0364,89.07
SLV280616P00040000,2026-02-24 20:05:07+00:00,40.0,3.5,1.0,4,0,56.0795,78.77,51.4201,0.0364,89.15
SLV280616P00045000,2026-02-20 20:43:15+00:00,45.0,4.91,1.0,2,0,54.6513,76.245,50.069,0.0364,89.82
SLV280616P00050000,2026-02-17 15:19:49+00:00,50.0,7.1,,1,0,53.7297,,53.9515,0.0364,
SLV280616P00055000,2026-02-25 19:32:07+00:00,55.0,8.75,2.0,1,0,53.333,82.3135,54.4608,0.0364,87.45
SLV280616P00060000,2026-02-24 18:03:48+00:00,60.0,11.65,2.0,6,0,52.9424,79.696,55.4151,0.0364,90.25
SLV280616P00065000,2026-02-17 15:59:48+00:00,65.0,15.25,,2,0,52.8508,,58.8925,0.0364,
SLV280616P00070000,2026-02-25 16:45:04+00:00,70.0,16.2,2.0,2,0,52.7959,82.22,56.173,0.0364,84.94
SLV280616P00075000,2026-02-25 15:31:16+00:00,75.0,19.2,2.0,5,0,52.9241,81.4712,56.5993,0.0364,87.58
SLV280616P00080000,2026-02-20 15:19:06+00:00,80.0,22.85,1.0,2,0,53.0278,73.42,52.4371,0.0364,80.35
SLV280616P00085000,2026-02-20 15:16:07+00:00,85.0,27.53,3.0,3,1,53.1377,73.055,55.9251,0.0364,80.69
SLV280616P00100000,2026-02-25 15:47:53+00:00,100.0,36.98,6.0,6,1,53.7938,81.821,62.4887,0.0364,86.41
SLV280616P00105000,2026-02-25 16:14:13+00:00,105.0,40.85,2.0,2,1,53.9891,81.9,63.605,0.0364,85.09
SLV280616P00115000,2026-02-18 16:43:22+00:00,115.0,52.4,,1,1,50.2813,,71.5066,0.0364,
SLV280616P00120000,2026-02-25 15:31:43+00:00,120.0,53.9,4.0,2,1,50.266,81.54,68.4368,0.0364,87.56
SLV280616P00130000,2026-02-24 19:25:15+00:00,130.0,64.2,2.0,1,1,51.0625,78.705,71.9308,0.0364,88.51
SLV280616P00135000,2026-02-18 20:13:51+00:00,135.0,71.15,,0,1,50.7939,,79.6388,0.0364,
SLV280616P00140000,2026-02-18 18:05:36+00:00,140.0,74.8,,0,1,51.0564,,79.2238,0.0364,
SLV280616P00145000,2026-02-17 18:54:27+00:00,145.0,81.9,,0,1,51.212,,85.9885,0.0364,
SLV280616P00150000,2026-02-17 18:59:39+00:00,150.0,86.5,,0,1,51.328,,87.4145,0.0364,
