contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
AAPL270617P00005000,2025-12-09 17:00:54+00:00,5.0,0.01,0.0,0.04,1.0,13,0,118.75,,105.1088,0.0363,
AAPL270617P00010000,2025-11-11 15:07:56+00:00,10.0,0.01,0.0,0.03,5.0,7,0,93.75,,83.468,0.0363,
AAPL270617P00015000,2026-02-05 19:09:34+00:00,15.0,0.05,0.0,2.62,1.0,2,0,143.85,,90.6454,0.0363,
AAPL270617P00020000,2026-02-20 16:58:35+00:00,20.0,0.02,0.0,2.52,10.0,11,0,126.27,,75.7182,0.0363,
AAPL270617P00025000,2025-11-24 16:29:19+00:00,25.0,0.06,0.0,0.06,,40,0,70.31,,70.6039,0.0363,
AAPL270617P00030000,2025-12-16 20:02:51+00:00,30.0,0.08,0.0,0.07,1.0,37,0,66.02,,68.3394,0.0363,
AAPL270617P00035000,2025-11-24 16:29:19+00:00,35.0,0.11,0.01,0.1,,106,0,63.87,,64.5057,0.0363,
AAPL270617P00045000,2026-02-11 15:46:25+00:00,45.0,0.07,0.02,1.73,38.0,139,0,79.32,,57.9148,0.0363,
AAPL270617P00050000,2026-02-17 14:30:09+00:00,50.0,0.15,0.1,0.13,1.0,708,0,56.74,,59.624,0.0363,
AAPL270617P00055000,2025-12-24 14:40:35+00:00,55.0,0.15,0.1,0.18,1.0,18,0,54.69,,53.5636,0.0363,
AAPL270617P00060000,2026-02-17 16:24:36+00:00,60.0,0.18,0.12,0.89,1.0,65,0,61.08,,54.5109,0.0363,
AAPL270617P00065000,2026-01-28 19:16:33+00:00,65.0,0.19,0.16,0.5,1.0,28,0,54.54,,51.0882,0.0363,
AAPL270617P00070000,2026-02-06 14:30:03+00:00,70.0,0.3,0.21,0.39,10.0,29,0,51.07,,51.86,0.0363,
AAPL270617P00075000,2026-01-27 20:43:43+00:00,75.0,0.33,0.31,0.41,4.0,530,0,50.64,,49.5317,0.0363,
AAPL270617P00080000,2026-02-23 15:13:03+00:00,80.0,0.4,0.33,0.53,1.0,154,0,50.0,265.7,49.8663,0.0363,28.13
AAPL270617P00085000,2026-01-27 20:20:47+00:00,85.0,0.48,0.39,0.63,4.0,67,0,48.85,,47.4213,0.0363,
