contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
AMZN261016C00170000,2026-02-27 20:53:36+00:00,170.0,51.82,50.45,54.15,10.0,2,1,50.15,209.77,40.5914,0.0363,35.71
AMZN261016C00175000,2026-02-20 15:33:43+00:00,175.0,47.0,46.75,50.6,2.0,2,1,49.27,,36.4868,0.0363,
AMZN261016C00190000,2026-02-26 19:05:30+00:00,190.0,36.39,37.15,40.05,2.0,11,1,45.8,207.4474,38.5637,0.0363,35.18
AMZN261016C00195000,2026-02-24 18:53:14+00:00,195.0,35.45,34.15,36.85,6.0,9,1,44.85,210.34,38.1481,0.0363,36.05
AMZN261016C00200000,2026-02-27 20:47:46+00:00,200.0,31.71,31.2,33.85,4.0,12,1,44.04,208.305,38.8945,0.0363,35.92
AMZN261016C00205000,2026-02-27 17:08:10+00:00,205.0,29.85,28.8,30.15,4.0,106,1,41.97,209.49,38.687,0.0363,34.84
AMZN261016C00210000,2026-02-27 20:59:49+00:00,210.0,27.3,26.95,28.1,25.0,27,0,42.26,210.01,37.922,0.0363,35.71
AMZN261016C00215000,2026-02-27 20:01:17+00:00,215.0,24.55,24.5,25.2,11.0,532,0,41.05,209.3299,37.6916,0.0363,35.98
AMZN261016C00220000,2026-02-27 19:58:15+00:00,220.0,22.15,22.3,23.4,22.0,8,0,41.3,209.005,37.4254,0.0363,36.01
AMZN261016C00225000,2026-02-27 18:41:11+00:00,225.0,19.9,20.15,21.3,6.0,4,0,40.91,208.83,37.0223,0.0363,35.6
AMZN261016C00230000,2026-02-27 17:27:30+00:00,230.0,17.78,18.2,18.85,59.0,26,0,39.79,208.2802,36.8457,0.0363,35.32
AMZN261016C00235000,2026-02-27 15:59:13+00:00,235.0,16.3,16.45,17.4,1.0,34,0,39.98,208.6,36.8238,0.0363,35.64
AMZN261016C00240000,2026-02-27 20:21:48+00:00,240.0,14.9,14.75,15.4,12.0,27,0,39.15,209.67,36.3092,0.0363,35.68
AMZN261016C00250000,2026-02-27 20:39:13+00:00,250.0,11.86,11.9,12.4,3.0,31,0,38.47,208.6,36.3061,0.0363,35.98
AMZN261016C00255000,2026-02-27 17:14:02+00:00,255.0,10.6,10.6,11.25,1.0,8,0,38.43,208.36,36.2218,0.0363,35.06
AMZN261016C00260000,2026-02-27 16:55:05+00:00,260.0,9.37,9.45,9.95,2.0,9,0,37.97,208.25,35.9337,0.0363,34.9
AMZN261016C00270000,2026-02-26 18:06:10+00:00,270.0,7.1,7.5,8.2,1.0,9,0,38.04,205.89,36.0105,0.0363,36.33
AMZN261016C00275000,2026-02-27 14:59:06+00:00,275.0,6.5,6.7,7.3,2.0,11,0,37.81,206.12,36.2477,0.0363,36.61
AMZN261016C00280000,2026-02-27 15:55:17+00:00,280.0,6.25,5.95,6.55,1.0,21,0,37.72,208.43,36.1273,0.0363,35.75
AMZN261016C00300000,2026-02-25 19:07:36+00:00,300.0,4.1,3.75,4.4,2.0,50,0,37.91,210.04,35.4997,0.0363,35.49
