contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
DIA280616C00280000,2026-01-28 15:34:20+00:00,280.0,225.0,220.0,225.0,,145,1,35.63,,,0.0363,
DIA280616C00365000,2026-01-29 20:53:48+00:00,365.0,153.03,148.5,153.5,6.0,6,1,29.53,,,0.0363,
DIA280616C00390000,2026-02-20 20:47:13+00:00,390.0,137.49,128.5,133.5,1.0,1,1,27.75,,17.2891,0.0363,
DIA280616C00450000,2026-02-10 20:36:46+00:00,450.0,98.54,85.0,90.0,,1,1,24.15,,18.8155,0.0363,
DIA280616C00455000,2026-02-04 19:50:13+00:00,455.0,90.0,81.5,86.5,,1,1,23.81,,16.2978,0.0363,
DIA280616C00470000,2026-02-13 14:39:31+00:00,470.0,77.77,71.5,76.5,2.0,11,1,22.88,,15.2556,0.0363,
DIA280616C00480000,2026-01-26 18:03:04+00:00,480.0,71.06,65.5,70.5,2.0,7,1,22.42,,14.6047,0.0363,
DIA280616C00490000,2026-02-23 17:18:59+00:00,490.0,61.72,59.5,64.5,1.0,15,0,21.89,488.65,14.0191,0.0363,19.1
DIA280616C00495000,2026-02-20 15:48:10+00:00,495.0,62.87,56.5,61.5,11.0,11,0,21.59,,15.1583,0.0363,
DIA280616C00500000,2026-02-23 20:50:26+00:00,500.0,56.2,53.5,58.5,1.0,16,0,21.28,487.61,14.232,0.0363,19.49
DIA280616C00525000,2026-01-23 20:11:45+00:00,525.0,44.54,40.0,45.0,2.0,1,0,19.94,,13.4415,0.0363,
DIA280616C00530000,2026-01-28 15:34:15+00:00,530.0,42.5,37.5,42.5,1.0,0,0,19.68,,13.5729,0.0363,
DIA280616C00540000,2026-01-23 20:11:32+00:00,540.0,37.07,33.0,38.0,4.0,2,0,19.26,,13.0831,0.0363,
DIA280616C00575000,2026-01-23 20:11:32+00:00,575.0,22.89,19.5,24.5,8.0,4,0,17.87,,12.3785,0.0363,
DIA280616C00580000,2026-01-23 20:11:45+00:00,580.0,21.35,18.0,23.0,8.0,4,0,17.74,,12.3327,0.0363,
DIA280616C00625000,2026-02-20 20:47:13+00:00,625.0,11.01,7.0,12.0,1.0,1,0,16.46,,12.3845,0.0363,
DIA280616C00650000,2026-02-13 18:58:56+00:00,650.0,7.5,4.0,9.0,,8,0,16.45,,12.2473,0.0363,
DIA280616C00655000,2026-01-23 20:10:39+00:00,655.0,5.67,3.5,8.5,2.0,1,0,16.46,,11.2931,0.0363,
DIA280616C00660000,2026-01-23 20:11:45+00:00,660.0,5.37,3.0,8.0,6.0,3,0,16.45,,11.3936,0.0363,
DIA280616C00690000,2026-02-13 14:48:44+00:00,690.0,3.5,0.5,5.5,,1,0,16.36,,11.8532,0.0363,
DIA280616C00700000,2026-02-13 18:44:48+00:00,700.0,3.32,0.0,5.0,,38,0,16.46,,12.1826,0.0363,
