contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
TLT260618P00055000,2026-02-20 18:09:21+00:00,55.0,0.01,0.0,0.01,30.0,5275,0,32.42,,32.4135,0.0363,
TLT260618P00060000,2026-02-13 18:17:17+00:00,60.0,0.02,0.0,0.01,2.0,572,0,27.34,,28.5402,0.0363,
TLT260618P00065000,2026-02-24 14:30:02+00:00,65.0,0.02,0.01,0.03,1.0,527,0,25.2,89.895,24.0239,0.0363,12.48
TLT260618P00070000,2026-02-27 15:03:11+00:00,70.0,0.04,0.03,0.04,1.0,10942,0,20.9,90.6666,21.7844,0.0363,12.19
TLT260618P00074000,2026-02-23 16:10:30+00:00,74.0,0.07,0.05,0.07,9.0,451,0,18.46,89.885,18.3569,0.0363,12.42
TLT260618P00075000,2026-02-23 16:35:36+00:00,75.0,0.09,0.06,0.07,18.0,19852,0,17.38,89.877,18.0455,0.0363,12.36
TLT260618P00076000,2026-02-25 20:25:49+00:00,76.0,0.08,0.07,0.08,1.0,383,0,16.7,89.8334,16.7593,0.0363,11.81
TLT260618P00077000,2026-02-27 21:08:59+00:00,77.0,0.1,0.08,0.1,573.0,12466,0,16.31,90.78,17.3052,0.0363,12.47
TLT260618P00078000,2026-02-27 19:59:26+00:00,78.0,0.12,0.1,0.11,316.0,6226,0,15.48,90.77,16.7657,0.0363,12.42
TLT260618P00079000,2026-02-27 19:10:43+00:00,79.0,0.13,0.13,0.14,121.0,7270,0,15.09,90.795,15.9327,0.0363,12.26
TLT260618P00080000,2026-02-27 20:47:43+00:00,80.0,0.16,0.14,0.16,299.0,26425,0,14.36,90.785,15.4572,0.0363,12.34
TLT260618P00081000,2026-02-27 21:01:04+00:00,81.0,0.2,0.2,0.21,284.0,10099,0,14.06,90.78,15.0301,0.0363,12.47
TLT260618P00082000,2026-02-27 20:26:03+00:00,82.0,0.26,0.23,0.25,252.0,29758,0,13.43,90.7238,14.688,0.0363,12.38
TLT260618P00083000,2026-02-27 21:09:13+00:00,83.0,0.31,0.29,0.31,602.0,27120,0,12.94,90.78,14.1572,0.0363,12.47
TLT260618P00084000,2026-02-27 21:09:38+00:00,84.0,0.38,0.38,0.4,253.0,8911,0,12.57,90.78,13.6574,0.0363,12.47
TLT260618P00085000,2026-02-27 21:14:02+00:00,85.0,0.52,0.51,0.53,651.0,23368,0,12.34,90.78,13.6372,0.0363,12.47
TLT260618P00086000,2026-02-27 21:03:19+00:00,86.0,0.71,0.67,0.7,245.0,14304,0,12.13,90.78,13.7126,0.0363,12.47
TLT260618P00087000,2026-02-27 21:09:15+00:00,87.0,0.9,0.89,0.92,11114.0,38508,0,11.99,90.78,13.4813,0.0363,12.47
TLT260618P00088000,2026-02-27 18:38:43+00:00,88.0,1.26,1.17,1.2,260.0,25018,0,11.88,90.725,13.9312,0.0363,12.25
TLT260618P00089000,2026-02-27 21:00:54+00:00,89.0,1.57,1.52,1.55,2923.0,10421,0,11.83,90.78,13.924,0.0363,12.47
TLT260618P00090000,2026-02-27 20:36:21+00:00,90.0,2.01,1.95,1.98,902.0,34545,0,11.85,90.775,14.2198,0.0363,12.34
TLT260618P00091000,2026-02-27 20:55:34+00:00,91.0,2.52,2.46,2.5,1316.0,2259,1,12.0,90.775,14.5786,0.0363,12.34
TLT260618P00092000,2026-02-27 21:00:56+00:00,92.0,3.1,3.05,3.1,11.0,377,1,12.21,90.78,15.0157,0.0363,12.47
TLT260618P00093000,2026-02-26 20:44:39+00:00,93.0,3.88,3.7,3.8,1.0,236,1,12.64,90.29,14.7582,0.0363,11.73
TLT260618P00094000,2026-02-27 16:44:42+00:00,94.0,4.5,4.4,4.5,400.0,760,1,12.78,90.79,16.3488,0.0363,12.08
TLT260618P00095000,2026-02-27 18:51:01+00:00,95.0,5.36,5.2,5.3,2.0,351,1,13.23,90.7801,17.5023,0.0363,12.21
TLT260618P00096000,2026-02-27 19:22:10+00:00,96.0,6.25,6.0,6.15,1.0,832,1,13.78,90.845,18.9282,0.0363,12.35
TLT260618P00097000,2026-02-24 17:40:53+00:00,97.0,7.71,6.85,7.0,104.0,473,1,14.14,89.9494,19.618,0.0363,12.07
TLT260618P00098000,2026-02-27 18:49:09+00:00,98.0,7.88,7.75,7.9,1.0,1584,1,14.7,90.78,19.8905,0.0363,12.22
TLT260618P00099000,2026-02-24 16:46:48+00:00,99.0,9.49,8.65,8.8,1.0,530,1,15.1,89.9816,21.4087,0.0363,12.05
TLT260618P00100000,2026-02-13 15:25:31+00:00,100.0,10.88,9.6,9.75,1.0,465,1,15.81,,27.6697,0.0363,
TLT260618P00101000,2026-01-21 15:09:47+00:00,101.0,14.52,10.55,10.7,63.0,94,1,16.43,,39.6688,0.0363,
TLT260618P00102000,2025-12-09 20:57:59+00:00,102.0,14.3,14.85,15.05,,0,1,39.03,,32.5135,0.0363,
TLT260618P00103000,2026-02-10 16:37:28+00:00,103.0,12.75,12.5,12.6,2.0,7,1,17.43,,25.357,0.0363,
TLT260618P00104000,2026-02-20 19:28:27+00:00,104.0,14.95,13.45,13.6,2.0,0,1,18.41,,34.3167,0.0363,
TLT260618P00105000,2025-12-19 14:36:31+00:00,105.0,17.47,17.85,18.05,2.0,0,1,43.12,,37.4666,0.0363,
TLT260618P00106000,2026-02-10 16:22:00+00:00,106.0,17.7,15.4,15.55,2.0,2,1,19.63,,39.9331,0.0363,
