contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
META260302C00590000,2026-02-26 19:37:26+00:00,590.0,67.63,55.55,61.5,19.0,61,1,79.46,658.83,,0.0363
META260302C00600000,2026-02-27 20:53:11+00:00,600.0,44.0,45.9,50.0,17.0,112,1,57.92,643.91,,0.0363
META260302C00610000,2026-02-26 16:40:32+00:00,610.0,45.32,35.1,41.65,5.0,9,1,59.79,655.31,,0.0363
META260302C00615000,2026-02-27 19:32:33+00:00,615.0,25.0,30.15,36.0,15.0,33,1,50.54,639.7,27.5866,0.0363
META260302C00617500,2026-02-27 20:52:29+00:00,617.5,25.35,27.65,33.45,17.0,26,1,47.63,643.2,,0.0363
META260302C00620000,2026-02-27 20:45:14+00:00,620.0,22.95,26.15,30.25,135.0,14,1,40.69,640.15,49.855,0.0363
META260302C00625000,2026-02-27 20:40:51+00:00,625.0,18.75,20.95,25.8,24.0,46,1,38.84,640.33,46.4889,0.0363
META260302C00630000,2026-02-27 20:58:19+00:00,630.0,17.6,18.25,19.75,269.0,138,1,27.52,648.5725,,0.0363
META260302C00635000,2026-02-27 20:59:49+00:00,635.0,15.2,14.4,15.2,837.0,288,1,24.73,648.01,34.1381,0.0363
META260302C00637500,2026-02-27 20:56:58+00:00,637.5,12.1,12.75,13.05,260.0,72,1,23.57,647.12,30.6957,0.0363
META260302C00640000,2026-02-27 20:59:37+00:00,640.0,10.6,10.75,11.1,2586.0,200,1,22.93,648.01,28.6299,0.0363
META260302C00642500,2026-02-27 20:58:46+00:00,642.5,9.5,9.0,9.25,2978.0,87,1,22.21,648.5725,29.9315,0.0363
META260302C00645000,2026-02-27 20:59:23+00:00,645.0,7.16,7.35,7.55,3984.0,435,1,21.56,648.01,27.6575,0.0363
META260302C00647500,2026-02-27 20:59:59+00:00,647.5,5.98,5.85,6.0,4224.0,256,1,20.89,648.01,28.6616,0.0363
META260302C00650000,2026-02-27 20:59:58+00:00,650.0,4.55,4.5,4.7,5163.0,654,0,20.52,648.01,27.4691,0.0363
META260302C00652500,2026-02-27 20:59:33+00:00,652.5,3.75,3.4,3.55,1190.0,395,0,20.03,648.01,28.6062,0.0363
META260302C00655000,2026-02-27 20:59:58+00:00,655.0,2.61,2.48,2.62,1356.0,413,0,19.67,648.01,26.9938,0.0363
META260302C00657500,2026-02-27 20:59:09+00:00,657.5,1.94,1.74,1.86,1156.0,171,0,19.28,648.01,27.0223,0.0363
META260302C00660000,2026-02-27 20:59:49+00:00,660.0,1.25,1.18,1.3,3625.0,1080,0,19.08,648.01,25.8396,0.0363
META260302C00662500,2026-02-27 20:59:34+00:00,662.5,0.89,0.8,0.88,970.0,92,0,18.89,648.01,26.0473,0.0363
META260302C00665000,2026-02-27 20:59:44+00:00,665.0,0.73,0.52,0.59,1430.0,328,0,18.82,648.01,27.4313,0.0363
META260302C00667500,2026-02-27 20:59:04+00:00,667.5,0.37,0.35,0.39,392.0,900,0,18.85,648.01,25.5788,0.0363
META260302C00670000,2026-02-27 20:58:59+00:00,670.0,0.25,0.21,0.26,1177.0,807,0,18.99,648.5725,25.325,0.0363
META260302C00672500,2026-02-27 20:59:22+00:00,672.5,0.17,0.14,0.19,85.0,824,0,19.48,648.01,26.2508,0.0363
META260302C00675000,2026-02-27 20:57:45+00:00,675.0,0.14,0.1,0.14,351.0,448,0,20.02,649.03,26.5911,0.0363
META260302C00677500,2026-02-27 20:56:44+00:00,677.5,0.09,0.07,0.1,254.0,1024,0,20.41,647.12,28.3427,0.0363
META260302C00680000,2026-02-27 20:58:56+00:00,680.0,0.05,0.05,0.07,409.0,319,0,20.8,648.5725,26.8524,0.0363
META260302C00682500,2026-02-27 20:58:34+00:00,682.5,0.06,0.04,0.06,40.0,123,0,21.68,648.01,29.7807,0.0363
META260302C00685000,2026-02-27 18:19:11+00:00,685.0,0.04,0.03,0.06,168.0,313,0,23.05,639.68,35.2672,0.0363
META260302C00687500,2026-02-27 20:51:37+00:00,687.5,0.03,0.02,0.06,15.0,65,0,24.32,643.2,34.1174,0.0363
META260302C00690000,2026-02-27 18:09:46+00:00,690.0,0.06,0.02,0.03,159.0,223,0,23.63,640.8332,39.5428,0.0363
META260302C00692500,2026-02-26 20:26:12+00:00,692.5,0.26,0.02,0.04,28.0,82,0,25.59,656.6399,31.1499,0.0363
META260302C00695000,2026-02-27 20:42:49+00:00,695.0,0.03,0.02,0.05,126.0,144,0,27.54,639.9125,41.269,0.0363
META260302C00697500,2026-02-26 20:04:02+00:00,697.5,0.06,0.01,0.05,1.0,7,0,28.81,657.68,27.1322,0.0363
META260302C00700000,2026-02-27 20:29:01+00:00,700.0,0.03,0.01,0.04,123.0,240,0,29.3,641.09,43.5278,0.0363
META260302C00702500,2026-02-26 16:17:37+00:00,702.5,0.24,0.0,0.06,20.0,38,0,31.93,656.235,36.7325,0.0363
META260302C00705000,2026-02-27 20:43:28+00:00,705.0,0.03,0.01,0.03,8.0,36,0,30.66,640.33,47.2941,0.0363
META260302C00707500,2026-02-27 18:35:07+00:00,707.5,0.04,0.0,0.04,13.0,7,0,32.81,639.915,49.6268,0.0363
META260302C00710000,2026-02-27 19:46:10+00:00,710.0,0.03,0.01,0.05,76.0,149,0,34.77,639.41,50.5475,0.0363
META260302C00715000,2026-02-27 20:45:58+00:00,715.0,0.01,0.01,0.04,90.0,41,0,36.33,640.15,48.3154,0.0363
META260302C00720000,2026-02-27 16:39:10+00:00,720.0,0.02,0.0,0.01,28.0,51,0,33.59,644.1425,49.787,0.0363
META260302C00725000,2026-02-27 15:30:45+00:00,725.0,0.01,0.0,0.05,29.0,134,0,41.8,646.72,47.355,0.0363
