contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
IBIT260831P00025000,2026-03-02 16:06:40+00:00,25.0,1.02,0.98,1.09,34.0,123,0,61.18,39.4299,63.4983,0.0364
IBIT260831P00028000,2026-02-25 17:26:12+00:00,28.0,1.65,1.45,1.58,11.0,8,0,57.28,38.945,60.3835,0.0364
IBIT260831P00029000,2026-03-02 19:56:18+00:00,29.0,1.73,1.68,1.75,3.0,9,0,56.15,39.115,58.6174,0.0364
IBIT260831P00030000,2026-02-25 16:23:55+00:00,30.0,2.12,1.87,2.0,,8,0,55.05,38.58,57.7627,0.0364
IBIT260831P00031000,2026-03-02 18:51:41+00:00,31.0,2.22,2.11,2.25,3.0,2,0,54.03,39.17,57.0985,0.0364
IBIT260831P00032000,2026-02-27 20:33:13+00:00,32.0,2.47,2.39,2.52,1.0,19,0,53.13,37.185,49.9059,0.0364
IBIT260831P00033000,2026-02-27 20:27:21+00:00,33.0,3.27,2.68,2.82,1.0,103,0,52.2,37.202,54.4796,0.0364
IBIT260831P00034000,2026-03-02 18:00:27+00:00,34.0,3.1,3.0,3.2,1.0,17,0,51.61,39.21,54.6332,0.0364
IBIT260831P00035000,2026-03-02 18:24:42+00:00,35.0,3.42,3.35,3.55,32.0,179,0,50.76,39.18,53.5136,0.0364
IBIT260831P00036000,2026-03-02 18:24:08+00:00,36.0,3.85,3.75,3.9,2.0,751,0,50.65,39.18,53.3747,0.0364
IBIT260831P00037000,2026-03-02 18:37:15+00:00,37.0,4.22,4.15,4.35,5.0,288,0,50.24,39.225,52.53,0.0364
IBIT260831P00038000,2026-02-27 14:30:21+00:00,38.0,4.65,4.6,4.8,1.0,636,0,49.59,37.5301,45.0578,0.0364
IBIT260831P00039000,2026-03-02 18:58:32+00:00,39.0,5.26,5.05,5.25,15.0,294,0,48.66,39.0803,52.1594,0.0364
IBIT260831P00040000,2026-03-02 19:14:40+00:00,40.0,5.75,5.55,5.8,12.0,1,1,48.41,39.0,51.2396,0.0364
IBIT260831P00041000,2026-02-25 15:03:42+00:00,41.0,6.75,6.1,6.3,,1,1,47.46,38.14,50.7243,0.0364
IBIT260831P00042000,2026-02-26 14:35:11+00:00,42.0,7.05,6.65,6.9,,1,1,47.17,38.7,50.4093,0.0364
IBIT260831P00043000,2026-03-02 16:53:20+00:00,43.0,7.21,7.25,7.5,3.0,2,1,46.64,39.5599,50.5292,0.0364
IBIT260831P00045000,2026-02-25 18:38:51+00:00,45.0,8.67,8.5,8.75,,1,1,45.31,39.425,50.7052,0.0364
IBIT260831P00047000,2026-02-23 17:44:45+00:00,47.0,11.92,9.9,10.2,,1,1,44.92,,66.0488,0.0364
IBIT260831P00048000,2026-02-27 15:40:39+00:00,48.0,12.0,10.65,10.9,2.0,2,1,44.14,37.45,50.1325,0.0364
