contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
ETHA260410P00005000,2026-03-02 17:38:29+00:00,5.0,0.41,0.0,0.67,4.0,1,0,263.67,15.4507,287.0856,0.0364
ETHA260410P00009000,2026-02-27 19:58:20+00:00,9.0,0.15,0.0,0.49,1.0,1,0,128.52,14.505,103.7341,0.0364
ETHA260410P00010000,2026-02-27 20:12:56+00:00,10.0,0.22,0.01,0.56,51.0,14,0,112.89,14.535,94.9904,0.0364
ETHA260410P00012000,2026-03-02 18:06:12+00:00,12.0,0.36,0.31,0.4,197.0,6,0,81.54,15.39,84.9651,0.0364
ETHA260410P00012500,2026-02-27 16:58:07+00:00,12.5,0.55,0.2,0.51,1.0,3,0,72.27,14.545,74.6943,0.0364
ETHA260410P00013000,2026-03-02 18:06:12+00:00,13.0,0.48,0.44,0.61,13.0,8,0,75.2,15.39,75.0889,0.0364
ETHA260410P00014000,2026-03-02 16:38:24+00:00,14.0,0.81,0.7,0.87,2.0,14,0,70.41,15.47,76.3204,0.0364
ETHA260410P00014500,2026-02-27 20:59:25+00:00,14.5,1.33,0.9,1.05,13.0,13,0,69.43,14.525,70.8976,0.0364
ETHA260410P00015000,2026-03-02 16:38:06+00:00,15.0,1.16,1.1,1.26,107.0,3,0,67.77,15.47,71.8076,0.0364
ETHA260410P00015500,2026-02-27 18:36:42+00:00,15.5,1.88,1.33,1.51,100.0,93,1,66.6,14.545,69.2873,0.0364
ETHA260410P00016000,2026-03-02 16:48:05+00:00,16.0,1.53,1.56,1.77,2.0,2,1,64.16,15.65,67.7813,0.0364
ETHA260410P00016500,2026-02-27 15:01:29+00:00,16.5,2.64,1.89,2.09,1.0,1,1,64.36,14.74,79.5362,0.0364
ETHA260410P00018000,2026-02-27 15:36:45+00:00,18.0,3.64,2.97,3.15,3.0,3,1,61.91,14.67,67.7301,0.0364
ETHA260410P00019000,2026-02-26 15:39:59+00:00,19.0,4.03,3.6,4.1,,4,1,57.81,15.31,70.337,0.0364
ETHA260410P00019500,2026-02-26 19:18:08+00:00,19.5,4.51,4.15,4.55,,24,1,62.31,15.29,73.1053,0.0364
ETHA260410P00020000,2026-02-26 15:41:40+00:00,20.0,4.65,3.9,5.0,,1,1,78.71,15.3258,47.0966,0.0364
