contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
NVDA280121C00005000,2026-02-27 19:11:20+00:00,5.0,174.0,177.75,178.9,6.0,1380,1,157.03,178.529,115.9791,0.0364
NVDA280121C00010000,2026-03-02 14:30:03+00:00,10.0,166.0,171.55,175.0,50.0,451,1,117.97,176.36,,0.0364
NVDA280121C00015000,2026-02-25 14:30:55+00:00,15.0,181.0,165.65,173.4,1.0,98,1,121.83,194.688,88.7205,0.0364
NVDA280121C00020000,2026-02-27 14:32:09+00:00,20.0,164.68,161.15,168.1,2.0,575,1,107.06,181.15,111.2054,0.0364
NVDA280121C00025000,2026-02-23 18:47:00+00:00,25.0,168.9,156.5,164.25,1.0,363,1,102.69,,162.2349,0.0364
NVDA280121C00030000,2026-03-02 18:29:14+00:00,30.0,155.81,151.95,159.3,2.0,379,1,94.68,182.4451,81.2849,0.0364
NVDA280121C00035000,2026-01-22 20:20:13+00:00,35.0,154.07,147.5,155.2,10.0,478,1,91.28,,94.8008,0.0364
NVDA280121C00040000,2026-03-02 16:08:10+00:00,40.0,145.0,143.05,150.75,10.0,195,1,87.02,180.955,68.5801,0.0364
NVDA280121C00045000,2026-01-14 15:45:56+00:00,45.0,142.25,140.35,143.75,2.0,129,1,81.13,,63.6344,0.0364
NVDA280121C00050000,2026-03-02 20:15:44+00:00,50.0,137.5,136.0,139.4,3.0,460,1,78.27,181.72,67.1893,0.0364
NVDA280121C00055000,2026-02-12 16:16:09+00:00,55.0,140.5,131.75,135.1,20.0,332,1,75.82,,92.1997,0.0364
NVDA280121C00060000,2026-03-02 20:39:04+00:00,60.0,129.8,129.1,130.25,1.0,137,1,75.31,182.34,64.0902,0.0364
NVDA280121C00065000,2026-02-26 20:07:15+00:00,65.0,128.35,124.9,126.1,30.0,710,1,73.11,185.11,62.3335,0.0364
NVDA280121C00070000,2026-02-26 20:29:51+00:00,70.0,121.61,120.9,122.0,2.0,438,1,71.32,184.6899,50.8623,0.0364
NVDA280121C00075000,2026-02-27 17:55:20+00:00,75.0,114.7,116.85,118.0,1.0,361,1,69.57,179.715,58.0809,0.0364
NVDA280121C00080000,2026-03-02 20:54:44+00:00,80.0,113.77,112.95,114.1,11.0,779,1,68.1,182.825,57.4922,0.0364
NVDA280121C00085000,2026-03-02 17:26:09+00:00,85.0,110.2,109.25,110.3,14.0,344,1,66.93,183.135,56.56,0.0364
NVDA280121C00090000,2026-03-02 17:17:24+00:00,90.0,106.34,105.5,106.5,10.0,1078,1,65.63,182.954,55.956,0.0364
NVDA280121C00095000,2026-02-27 20:57:18+00:00,95.0,97.7,101.9,102.85,9.0,110,1,64.56,176.975,56.1271,0.0364
NVDA280121C00100000,2026-03-02 18:26:53+00:00,100.0,98.34,98.25,99.25,4.0,2935,1,63.42,182.465,53.9087,0.0364
NVDA280121C00105000,2026-03-02 17:11:58+00:00,105.0,95.08,94.85,95.75,8.0,967,1,62.52,182.35,54.0535,0.0364
NVDA280121C00110000,2026-03-02 16:18:30+00:00,110.0,91.08,91.35,92.35,3.0,715,1,61.54,181.46,53.8442,0.0364
NVDA280121C00115000,2026-03-02 18:41:54+00:00,115.0,88.42,88.05,89.0,1.0,1285,1,60.69,182.295,53.1758,0.0364
NVDA280121C00120000,2026-03-02 20:00:45+00:00,120.0,85.33,84.9,85.8,21.0,1520,1,59.99,182.495,52.6277,0.0364
NVDA280121C00125000,2026-03-02 17:36:30+00:00,125.0,82.4,81.6,82.65,1.0,599,1,59.14,182.4701,52.5386,0.0364
NVDA280121C00130000,2026-03-02 19:52:58+00:00,130.0,79.5,78.75,79.6,12.0,4664,1,58.61,182.92,51.7582,0.0364
NVDA280121C00135000,2026-03-02 20:20:32+00:00,135.0,76.45,75.85,76.55,16.0,2836,1,57.95,182.3137,51.9569,0.0364
NVDA280121C00140000,2026-03-02 20:22:43+00:00,140.0,73.6,72.8,73.7,79.0,10569,1,57.25,182.2445,51.6602,0.0364
NVDA280121C00145000,2026-03-02 20:25:02+00:00,145.0,70.85,70.1,71.0,4.0,3497,1,56.79,182.32,51.2411,0.0364
NVDA280121C00150000,2026-03-02 20:54:01+00:00,150.0,67.78,67.55,68.2,160.0,7718,1,56.29,182.825,49.8908,0.0364
NVDA280121C00155000,2026-03-02 20:51:10+00:00,155.0,65.15,64.9,65.7,14.0,911,1,55.83,182.38,49.9915,0.0364
NVDA280121C00160000,2026-03-02 19:26:20+00:00,160.0,62.55,62.5,63.0,38.0,1773,1,55.33,182.485,49.5011,0.0364
NVDA280121C00165000,2026-03-02 19:26:20+00:00,165.0,60.4,60.15,60.6,25.0,902,1,54.96,182.485,49.5683,0.0364
NVDA280121C00170000,2026-03-02 19:26:20+00:00,170.0,58.05,57.75,58.25,61.0,5786,1,54.52,182.485,49.3044,0.0364
NVDA280121C00175000,2026-03-02 20:45:35+00:00,175.0,55.7,55.55,56.0,91.0,9869,1,54.17,182.3027,49.1074,0.0364
