contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
XLE260618P00020000,2026-02-25 19:15:46+00:00,20.0,0.02,0.0,0.05,8.0,182.0,0,75.78,54.675,71.131,0.0364
XLE260618P00022500,2026-03-02 15:15:41+00:00,22.5,0.03,0.0,0.05,56.0,164.0,0,67.97,57.11,70.4831,0.0364
XLE260618P00025000,2026-02-23 20:47:12+00:00,25.0,0.04,0.0,0.05,5.0,7611.0,0,60.55,,63.3121,0.0364
XLE260618P00027500,2026-02-26 17:43:10+00:00,27.5,0.06,0.0,0.14,3.0,56.0,0,61.52,55.3201,58.3848,0.0364
XLE260618P00030000,2026-02-18 18:41:49+00:00,30.0,0.08,0.0,0.3,2.0,17569.0,0,61.72,,54.3217,0.0364
XLE260618P00032500,2026-02-27 16:22:45+00:00,32.5,0.11,0.0,0.31,4.0,16273.0,0,55.18,55.135,50.1726,0.0364
XLE260618P00035000,2026-02-17 14:57:40+00:00,35.0,0.12,0.0,0.34,1.0,26962.0,0,56.84,,45.3421,0.0364
XLE260618P00036000,2026-02-13 14:43:20+00:00,36.0,0.14,0.0,0.35,58.0,4504.0,0,54.39,,43.5616,0.0364
XLE260618P00036500,2026-02-03 18:32:00+00:00,36.5,0.15,0.0,0.36,8.0,28.0,0,53.32,,41.4453,0.0364
XLE260618P00037000,2026-02-03 18:32:35+00:00,37.0,0.15,0.0,0.3,8.0,8190.0,0,50.0,,40.383,0.0364
XLE260618P00037500,2026-02-17 15:40:50+00:00,37.5,0.11,0.0,0.37,60.0,72095.0,0,50.98,,39.2595,0.0364
XLE260618P00038000,2026-03-02 18:39:02+00:00,38.0,0.14,0.0,0.27,43.0,8256.0,0,46.34,56.83,41.7941,0.0364
XLE260618P00038500,2026-01-27 19:39:23+00:00,38.5,0.3,0.0,0.4,15.0,1850.0,0,49.22,,41.7274,0.0364
XLE260618P00039000,2026-02-18 15:51:39+00:00,39.0,0.17,0.0,0.33,1.0,11213.0,0,45.8,,39.2229,0.0364
XLE260618P00039500,2026-02-13 19:50:48+00:00,39.5,0.21,0.0,0.41,1.0,1302.0,0,46.88,,38.995,0.0364
XLE260618P00040000,2026-03-02 16:31:47+00:00,40.0,0.23,0.07,0.42,1.0,66458.0,0,45.85,56.79,41.0002,0.0364
XLE260618P00040500,2026-02-25 19:15:46+00:00,40.5,0.25,0.0,0.43,18894.0,20027.0,0,44.78,54.675,36.3967,0.0364
XLE260618P00041000,2026-02-26 19:30:38+00:00,41.0,0.26,0.0,0.55,3.0,25505.0,0,46.34,55.055,36.2973,0.0364
XLE260618P00041500,2026-02-24 14:59:26+00:00,41.5,0.28,0.0,0.46,2.0,6884.0,0,42.97,,38.5122,0.0364
XLE260618P00042000,2026-02-19 19:31:51+00:00,42.0,0.27,0.0,0.47,8.0,8060.0,0,41.9,,36.3485,0.0364
XLE260618P00042500,2026-03-02 15:49:40+00:00,42.5,0.3,0.13,0.35,1.0,10662.0,0,37.74,56.865,37.4776,0.0364
XLE260618P00043000,2026-03-02 19:09:41+00:00,43.0,0.3,0.18,0.35,1.0,40255.0,0,36.57,56.6499,35.9756,0.0364
XLE260618P00043500,2026-02-27 20:05:51+00:00,43.5,0.33,0.0,0.35,1.0,1040.0,0,35.35,55.785,33.713,0.0364
XLE260618P00044000,2026-03-02 15:49:40+00:00,44.0,0.4,0.0,0.38,1.0,35797.0,0,34.91,56.865,36.4657,0.0364
XLE260618P00044500,2026-03-02 15:48:45+00:00,44.5,0.34,0.01,0.48,1.0,4472.0,0,35.84,56.845,33.8104,0.0364
XLE260618P00045000,2026-02-27 20:47:15+00:00,45.0,0.38,0.23,0.47,4.0,57943.0,0,34.42,56.035,31.781,0.0364
XLE260618P00045500,2026-03-02 16:44:59+00:00,45.5,0.41,0.16,0.52,27.0,18315.0,0,34.16,57.07,33.4482,0.0364
XLE260618P00046000,2026-03-02 19:38:20+00:00,46.0,0.47,0.41,0.71,3.0,11629.0,0,36.18,56.985,33.3495,0.0364
XLE260618P00046500,2026-03-02 15:48:45+00:00,46.5,0.54,0.4,0.65,1.0,2610.0,0,33.91,56.845,33.165,0.0364
