contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
IWM260303C00200000,2026-02-20 18:30:06+00:00,200.0,63.35,61.9,64.61,1.0,1,1,227.05,,,0.0364
IWM260303C00225000,2026-02-27 17:30:20+00:00,225.0,35.46,37.0,39.51,1.0,1,1,140.82,260.34,65.5678,0.0364
IWM260303C00230000,2026-03-02 14:38:20+00:00,230.0,29.54,31.9,34.61,5.0,7,1,129.2,259.32,123.7713,0.0364
IWM260303C00237000,2026-03-02 20:21:17+00:00,237.0,26.46,25.0,27.51,5.0,1,1,103.32,263.22,112.2813,0.0364
IWM260303C00238000,2026-03-02 20:31:40+00:00,238.0,25.43,23.9,26.61,7.0,2,1,103.66,263.36,85.7029,0.0364
IWM260303C00239000,2026-03-02 19:43:24+00:00,239.0,24.96,23.0,25.51,2.0,1,1,97.07,263.93,67.1658,0.0364
IWM260303C00240000,2026-03-02 20:31:40+00:00,240.0,23.43,21.9,24.61,7.0,0,1,97.27,263.36,79.4466,0.0364
IWM260303C00241000,2026-03-02 19:11:29+00:00,241.0,22.19,20.9,23.61,7.0,1,1,94.04,263.2,,0.0364
IWM260303C00242000,2026-03-02 20:53:10+00:00,242.0,21.8,20.0,22.51,5.0,19,1,87.65,263.72,76.2663,0.0364
IWM260303C00243000,2026-03-02 19:58:37+00:00,243.0,21.02,18.9,21.61,3.0,0,1,87.6,264.02,,0.0364
IWM260303C00244000,2026-03-02 20:53:10+00:00,244.0,19.8,17.9,20.62,6.0,5,1,84.62,263.72,69.8939,0.0364
IWM260303C00245000,2026-03-02 20:27:47+00:00,245.0,18.35,16.9,19.62,2.0,1,1,81.35,263.33,,0.0364
IWM260303C00246000,2026-03-02 20:21:17+00:00,246.0,17.49,15.9,18.62,12.0,3,1,78.08,263.22,80.5713,0.0364
IWM260303C00247000,2026-03-02 20:20:07+00:00,247.0,16.52,15.01,17.52,10.0,1,1,72.02,263.65,,0.0364
IWM260303C00248000,2026-03-02 19:02:47+00:00,248.0,14.91,13.91,16.62,3.0,10,1,71.48,262.91,,0.0364
IWM260303C00249000,2026-03-02 18:48:46+00:00,249.0,14.02,12.91,15.63,2.0,3,1,68.41,263.06,,0.0364
IWM260303C00250000,2026-03-02 15:48:39+00:00,250.0,11.94,12.02,14.53,55.0,26,1,62.5,262.04,,0.0364
IWM260303C00251000,2026-03-02 19:58:37+00:00,251.0,12.9,11.11,13.64,10.0,8,1,61.87,264.02,,0.0364
