contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
SLV261231P00035000,2026-02-27 15:22:13+00:00,35.0,0.82,0.71,0.8,2.0,397,0,59.96,83.355,63.9449,0.0364,87.91
SLV261231P00040000,2026-03-02 16:03:02+00:00,40.0,1.49,1.26,1.35,31.0,135,0,58.98,78.91,61.638,0.0364,88.77
SLV261231P00045000,2026-03-02 16:03:02+00:00,45.0,2.38,2.1,2.2,35.0,139,0,58.77,78.91,61.3198,0.0364,88.77
SLV261231P00046000,2026-02-27 18:28:48+00:00,46.0,2.27,2.29,2.4,10.0,1198,0,58.68,84.01,62.1013,0.0364,88.96
SLV261231P00047000,2026-02-27 14:58:26+00:00,47.0,2.61,2.53,2.62,4.0,357,0,58.77,83.07,62.5202,0.0364,88.49
SLV261231P00048000,2026-02-27 20:24:05+00:00,48.0,3.03,2.75,2.85,5.0,60,0,58.73,84.7593,65.2859,0.0364,88.72
SLV261231P00049000,2026-03-02 16:00:32+00:00,49.0,3.3,3.0,3.1,3.0,296,0,58.79,78.52,60.8732,0.0364,88.41
SLV261231P00050000,2026-03-02 20:54:50+00:00,50.0,3.2,3.25,3.4,74.0,2861,0,58.92,81.915,61.1631,0.0364,86.97
SLV261231P00051000,2026-03-02 16:25:15+00:00,51.0,3.86,3.5,3.65,5.0,1318,0,58.81,79.8081,62.1162,0.0364,86.36
SLV261231P00052000,2026-02-27 19:15:25+00:00,52.0,3.72,3.8,3.95,106.0,202,0,58.95,84.465,62.9283,0.0364,89.33
SLV261231P00053000,2026-03-02 19:56:25+00:00,53.0,4.23,4.1,4.25,10.0,98,0,59.0,81.0807,61.9437,0.0364,86.0
SLV261231P00054000,2026-02-23 20:53:32+00:00,54.0,5.65,4.4,4.55,30.0,109,0,58.97,,68.1612,0.0364,
SLV261231P00055000,2026-03-02 16:25:15+00:00,55.0,5.2,4.75,4.9,10.0,5969,0,59.17,79.8081,62.8674,0.0364,86.36
SLV261231P00055500,2026-02-27 15:21:11+00:00,55.5,4.85,4.85,5.1,2.0,22,0,59.09,83.41,62.843,0.0364,88.15
SLV261231P00056000,2026-03-02 17:34:15+00:00,56.0,5.37,5.1,5.25,10.0,68,0,59.28,79.87,62.031,0.0364,85.99
SLV261231P00056500,2026-03-02 20:57:11+00:00,56.5,5.3,5.25,5.45,2.0,106,0,59.3,81.995,62.6652,0.0364,87.03
SLV261231P00057000,2026-03-02 19:56:25+00:00,57.0,5.63,5.45,5.6,11.0,33,0,59.31,81.0807,62.726,0.0364,86.0
SLV261231P00057500,2026-02-05 20:49:43+00:00,57.5,8.11,5.65,5.8,28.0,30,0,59.44,,72.4207,0.0364,
SLV261231P00058000,2026-02-10 16:24:21+00:00,58.0,6.67,5.8,6.0,5.0,265,0,59.42,,64.8598,0.0364,
SLV261231P00058500,2026-03-02 20:16:36+00:00,58.5,6.2,6.0,6.2,3.0,100,0,59.51,81.1799,63.062,0.0364,86.76
SLV261231P00059000,2026-02-05 19:33:05+00:00,59.0,8.12,6.2,6.4,2.0,103,0,59.58,,69.5673,0.0364,
SLV261231P00059500,2026-02-27 18:15:31+00:00,59.5,6.15,6.4,6.6,5.0,22,0,59.64,84.68,63.8681,0.0364,89.53
SLV261231P00060000,2026-03-02 20:48:43+00:00,60.0,6.64,6.6,6.8,14.0,1652,0,59.68,81.937,63.2417,0.0364,87.18
SLV261231P00060500,2026-02-27 16:39:20+00:00,60.5,6.65,6.8,7.0,2.0,13,0,59.7,84.622,64.5354,0.0364,90.16
SLV261231P00061000,2026-02-17 15:13:12+00:00,61.0,8.5,7.05,7.2,1.0,305,0,59.84,,68.6552,0.0364,
SLV261231P00061500,2026-02-13 15:48:51+00:00,61.5,7.45,7.25,7.45,20.0,110,0,59.95,,62.4996,0.0364,
SLV261231P00062000,2026-03-02 16:40:59+00:00,62.0,7.87,7.45,7.65,5.0,118,0,59.94,79.7,63.2134,0.0364,86.38
SLV261231P00062500,2026-02-17 15:37:24+00:00,62.5,9.1,7.7,7.85,20.0,24,0,60.02,,68.5162,0.0364,
SLV261231P00063000,2026-03-02 16:07:56+00:00,63.0,8.5,7.9,8.1,1.0,77,0,60.08,79.34,63.8239,0.0364,87.47
SLV261231P00063500,2026-02-20 20:44:01+00:00,63.5,9.44,8.1,8.35,1.0,11,0,60.14,,68.4186,0.0364,
SLV261231P00064000,2026-02-26 15:27:37+00:00,64.0,9.0,8.35,8.55,1.0,28,0,60.18,77.49,61.7664,0.0364,83.08
SLV261231P00064500,2026-03-02 19:33:29+00:00,64.5,8.8,8.6,8.8,26.0,370,0,60.32,80.935,63.9694,0.0364,86.04
SLV261231P00065000,2026-03-02 19:54:05+00:00,65.0,9.05,8.85,9.05,10.0,595,0,60.44,81.0047,64.1973,0.0364,85.9
SLV261231P00065500,2026-02-25 20:53:44+00:00,65.5,9.48,9.1,9.3,2.0,132,0,60.55,80.855,64.5026,0.0364,87.82
