contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
SLV281215C00005000,2026-02-27 21:14:34+00:00,5.0,77.0,74.1,78.9,1.0,5,1,158.64,84.98,,0.0364,88.31
SLV281215C00010000,2026-03-02 16:22:05+00:00,10.0,73.0,69.5,74.0,2.0,1,1,60.35,79.56,115.3463,0.0364,86.55
SLV281215C00020000,2026-02-19 15:14:38+00:00,20.0,51.65,61.0,64.8,,1,1,59.67,,,0.0364,
SLV281215C00030000,2026-02-27 17:03:37+00:00,30.0,56.95,52.95,56.0,26.0,32,1,54.48,84.51,,0.0364,89.65
SLV281215C00035000,2026-02-27 15:05:27+00:00,35.0,53.7,48.55,52.6,1.0,11,1,52.8,83.34,46.7545,0.0364,88.27
SLV281215C00040000,2026-03-02 17:17:16+00:00,40.0,45.21,46.85,49.65,10.0,94,1,56.84,78.9481,41.9851,0.0364,85.55
SLV281215C00045000,2026-03-02 17:24:13+00:00,45.0,42.12,43.0,46.35,3.0,7,1,54.62,79.35,41.714,0.0364,85.79
SLV281215C00050000,2026-03-02 19:40:12+00:00,50.0,41.7,40.5,43.75,79.0,483,1,55.28,81.1002,46.1591,0.0364,86.1
SLV281215C00055000,2026-03-02 16:00:43+00:00,55.0,38.95,37.5,40.1,17.0,62,1,53.11,79.23,51.1665,0.0364,87.59
SLV281215C00060000,2026-03-02 20:14:03+00:00,60.0,36.85,35.0,39.05,29.0,76,1,54.69,81.16,47.5944,0.0364,86.59
SLV281215C00065000,2026-03-02 19:46:52+00:00,65.0,35.75,33.8,36.55,2.0,180,1,55.44,80.8199,51.5154,0.0364,85.81
SLV281215C00070000,2026-03-02 19:25:50+00:00,70.0,33.4,32.75,34.7,53.0,110,1,56.66,80.95,50.6161,0.0364,86.06
SLV281215C00075000,2026-03-02 18:00:43+00:00,75.0,30.5,31.0,33.0,29.0,73,1,56.86,79.77,50.4239,0.0364,85.58
SLV281215C00080000,2026-03-02 20:38:39+00:00,80.0,30.34,28.0,31.3,29.0,181,1,55.48,81.9037,50.6634,0.0364,86.97
SLV281215C00085000,2026-03-02 17:59:42+00:00,85.0,27.94,27.95,30.75,32.0,131,0,58.07,79.705,52.3737,0.0364,85.65
SLV281215C00090000,2026-03-02 18:31:48+00:00,90.0,27.85,25.5,29.2,18.0,53,0,56.97,80.115,54.7366,0.0364,86.09
SLV281215C00095000,2026-03-02 15:56:04+00:00,95.0,25.81,24.5,28.1,1.0,25,0,57.57,80.85,52.4792,0.0364,86.57
SLV281215C00100000,2026-03-02 17:24:07+00:00,100.0,23.57,24.5,26.65,45.0,83,0,58.59,79.35,52.5297,0.0364,85.79
SLV281215C00105000,2026-03-02 19:12:22+00:00,105.0,23.8,22.5,26.45,7.0,21,0,58.74,80.97,53.4516,0.0364,86.51
SLV281215C00110000,2026-02-27 18:25:34+00:00,110.0,23.5,22.0,25.7,2.0,21,0,59.63,83.8,51.8564,0.0364,88.92
SLV281215C00115000,2026-03-02 16:07:00+00:00,115.0,21.52,21.0,24.55,2.0,2,0,59.54,79.34,55.1567,0.0364,87.47
SLV281215C00120000,2026-03-02 20:18:17+00:00,120.0,22.1,20.5,24.15,17.0,61,0,60.5,81.28,56.0851,0.0364,86.78
SLV281215C00125000,2026-02-27 18:03:15+00:00,125.0,21.5,20.25,23.15,1.0,12,0,61.03,84.876625,53.062,0.0364,89.79
SLV281215C00130000,2026-03-02 17:49:35+00:00,130.0,19.51,19.0,22.9,5.0,34,0,61.23,79.24,56.7365,0.0364,85.51
SLV281215C00135000,2026-03-02 14:33:47+00:00,135.0,20.0,18.9,22.3,2.0,12,0,62.08,80.1316,58.3368,0.0364,86.79
SLV281215C00140000,2026-03-02 18:36:32+00:00,140.0,20.0,18.0,21.35,19.0,97,0,61.79,79.77,60.1698,0.0364,85.78
SLV281215C00145000,2026-03-02 14:30:04+00:00,145.0,18.7,17.95,21.25,3.0,20,0,62.99,81.13,57.8533,0.0364,86.42
SLV281215C00150000,2026-03-02 21:08:02+00:00,150.0,19.25,17.65,20.0,151.0,709,0,62.83,81.56,59.8193,0.0364,86.78
