contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
SPY261218P00150000,2026-03-02 21:03:37+00:00,150.0,0.3,0.29,0.3,162.0,17740,0,66.16,686.37,67.7468,0.0364,21.32
SPY261218P00200000,2026-03-02 16:54:00+00:00,200.0,0.59,0.59,0.61,12.0,5498,0,58.72,686.12,60.058,0.0364,21.04
SPY261218P00210000,2026-02-27 14:42:54+00:00,210.0,0.68,0.67,0.69,1.0,685,0,57.4,682.31,58.3737,0.0364,21.41
SPY261218P00220000,2026-02-26 14:46:04+00:00,220.0,0.69,0.75,0.77,5.0,595,0,56.06,691.2,56.7438,0.0364,18.37
SPY261218P00230000,2026-02-18 19:20:23+00:00,230.0,0.81,0.84,0.86,97.0,429,0,54.8,,54.905,0.0364,
SPY261218P00240000,2026-03-02 21:01:13+00:00,240.0,0.95,0.94,0.96,1002.0,24574,0,53.59,686.37,55.1574,0.0364,21.32
SPY261218P00245000,2026-02-27 20:26:11+00:00,245.0,0.97,1.0,1.01,5.0,276,0,53.03,685.8407,54.0246,0.0364,19.88
SPY261218P00250000,2026-03-02 14:30:00+00:00,250.0,1.1,1.05,1.07,5.0,2339,0,52.44,679.19,53.8493,0.0364,22.81
SPY261218P00255000,2026-02-27 14:36:48+00:00,255.0,1.12,1.11,1.13,1.0,1469,0,51.89,683.2801,53.0069,0.0364,21.15
SPY261218P00260000,2026-03-02 16:49:40+00:00,260.0,1.12,1.17,1.19,110.0,2633,0,51.33,686.475,52.5135,0.0364,20.84
SPY261218P00265000,2026-01-09 15:48:22+00:00,265.0,1.03,1.2,1.21,1.0,145,0,50.55,,47.1562,0.0364,
SPY261218P00270000,2026-02-25 14:30:00+00:00,270.0,1.19,1.29,1.31,4.0,476,0,50.2,690.974,50.9662,0.0364,18.71
SPY261218P00275000,2026-03-02 20:16:41+00:00,275.0,1.35,1.36,1.38,35.0,5385,0,49.72,686.0,51.142,0.0364,21.32
SPY261218P00280000,2026-02-23 15:42:12+00:00,280.0,1.39,1.42,1.44,250.0,813,0,49.14,,49.9053,0.0364,
SPY261218P00285000,2026-03-02 14:38:50+00:00,285.0,1.5,1.49,1.51,1.0,185,0,48.6,681.6,49.8548,0.0364,22.21
SPY261218P00290000,2026-02-27 20:55:20+00:00,290.0,1.52,1.56,1.59,401.0,2044,0,48.11,685.41,49.0946,0.0364,20.02
SPY261218P00295000,2026-03-02 14:38:12+00:00,295.0,1.65,1.64,1.66,1.0,189,0,47.56,681.6,48.826,0.0364,22.21
SPY261218P00300000,2026-03-02 20:57:34+00:00,300.0,1.69,1.71,1.73,3241.0,1728,0,47.0,686.97,48.5089,0.0364,21.07
SPY261218P00305000,2026-02-27 18:48:42+00:00,305.0,1.78,1.79,1.81,1.0,192,0,46.49,683.73,47.6076,0.0364,20.74
SPY261218P00310000,2026-02-25 18:58:02+00:00,310.0,1.72,1.87,1.89,3.0,181,0,45.97,692.48,46.9159,0.0364,18.36
SPY261218P00315000,2026-03-02 21:09:31+00:00,315.0,1.97,1.95,1.97,304.0,430,0,45.45,686.37,47.1155,0.0364,21.32
