contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
IBIT271217C00005000,2026-03-02 15:39:46+00:00,5.0,35.05,33.35,35.4,2.0,6776,1,111.72,39.41,97.2751,0.0365
IBIT271217C00010000,2026-02-23 19:34:59+00:00,10.0,28.5,29.2,31.2,12.0,219,1,92.48,,,0.0365
IBIT271217C00015000,2026-02-09 17:59:26+00:00,15.0,28.1,25.6,27.15,1.0,47,1,82.98,,96.7757,0.0365
IBIT271217C00020000,2026-03-02 20:53:26+00:00,20.0,23.75,22.5,23.55,6.0,327,1,78.0,39.365,72.2114,0.0365
IBIT271217C00025000,2026-03-02 16:55:32+00:00,25.0,20.4,19.25,19.85,6.0,1026,1,70.67,39.46,65.9105,0.0365
IBIT271217C00030000,2026-03-03 17:36:32+00:00,30.0,16.9,16.5,17.05,1.0,1553,1,67.52,38.57,63.4848,0.0365
IBIT271217C00031000,2026-02-13 19:06:35+00:00,31.0,16.9,15.95,16.5,36.0,186,1,66.75,,64.6588,0.0365
IBIT271217C00032000,2026-02-19 15:47:32+00:00,32.0,15.21,15.45,15.95,1.0,164,1,66.09,,57.0757,0.0365
IBIT271217C00033000,2026-03-03 20:49:02+00:00,33.0,15.5,15.0,15.55,4.0,68,1,65.95,38.79,61.7605,0.0365
IBIT271217C00034000,2026-02-13 19:05:43+00:00,34.0,15.44,14.5,15.0,1.0,74,1,65.19,,63.2441,0.0365
IBIT271217C00035000,2026-03-03 19:51:34+00:00,35.0,14.75,14.1,14.6,27.0,2661,1,65.08,38.92,61.5366,0.0365
IBIT271217C00036000,2026-02-26 18:38:53+00:00,36.0,13.6,13.65,14.15,2.0,176,1,64.62,38.165,59.9912,0.0365
IBIT271217C00037000,2026-03-02 18:00:53+00:00,37.0,14.05,13.25,13.75,3.0,105,1,64.39,39.21,60.6667,0.0365
IBIT271217C00038000,2026-03-02 16:59:22+00:00,38.0,13.75,12.8,13.35,4.0,208,1,63.97,39.445,60.1373,0.0365
IBIT271217C00039000,2026-03-03 17:10:27+00:00,39.0,12.82,12.45,12.95,13.0,354,0,63.76,38.46,60.767,0.0365
IBIT271217C00040000,2026-03-03 16:16:05+00:00,40.0,12.61,12.05,12.5,50.0,3490,0,63.24,38.795,60.2426,0.0365
IBIT271217C00041000,2026-02-26 14:30:18+00:00,41.0,12.09,11.7,12.2,1.0,239,0,63.21,38.48,60.075,0.0365
IBIT271217C00042000,2026-02-26 16:08:46+00:00,42.0,11.25,11.3,11.8,1.0,99,0,62.73,38.095,58.6438,0.0365
IBIT271217C00043000,2026-02-26 15:49:12+00:00,43.0,11.05,11.0,11.5,1.0,116,0,62.72,38.25,58.6872,0.0365
IBIT271217C00044000,2026-02-27 17:12:34+00:00,44.0,9.96,10.65,11.15,1.0,94,0,62.4,37.135,58.1615,0.0365
IBIT271217C00045000,2026-03-02 19:59:31+00:00,45.0,10.75,10.35,10.8,1.0,768,0,62.18,39.11,57.6967,0.0365
IBIT271217C00046000,2026-03-02 15:02:50+00:00,46.0,10.05,10.15,10.5,2.0,274,0,62.28,38.141,58.5335,0.0365
IBIT271217C00047000,2026-03-02 16:13:52+00:00,47.0,10.56,9.9,10.2,1.0,140,0,62.22,39.515,58.3713,0.0365
IBIT271217C00048000,2026-03-02 14:30:01+00:00,48.0,8.65,9.45,9.9,1.0,329,0,61.62,37.26,56.6477,0.0365
IBIT271217C00049000,2026-03-02 16:25:13+00:00,49.0,9.92,9.2,9.65,1.0,81,0,61.61,39.48,57.9945,0.0365
IBIT271217C00050000,2026-03-03 21:01:00+00:00,50.0,9.22,8.95,9.35,11.0,3937,0,61.43,38.6913,58.0615,0.0365
IBIT271217C00051000,2026-03-02 17:29:05+00:00,51.0,9.35,8.7,9.1,10.0,432,0,61.34,39.38,57.9697,0.0365
IBIT271217C00052000,2026-02-25 14:54:55+00:00,52.0,8.25,8.45,8.85,1.0,299,0,61.21,,55.3445,0.0365
IBIT271217C00053000,2026-02-27 17:39:20+00:00,53.0,7.62,8.2,8.6,1.0,515,0,61.05,37.0975,57.4891,0.0365
IBIT271217C00054000,2026-03-02 17:33:53+00:00,54.0,8.6,7.95,8.4,11.0,434,0,60.99,39.32,57.8961,0.0365
IBIT271217C00055000,2026-03-02 20:56:20+00:00,55.0,8.34,7.85,8.15,8.0,4302,0,61.12,39.34,57.6616,0.0365
IBIT271217C00056000,2026-02-18 19:20:18+00:00,56.0,7.45,7.5,7.95,3.0,865,0,60.75,,55.3628,0.0365
IBIT271217C00057000,2026-02-26 20:47:23+00:00,57.0,7.2,7.3,7.75,2.0,468,0,60.71,38.2403,56.5713,0.0365
IBIT271217C00058000,2026-02-26 15:52:47+00:00,58.0,7.1,7.1,7.5,8.0,1566,0,60.52,38.1999,57.0965,0.0365
IBIT271217C00059000,2026-02-26 15:17:21+00:00,59.0,6.85,6.95,7.35,1.0,995,0,60.67,37.99,57.2469,0.0365
IBIT271217C00060000,2026-03-03 15:06:54+00:00,60.0,6.7,6.75,7.15,1.0,4688,0,60.55,37.825,57.995,0.0365
IBIT271217C00061000,2026-02-26 15:49:43+00:00,61.0,6.55,6.55,6.95,1.0,573,0,60.39,38.25,56.9166,0.0365
IBIT271217C00062000,2026-02-24 14:37:19+00:00,62.0,5.5,6.4,6.8,75.0,1889,0,60.46,,51.5229,0.0365
IBIT271217C00063000,2026-02-25 16:22:44+00:00,63.0,6.31,6.2,6.6,36.0,1794,0,60.27,,56.3683,0.0365
IBIT271217C00064000,2026-03-03 15:02:50+00:00,64.0,5.99,6.05,6.45,6.0,929,0,60.29,37.7493,57.8529,0.0365
IBIT271217C00065000,2026-03-03 19:37:13+00:00,65.0,6.2,5.9,6.25,293.0,1730,0,60.16,38.96,57.1526,0.0365
IBIT271217C00066000,2026-02-26 14:33:16+00:00,66.0,5.82,5.75,6.1,14.0,1102,0,60.14,38.515,56.6822,0.0365
IBIT271217C00067000,2026-03-02 15:50:58+00:00,67.0,6.02,5.6,5.95,10.0,1724,0,60.1,39.415,56.7946,0.0365
IBIT271217C00068000,2026-02-27 14:45:55+00:00,68.0,5.15,5.45,5.8,1.0,1526,0,60.03,37.295,57.1698,0.0365
