contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
GOOG260918C00085000,2026-01-30 20:49:56+00:00,85.0,256.99,218.0,222.1,171.0,178,1,94.85,,246.3096,0.0365,
GOOG260918C00090000,2026-02-11 20:48:29+00:00,90.0,222.7,213.2,217.3,2.0,11,1,92.94,,126.4121,0.0365,
GOOG260918C00095000,2026-02-11 18:49:42+00:00,95.0,219.78,208.55,211.75,3.0,15,1,88.04,,130.2238,0.0365,
GOOG260918C00100000,2026-02-27 20:56:43+00:00,100.0,213.28,203.7,207.2,1.0,38,1,87.23,311.06,64.5229,0.0365,33.71
GOOG260918C00105000,2025-10-27 16:02:01+00:00,105.0,166.75,212.85,216.7,1.0,7,1,149.67,,,0.0365,
GOOG260918C00110000,2026-02-06 15:29:01+00:00,110.0,216.02,194.0,197.4,1.0,42,1,82.3,,150.8583,0.0365,
GOOG260918C00115000,2026-01-09 14:58:30+00:00,115.0,217.85,196.55,200.05,1.0,106,1,115.93,,154.8473,0.0365,
GOOG260918C00120000,2026-01-12 16:14:44+00:00,120.0,213.24,191.8,195.15,2.0,46,1,112.13,,150.7526,0.0365,
GOOG260918C00125000,2026-02-26 14:30:29+00:00,125.0,187.95,179.5,183.15,1.0,45,1,76.92,309.25,66.9384,0.0365,34.22
GOOG260918C00130000,2026-02-04 14:44:26+00:00,130.0,215.91,174.6,177.75,1.0,101,1,72.99,,178.6813,0.0365,
GOOG260918C00135000,2026-01-20 17:45:22+00:00,135.0,195.45,170.0,172.9,1.0,42,1,71.68,,129.8335,0.0365,
GOOG260918C00140000,2026-01-20 20:44:30+00:00,140.0,185.35,165.0,168.15,1.0,203,1,69.52,,112.756,0.0365,
GOOG260918C00145000,2026-02-13 16:06:43+00:00,145.0,165.62,160.15,163.35,20.0,88,1,67.65,,70.2511,0.0365,
GOOG260918C00150000,2026-02-25 14:32:16+00:00,150.0,164.85,155.5,158.55,2.0,173,1,66.26,,85.0928,0.0365,
GOOG260918C00155000,2026-02-13 18:02:39+00:00,155.0,155.7,150.6,153.8,2.0,107,1,64.39,,64.418,0.0365,
GOOG260918C00160000,2026-03-03 18:39:15+00:00,160.0,146.95,146.15,148.95,1.0,435,1,63.25,302.62,50.0792,0.0365,36.31
GOOG260918C00165000,2026-02-24 15:56:04+00:00,165.0,150.0,141.1,144.35,1.0,189,1,61.38,,75.2446,0.0365,
GOOG260918C00170000,2026-03-03 14:57:54+00:00,170.0,134.73,136.5,139.6,1.0,265,1,60.07,299.82,47.9601,0.0365,39.17
GOOG260918C00175000,2026-02-12 20:15:23+00:00,175.0,140.7,131.7,135.0,1.0,561,1,58.62,,68.5903,0.0365,
GOOG260918C00180000,2026-02-23 15:51:34+00:00,180.0,139.99,127.05,130.3,2.0,263,1,57.24,,78.2603,0.0365,
GOOG260918C00185000,2026-02-25 20:42:06+00:00,185.0,132.45,122.5,125.7,20.0,195,1,56.12,,69.6389,0.0365,
GOOG260918C00190000,2026-02-12 16:16:23+00:00,190.0,126.5,118.0,121.3,1.0,549,1,55.29,,61.9749,0.0365,
