contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
TLT261231C00065000,2026-01-13 19:46:02+00:00,65.0,22.95,24.55,24.75,,0,1,21.36,,,0.0365,
TLT261231C00070000,2026-03-02 15:01:14+00:00,70.0,19.85,19.6,19.8,12.0,13,1,17.75,89.635,,0.0365,12.52
TLT261231C00074000,2026-02-13 17:47:09+00:00,74.0,15.8,15.6,15.85,1.0,1,1,14.92,,,0.0365,
TLT261231C00075000,2026-02-27 14:37:27+00:00,75.0,15.67,14.65,14.9,20.0,0,1,14.52,90.705,,0.0365,12.15
TLT261231C00076000,2026-03-02 14:46:33+00:00,76.0,14.13,13.7,13.95,10.0,17,1,14.06,89.795,,0.0365,12.54
TLT261231C00077000,2026-02-26 14:53:07+00:00,77.0,13.23,10.5,15.3,5.0,42,1,24.85,90.175,,0.0365,11.76
TLT261231C00078000,2026-02-27 17:46:26+00:00,78.0,12.85,11.85,12.1,30.0,204,1,13.33,90.725,,0.0365,12.17
TLT261231C00079000,2026-03-02 17:04:51+00:00,79.0,11.15,9.9,12.2,10.0,385,1,17.88,89.545,,0.0365,12.37
TLT261231C00080000,2026-02-27 16:29:29+00:00,80.0,10.97,9.05,12.3,12.0,36,1,21.21,90.745,,0.0365,11.94
TLT261231C00081000,2026-03-02 17:25:42+00:00,81.0,9.28,8.2,10.85,1.0,11,1,18.27,89.38,,0.0365,12.35
TLT261231C00082000,2026-02-23 16:45:59+00:00,82.0,8.76,6.15,9.85,20.0,23,1,17.1,,,0.0365,
TLT261231C00083000,2026-02-18 20:31:15+00:00,83.0,7.42,7.7,7.85,1.0,208,1,12.1,,,0.0365,
TLT261231C00084000,2026-02-23 18:22:16+00:00,84.0,7.23,6.95,7.1,10.0,91,1,11.96,,,0.0365,
TLT261231C00085000,2026-03-02 17:55:15+00:00,85.0,6.35,6.25,6.4,400.0,432,1,11.89,89.485,,0.0365,12.41
TLT261231C00086000,2026-03-02 18:09:07+00:00,86.0,5.7,5.6,5.75,50.0,192,1,11.86,89.4965,,0.0365,12.38
TLT261231C00087000,2026-03-02 16:50:06+00:00,87.0,4.9,5.05,5.15,7.0,267,1,11.87,89.57,,0.0365,12.4
TLT261231C00088000,2026-03-02 20:33:03+00:00,88.0,4.27,4.5,4.6,16.0,718,1,11.89,89.545,3.6376,0.0365,12.44
TLT261231C00089000,2026-03-03 19:12:01+00:00,89.0,4.08,4.0,4.1,30.0,603,1,11.95,89.485,6.7724,0.0365,12.86
TLT261231C00090000,2026-03-03 17:07:08+00:00,90.0,3.62,3.5,3.65,27.0,1540,0,12.02,89.415,7.5769,0.0365,13.24
TLT261231C00091000,2026-03-03 14:39:42+00:00,91.0,2.93,3.1,3.2,3.0,4962,0,11.98,89.01,7.9345,0.0365,12.6
TLT261231C00092000,2026-03-03 20:11:13+00:00,92.0,2.77,2.73,2.8,5.0,5977,0,11.96,89.5,8.1674,0.0365,12.75
TLT261231C00093000,2026-03-03 19:48:43+00:00,93.0,2.46,2.39,2.46,42.0,5586,0,12.02,89.52,8.5896,0.0365,12.71
TLT261231C00094000,2026-03-03 14:46:18+00:00,94.0,2.0,2.09,2.15,6.0,293,0,12.07,89.04,9.034,0.0365,12.69
TLT261231C00095000,2026-03-03 15:10:57+00:00,95.0,1.91,1.82,1.89,5.0,1445,0,12.17,89.23,9.6151,0.0365,13.3
TLT261231C00096000,2026-02-27 18:57:47+00:00,96.0,1.92,1.59,1.66,5.0,169,0,12.28,90.7999,8.7212,0.0365,12.22
TLT261231C00097000,2026-03-02 14:54:30+00:00,97.0,1.5,1.4,1.46,5.0,66,0,12.4,89.77,9.61,0.0365,12.55
TLT261231C00098000,2026-02-20 14:44:59+00:00,98.0,1.45,1.23,1.29,5.0,70,0,12.54,,10.4409,0.0365,
TLT261231C00099000,2026-02-27 14:31:13+00:00,99.0,1.27,1.09,1.15,2.0,25,0,12.73,90.68,9.5814,0.0365,12.11
TLT261231C00100000,2026-03-03 20:31:06+00:00,100.0,1.0,0.97,1.03,18.0,1638,0,12.94,89.475,10.5762,0.0365,12.64
TLT261231C00101000,2026-02-27 19:50:38+00:00,101.0,1.06,0.87,0.92,1.0,177,0,13.12,90.775,10.3174,0.0365,12.41
TLT261231C00102000,2026-02-26 17:57:26+00:00,102.0,0.82,0.78,0.83,4.0,588,0,13.34,90.125,10.5564,0.0365,11.82
TLT261231C00103000,2026-02-27 18:10:40+00:00,103.0,0.85,0.7,0.75,1.0,3,0,13.56,90.7399,10.903,0.0365,12.25
TLT261231C00104000,2026-02-23 14:31:21+00:00,104.0,0.7,0.64,0.69,5.0,4528,0,13.84,,11.7695,0.0365,
TLT261231C00105000,2026-03-02 18:52:33+00:00,105.0,0.58,0.58,0.62,5.0,399,0,14.01,89.5099,11.8411,0.0365,12.38
TLT261231C00110000,2026-02-27 19:21:02+00:00,110.0,0.47,0.39,0.43,61.0,373,0,15.37,90.855,12.9299,0.0365,12.33
TLT261231C00115000,2026-02-27 14:57:10+00:00,115.0,0.33,0.28,0.33,10.0,47,0,16.82,90.685,14.3844,0.0365,12.23
